Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Afghanistan,,19 Nov 1948 s
Albania,19 Nov 1948,25 Jul 1949 A
Argentina,19 Nov 1948,
Australia,,19 Nov 1948 s
Austria,,17 May 1950 A
Bahamas,,13 Aug 1975 d
Belarus,,19 Nov 1948 s
Belgium,19 Nov 1948,21 Nov 1951 A
Benin,,5 Dec 1961 d
Bolivia (Plurinational State of),19 Nov 1948,
Brazil,19 Nov 1948,9 Dec 1959 A
Burkina Faso,,26 Apr 1963 A
Cameroon,,20 Nov 1961 d
Canada,,19 Nov 1948 s
Central African Republic,,4 Sep 1962 d
Chile,19 Nov 1948,
China,,19 Nov 1948 s
Colombia,19 Nov 1948,
Congo,,15 Oct 1962 d
Costa Rica,19 Nov 1948,
Cote d'Ivoire,,8 Dec 1961 d
Cuba,,30 Jun 1961 A
Czech Republic,,30 Dec 1993 d
Democratic Republic of the Congo,,13 Aug 1962 d
Denmark,19 Nov 1948,19 Oct 1949 A
Dominican Republic,19 Nov 1948,9 Jun 1958 A
Ecuador,19 Nov 1948,30 Aug 1962 A
Egypt,6 Dec 1948,16 Sep 1949 A
El Salvador,19 Nov 1948,31 Dec 1959 A
Ethiopia,,5 May 1949 s
Fiji,,1 Nov 1971 d
Finland,,31 Oct 1949 A
France,19 Nov 1948,11 Jan 1949 A
Germany,,12 Aug 1959 A
Ghana,,7 Apr 1958 d
Greece,7 Dec 1948,29 Jul 1952 A
Guatemala,19 Nov 1948,
Honduras,19 Nov 1948,
Hungary,,2 Jul 1957 A
India,19 Nov 1948,10 Nov 1950 A
Indonesia,,21 Feb 1951 A
Iraq,12 Jul 1949,27 Jul 1954 A
Ireland,,11 Aug 1952 A
Israel,,16 May 1952 A
Italy,,14 Mar 1949 s
Jamaica,,26 Dec 1963 d
Japan,,5 May 1952 A
Jordan,,7 May 1958 A
Lao People's Democratic Republic,,7 Oct 1950 d
Lebanon,,19 Nov 1948 s
Lesotho,,4 Nov 1974 d
Liberia,19 Nov 1948,
Liechtenstein,19 Nov 1948,24 May 1961 A
Luxembourg,19 Nov 1948,17 Oct 1952 A
Malawi,,22 Jul 1965 d
Malaysia,,21 Aug 1958 d
Mauritius,,18 Jul 1969 d
Mexico,,19 Nov 1948 s
Monaco,,19 Nov 1948 s
Montenegro,,23 Oct 2006 d
Morocco,,7 Nov 1956 d
Myanmar,19 Nov 1948,2 Mar 1950 A
Netherlands,19 Nov 1948,26 Sep 1950 A
New Zealand,,19 Nov 1948 s
Nicaragua,19 Nov 1948,13 Jan 1961 A
Niger,,25 Aug 1961 d
Nigeria,,26 Jun 1961 d
Norway,19 Nov 1948,24 May 1949 A
Pakistan,21 Nov 1948,27 Aug 1952 A
Panama,19 Nov 1948,
Papua New Guinea,,28 Oct 1980 d
Paraguay,19 Nov 1948,15 Aug 2001 A
Peru,19 Nov 1948,
Philippines,10 Mar 1949,7 Dec 1953 A
Poland,,26 Jan 1949 s
Romania,19 Nov 1948,11 Oct 1961 A
Russian Federation,,7 May 1959 A
Rwanda,,30 Apr 1964 d
San Marino,19 Nov 1948,
Saudi Arabia,,19 Nov 1948 s
Senegal,,2 May 1963 d
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Slovakia,,28 May 1993 d
South Africa,,8 Dec 1948 s
Spain,,26 Sep 1955 s
Sri Lanka,,17 Jan 1949 A
Sweden,,3 Mar 1949 s
Switzerland,19 Nov 1948,18 Mar 1953 A
Togo,,27 Feb 1962 d
Tonga,,5 Sep 1973 d
Trinidad and Tobago,,11 Apr 1966 d
Turkey,19 Nov 1948,14 Jul 1950 A
Uganda,,15 Apr 1965 A
Ukraine,19 Nov 1948,7 May 1959 A
United Kingdom of Great Britain and Northern Ireland,,19 Nov 1948 s
United Republic of Tanzania,,7 Oct 1964 A
United States of America,19 Nov 1948,
Uruguay,22 Nov 1948,
Venezuela (Bolivarian Republic of),19 Nov 1948,
Yemen,,12 Dec 1949 s
Zambia,,9 Apr 1973 d
Zimbabwe,,1 Dec 1998 d
