Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,21 May 1985 a
Albania,,6 Nov 1958 a
Algeria,,31 Oct 1963 a
Argentina,,15 Nov 1957 a
Azerbaijan,,16 Aug 1996 a
Bangladesh,,11 Jan 1985 a
Belarus,,24 Aug 1956 a
Belgium,,22 Jun 1965 a
Benin,25 Sep 2003,
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,5 Oct 1951,12 Sep 1958
Bulgaria,,18 Jan 1955 a
Burkina Faso,,27 Aug 1962 a
Cambodia,27 Sep 2004,
Cameroon,,19 Feb 1982 a
Central African Republic,,29 Sep 1981 a
Congo,,25 Aug 1977 a
Cote d'Ivoire,,2 Nov 1999 a
Croatia,,12 Oct 1992 d
Cuba,,4 Sep 1952 a
Cyprus,,5 Oct 1983 a
Czech Republic,,30 Dec 1993 d
Denmark,12 Feb 1951,
Djibouti,,21 Mar 1979 a
Ecuador,24 Mar 1950,3 Apr 1979
Egypt,,12 Jun 1959 a
Ethiopia,,10 Sep 1981 a
Finland,27 Feb 1953,8 Jun 1972
France,,19 Nov 1960 a
Ghana,24 Sep 2003,
Guatemala,,13 Dec 2007 a
Guinea,,26 Apr 1962 a
Haiti,,26 Aug 1953 a
Honduras,13 Apr 1954,15 Jun 1993
Hungary,,29 Sep 1955 a
India,9 May 1950,9 Jan 1953
Indonesia,25 Sep 2003,
Iran (Islamic Republic of),16 Jul 1953,
Iraq,,22 Sep 1955 a
Israel,,28 Dec 1950 a
Italy,,18 Jan 1980 a
Japan,,1 May 1958 a
Jordan,,13 Apr 1976 a
Kazakhstan,17 Nov 2004,24 Jan 2006
Kuwait,,20 Nov 1968 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,,14 Apr 1978 a
Latvia,,14 Apr 1992 a
Lesotho,24 Sep 2003,24 Sep 2004
Liberia,21 Mar 1950,
Libya,,3 Dec 1956 a
Luxembourg,9 Oct 1950,5 Oct 1983
Madagascar,1 Oct 2001,
Malawi,,13 Oct 1965 a
Mali,,23 Dec 1964 a
Mauritania,,6 Jun 1986 a
Mauritius,24 Sep 2003,
Mexico,,21 Feb 1956 a
Micronesia (Federated States of),23 Sep 2003,2 Jun 2011
Montenegro,,23 Oct 2006 d
Morocco,,17 Aug 1973 a
Myanmar,14 Mar 1956,
Nepal,,10 Dec 2002 a
Niger,,10 Jun 1977 a
Nigeria,25 Sep 2003,
Norway,,23 Jan 1952 a
Pakistan,21 Mar 1950,11 Jul 1952
Paraguay,26 Mar 2007,
Philippines,20 Dec 1950,19 Sep 1952
Poland,,2 Jun 1952 a
Portugal,,30 Sep 1992 a
Republic of Korea,,13 Feb 1962 a
Romania,,15 Feb 1955 a
Russian Federation,,11 Aug 1954 a
Rwanda,,26 Sep 2003 a
Senegal,,19 Jul 1979 a
Serbia,,12 Mar 2001 d
Seychelles,,5 May 1992 a
Sierra Leone,26 Sep 2003,
Singapore,,26 Oct 1966 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,16 Oct 1950,10 Oct 1951
Spain,,18 Jun 1962 a
Sri Lanka,,15 Apr 1958 a
Syrian Arab Republic,,12 Jun 1959 a
Tajikistan,,19 Oct 2001 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Togo,,14 Mar 1990 a
Ukraine,,15 Nov 1954 a
Uzbekistan,,27 Feb 2004 a
Venezuela (Bolivarian Republic of),,18 Dec 1968 a
Yemen,,6 Apr 1989 a
Zimbabwe,,15 Nov 1995 a
