Participant,"Definitive signature of the Protocol, Succession to the Agreement and the Protocol, Acceptance of the Protocol","Accession to the Agreement as amended by the Protocol(a), Succession to the Agreement as amended by the Protocol(d)"
Algeria,,31 Oct 1963 a
Australia,8 Dec 1949,
Austria,7 Jun 1950,
Bahamas,10 Jun 1976,
Belgium,13 Oct 1952,
Benin,,4 Apr 1962 d
Cameroon,,3 Nov 1961 d
Canada,4 May 1949,
Central African Republic,,4 Sep 1962 d
Chile,20 Jun 1949,
China,4 May 1949,
Congo,,15 Oct 1962 d
Cote d'Ivoire,,8 Dec 1961 d
Cuba,4 Aug 1965,
Cyprus,,16 May 1963 d
Czech Republic,30 Dec 1993,
Denmark,1 Mar 1950,
Egypt,16 Sep 1949,
Fiji,12 Jun 1972,
Finland,31 Oct 1949,
France,5 May 1949,
Germany,29 May 1973,
Ghana,,7 Apr 1958 d
India,28 Dec 1949,
Iran (Islamic Republic of),30 Dec 1959,
Iraq,1 Jun 1949,
Ireland,19 Jul 1961,
Italy,13 Nov 1952,
Jamaica,,30 Jul 1964 d
Luxembourg,14 Mar 1955,
Madagascar,,9 Oct 1963 d
Malawi,,10 Jun 1965 a
Mali,,2 Feb 1973 d
Malta,,24 Mar 1967 d
Mauritius,,18 Jul 1969 d
Mexico,,21 Feb 1956 a
Montenegro,,23 Oct 2006 d
Morocco,,7 Nov 1956 d
Netherlands,26 Sep 1950,
Niger,,25 Aug 1961 d
Nigeria,,26 Jun 1961 d
Norway,4 May 1949,
Pakistan,16 Jun 1952,
Senegal,,2 May 1963 d
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Singapore,,7 Jun 1966 d
Slovakia,28 May 1993,
South Africa,14 Aug 1951,
Sri Lanka,14 Jul 1949,
Sweden,25 Feb 1952,
Switzerland,23 Sep 1949,
Trinidad and Tobago,,11 Apr 1966 d
Turkey,13 Sep 1950,
United Kingdom of Great Britain and Northern Ireland,4 May 1949,
United Republic of Tanzania,,18 Mar 1963 a
United States of America,14 Aug 1950,
Zambia,,26 Mar 1973 d
