Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Australia,,8 Dec 1949 s
Austria,,4 Aug 1950 s
Belgium,20 May 1949,13 Oct 1952 A
Brazil,4 May 1949,
Canada,,4 May 1949 s
China,,4 May 1949 s
Colombia,1 Jun 1949,
Cuba,4 May 1949,2 Dec 1983 A
Czech Republic,,30 Dec 1993 d
Denmark,21 Nov 1949,1 Mar 1950 A
Egypt,9 May 1949,16 Sep 1949 A
El Salvador,5 May 1949,
Fiji,,1 Nov 1971 d
Finland,,31 Oct 1949 A
France,,5 May 1949 s
Iceland,,25 Oct 1950 A
India,12 May 1949,28 Dec 1949 A
Iran (Islamic Republic of),28 Dec 1949,30 Dec 1959 A
Iraq,1 Jun 1949,14 Sep 1950 A
Ireland,,28 Feb 1952 A
Italy,,13 Nov 1952 A
Luxembourg,4 May 1949,14 Mar 1955 A
Mexico,,22 Jul 1952 A
Netherlands,2 Jun 1949,26 Sep 1950 A
New Zealand,,14 Oct 1950 s
Norway,,4 May 1949 s
Pakistan,13 May 1949,4 May 1951 A
Romania,,2 Nov 1950 s
Russian Federation,,14 May 1949 s
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Solomon Islands,,3 Sep 1981 d
South Africa,,1 Sep 1950 s
Sri Lanka,,14 Jul 1949 s
Switzerland,,23 Sep 1949 A
Turkey,4 May 1949,13 Sep 1950 A
United Kingdom of Great Britain and Northern Ireland,,4 May 1949 s
United States of America,4 May 1949,14 Aug 1950 A
