Participant,Acceptance(A)
Afghanistan,16 Nov 1966 A
Algeria,27 May 1966 A
Andorra,30 Apr 2001 A
Austria,15 Sep 2005 A
Bahrain,25 Jun 1975 A
Bangladesh,24 Mar 2000 A
Barbados,3 Jul 1967 A
Belize,10 Oct 2003 A
Benin,2 Feb 1966 A
Bhutan,14 Apr 1999 A
Botswana,4 Oct 2004 A
Brazil,9 May 2002 A
Bulgaria,26 Jan 1973 A
Burkina Faso,6 May 1966 A
Burundi,11 May 1970 A
Cameroon,5 Sep 1967 A
Central African Republic,30 Dec 1970 A
Chad,15 Dec 1998 A
Colombia,29 Jan 2008 A
Cook Islands,14 Feb 2000 A
Costa Rica,15 Jun 1967 A
Côte d'Ivoire,6 Dec 1965 A
Croatia,29 Jun 2000 A
Cuba,17 Jun 1975 A
Cyprus,29 Jul 2002 A
Czech Republic,12 Nov 2002 A
Djibouti,30 Mar 2005 A
Dominica,13 Aug 1998 A
Dominican Republic,13 Dec 1965 A
Egypt,20 Jul 1966 A
Estonia,9 Mar 2005 A
Ethiopia,19 Sep 1966 A
Fiji,9 Feb 1999 A
France,5 Oct 2000 A
Ghana,9 Feb 1966 A
Greece,7 Dec 1998 A
Guinea,22 Dec 1965 A
Iceland,29 May 2002 A
India,10 May 1966 A
Iraq,12 Feb 1968 A
Jamaica,28 Sep 1970 A
Jordan,11 May 1970 A
Kuwait,11 May 1966 A
Lebanon,5 Feb 1968 A
Liberia,16 Sep 2005 A
Madagascar,26 Nov 1965 A
Maldives,10 Jul 1968 A
Mali,18 Oct 1966 A
Malta,29 Mar 2000 A
Mauritania,26 Oct 1965 A
Mauritius,8 Apr 1969 A
Mexico,20 Jun 2001 A
Monaco,5 Nov 2003 A
Mongolia,5 Oct 1971 A
Morocco,2 Mar 1967 A
Mozambique,9 Jul 1998 A
Myanmar,8 Mar 1966 A
Namibia,21 Sep 2004 A
Nepal,22 Aug 2003 A
New Zealand,16 Jun 2000 A
Niger,9 May 1966 A
Nigeria,30 Jun 1966 A
Niue,12 Oct 1998 A
Oman,25 Jun 1971 A
Pakistan,8 Jul 1966 A
Palau,7 Oct 2003 A
Panama,16 Aug 2004 A
Peru,20 Jun 1967 A
Philippines,20 Nov 1967 A
Poland,19 Feb 1971 A
Portugal,7 Jan 2005 A
Qatar,21 Jun 1999 A
Russian Federation,2 Feb 1972 A
Rwanda,5 Jan 1966 A
Samoa,19 Aug 1998 A
San Marino,28 Oct 1980 A
Saudi Arabia,26 May 1967 A
Senegal,7 Jul 1966 A
Serbia,28 Dec 2004 A
Seychelles,6 Oct 2004 A
Sierra Leone,3 Mar 1966 A
Slovakia,11 May 2005 A
Somalia,26 Apr 1971 A
Spain,26 Sep 2001 A
Sudan,12 May 1999 A
Syrian Arab Republic,2 Jun 1966 A
Thailand,22 Jul 1998 A
The former Yugoslav Republic of Macedonia,9 Mar 1999 A
Togo,15 Dec 1998 A
Trinidad and Tobago,2 Dec 1965 A
Tunisia,9 Mar 1966 A
Uganda,26 May 1999 A
United Republic of Tanzania,17 Aug 1966 A
Uruguay,7 Nov 2007 A
Uzbekistan,23 Apr 2004 A
Viet Nam,4 Jun 1999 A
Yemen,18 Oct 2002 A
Zambia,22 Nov 1965 A
