Participant,Acceptance(A)
Afghanistan,28 Feb 1975 A
Argentina,4 Oct 1976 A
Australia,11 Mar 1975 A
Bahamas,14 Dec 1976 A
Bahrain,25 Jun 1975 A
Bangladesh,26 Feb 1976 A
Barbados,7 Jun 1974 A
Belgium,6 Aug 1974 A
Benin,24 Nov 1975 A
Bolivia (Plurinational State of),17 Oct 1975 A
Brazil,7 Aug 1974 A
Bulgaria,27 Jan 1976 A
Cameroon,30 May 1974 A
Canada,12 Jun 1974 A
Central African Republic,13 Jan 1977 A
Chad,3 Nov 1976 A
China,5 Mar 1976 A
Comoros,27 Jan 1977 A
Congo,3 Jan 1977 A
Cyprus,20 Jun 1975 A
Democratic Republic of the Congo,15 Jul 1976 A
Denmark,7 Oct 1974 A
Dominican Republic,16 Oct 1975 A
Ecuador,12 Mar 1975 A
Egypt,14 Jan 1974 A
El Salvador,17 Oct 1975 A
Ethiopia,9 Jan 1976 A
Fiji,15 Nov 1973 A
Finland,17 Jun 1974 A
France,28 Jan 1975 A
Gambia,25 Jan 1977 A
Germany,9 Jul 1975 A
Greece,4 Nov 1975 A
Grenada,16 Jul 1976 A
Guinea,22 Sep 1975 A
Guinea-Bissau,18 Nov 1975 A
Guyana,24 May 1974 A
Honduras,8 Nov 1974 A
Iceland,5 Dec 1975 A
Iraq,28 Jan 1977 A
Ireland,3 Mar 1975 A
Israel,8 Sep 1976 A
Jordan,30 Nov 1976 A
Kenya,17 Sep 1976 A
Kuwait,17 Jul 1975 A
Lao People's Democratic Republic,28 Sep 1976 A
Madagascar,27 Sep 1976 A
Malawi,21 Oct 1974 A
Malaysia,3 Jul 1975 A
Maldives,16 Sep 1975 A
Mali,27 Mar 1975 A
Malta,19 Jul 1976 A
Mauritania,21 Sep 1976 A
Mauritius,26 Jan 1976 A
Mexico,25 Jul 1975 A
Monaco,4 Nov 1975 A
Mongolia,19 Jan 1977 A
Morocco,30 Dec 1975 A
Myanmar,30 Dec 1975 A
Nepal,10 Feb 1976 A
Netherlands,27 Jan 1975 A
New Zealand,19 Feb 1976 A
Nicaragua,5 Nov 1976 A
Niger,11 Jul 1974 A
Nigeria,15 Oct 1975 A
Norway,14 Nov 1975 A
Oman,10 Apr 1974 A
Pakistan,29 Apr 1976 A
Panama,18 Feb 1975 A
Paraguay,15 Jan 1976 A
Philippines,17 Sep 1976 A
Portugal,20 Feb 1975 A
Qatar,8 Dec 1975 A
Republic of Korea,16 Nov 1976 A
Rwanda,19 Nov 1976 A
Samoa,6 Jan 1976 A
Saudi Arabia,13 Jan 1977 A
Singapore,22 Sep 1975 A
Somalia,8 Oct 1975 A
Spain,10 Oct 1975 A
Sri Lanka,12 Nov 1974 A
Suriname,27 Jan 1977 A
Swaziland,18 Nov 1975 A
Sweden,13 May 1974 A
Switzerland,21 Aug 1974 A
Syrian Arab Republic,18 Jun 1975 A
Thailand,27 Jan 1975 A
Togo,16 Jan 1975 A
Trinidad and Tobago,30 Jan 1975 A
Tunisia,6 Jan 1976 A
Uganda,24 Nov 1975 A
United Arab Emirates,2 Jul 1974 A
United Kingdom of Great Britain and Northern Ireland,23 Jul 1974 A
United Republic of Tanzania,6 Jan 1976 A
United States of America,19 May 1975 A
Venezuela (Bolivarian Republic of),23 Jul 1975 A
Yemen,11 Feb 1977 A
