Participant,Acceptance(A)
Afghanistan,28 Apr 1975 A
Albania,17 Oct 1974 A
Argentina,5 Feb 1971 A
Australia,14 Oct 1968 A
Austria,10 Feb 1970 A
Azerbaijan,2 Oct 1992 A
Bangladesh,25 Apr 1975 A
Barbados,27 Dec 1967 A
Belgium,3 May 1968 A
Benin,14 Dec 1970 A
Brazil,8 Aug 1968 A
Bulgaria,26 Jan 1973 A
Burkina Faso,10 Jan 1972 A
Burundi,11 May 1970 A
Cameroon,2 Dec 1970 A
Canada,24 May 1968 A
Central African Republic,30 Dec 1970 A
China,14 Jan 1974 A
Côte d'Ivoire,12 Sep 1967 A
Cyprus,24 Nov 1969 A
Denmark,20 Nov 1967 A
Ecuador,22 Oct 1974 A
Egypt,26 Jul 1968 A
Ethiopia,1 May 1972 A
Fiji,29 Jan 1975 A
Finland,21 Dec 1967 A
France,24 Feb 1970 A
Gabon,13 Dec 1974 A
Gambia,13 May 1974 A
Germany,23 Dec 1971 A
Ghana,30 Aug 1968 A
Guatemala,30 Apr 1975 A
Guinea,12 Nov 1973 A
Haiti,5 Sep 1974 A
Honduras,31 Oct 1974 A
Iceland,12 Jul 1972 A
India,16 Mar 1971 A
Iran (Islamic Republic of),31 Jul 1972 A
Iraq,9 Apr 1970 A
Ireland,3 Mar 1975 A
Israel,20 Oct 1970 A
Jamaica,28 Sep 1970 A
Japan,21 Jun 1972 A
Jordan,11 May 1970 A
Kenya,3 Jan 1972 A
Kuwait,2 Jan 1968 A
Lao People's Democratic Republic,29 Jul 1968 A
Lesotho,21 Feb 1974 A
Luxembourg,5 Apr 1972 A
Madagascar,19 Oct 1967 A
Malawi,20 May 1970 A
Malaysia,24 Jan 1974 A
Maldives,2 Dec 1968 A
Mali,6 Aug 1968 A
Mauritania,21 May 1975 A
Mauritius,8 Apr 1969 A
Mexico,6 Sep 1968 A
Monaco,14 May 1970 A
Mongolia,5 Oct 1971 A
Myanmar,27 Feb 1969 A
Nepal,20 May 1975 A
Netherlands,7 Jun 1968 A
New Zealand,28 Dec 1967 A
Nicaragua,6 Dec 1974 A
Niger,4 Sep 1968 A
Nigeria,24 Jan 1968 A
Norway,7 Feb 1968 A
Oman,25 Jun 1971 A
Panama,26 Feb 1975 A
Peru,18 Oct 1967 A
Philippines,10 Nov 1971 A
Poland,19 Feb 1971 A
Republic of Korea,13 Dec 1967 A
Romania,24 Feb 1972 A
Samoa,19 Feb 1975 A
Saudi Arabia,9 Nov 1967 A
Senegal,12 Jun 1970 A
Sierra Leone,26 Jan 1970 A
Somalia,26 Apr 1971 A
Spain,21 Apr 1970 A
Sri Lanka,12 Apr 1974 A
Sweden,9 Sep 1968 A
Switzerland,5 Dec 1967 A
Thailand,27 Jan 1975 A
Togo,29 Dec 1969 A
Trinidad and Tobago,27 Feb 1968 A
Tunisia,5 Oct 1967 A
Turkey,15 Aug 1969 A
United Kingdom of Great Britain and Northern Ireland,19 Jun 1968 A
United States of America,19 May 1975 A
Yemen,17 Jan 1975 A
Zambia,25 Jan 1968 A
