Participant,Acceptance(A)
Afghanistan,20 Sep 1982 A
Algeria,23 Nov 1983 A
Australia,30 Mar 1977 A
Bahamas,29 May 1980 A
Bahrain,25 Apr 1980 A
Bangladesh,3 Aug 1978 A
Barbados,3 Aug 1977 A
Belgium,29 Dec 1977 A
Benin,4 May 1983 A
Bhutan,8 Sep 1982 A
Bolivia (Plurinational State of),16 Jun 1982 A
Botswana,24 Feb 1978 A
Brazil,27 Aug 1982 A
Bulgaria,18 Jan 1983 A
Burundi,21 Jul 1981 A
Cambodia,17 Aug 1983 A
Cameroon,25 Sep 1978 A
Canada,20 Jan 1984 A
Cape Verde,13 Jan 1978 A
Chile,5 Aug 1982 A
China,20 May 1982 A
Comoros,13 Dec 1982 A
Cote d'Ivoire,16 Dec 1977 A
Democratic People's Republic of Korea,2 Mar 1982 A
Democratic Republic of the Congo,2 May 1983 A
Denmark,1 Jul 1981 A
Djibouti,5 Dec 1983 A
Ecuador,22 Nov 1976 A
Egypt,21 Dec 1976 A
Ethiopia,6 Jan 1977 A
Fiji,20 May 1981 A
Finland,14 Jun 1977 A
France,22 Jul 1981 A
Gabon,11 May 1982 A
Greece,27 Feb 1978 A
Guatemala,16 Jan 1979 A
Guinea-Bissau,5 Feb 1980 A
Guyana,30 Sep 1982 A
Hungary,4 May 1983 A
Iceland,22 Jul 1983 A
India,23 Jan 1978 A
Indonesia,24 May 1978 A
Iran (Islamic Republic of),22 Feb 1980 A
Iraq,25 Sep 1978 A
Ireland,16 Feb 1982 A
Italy,17 May 1983 A
Jamaica,11 Apr 1983 A
Jordan,10 Jun 1983 A
Kenya,1 Mar 1983 A
Lao People's Democratic Republic,23 Jan 1978 A
Lebanon,21 Jun 1982 A
Liberia,25 May 1982 A
Libya,16 Jun 1982 A
Luxembourg,22 Jun 1982 A
Madagascar,8 Mar 1983 A
Malawi,9 Apr 1980 A
Maldives,20 Sep 1977 A
Malta,20 Jul 1977 A
Mauritania,28 Apr 1982 A
Mauritius,3 Sep 1981 A
Mexico,23 Feb 1979 A
Monaco,13 Jan 1983 A
Mongolia,10 Nov 1981 A
Mozambique,27 Feb 1978 A
Myanmar,15 Jun 1979 A
Nepal,23 Apr 1980 A
Netherlands,18 Oct 1977 A
New Zealand,26 Mar 1980 A
Nicaragua,16 Feb 1983 A
Niger,28 Dec 1976 A
Norway,29 Dec 1976 A
Oman,8 Aug 1980 A
Papua New Guinea,1 Jul 1983 A
Peru,10 Oct 1978 A
Philippines,7 Oct 1981 A
Portugal,26 Jun 1978 A
Qatar,7 Dec 1982 A
Romania,18 Jul 1977 A
Russian Federation,1 Apr 1982 A
Samoa,9 May 1980 A
San Marino,28 Oct 1980 A
Sao Tome and Principe,12 Apr 1982 A
Saudi Arabia,13 Jan 1977 A
Senegal,12 Jan 1983 A
Seychelles,22 Feb 1980 A
Singapore,9 Jun 1983 A
Spain,4 Nov 1976 A
Sri Lanka,6 Oct 1978 A
Sudan,13 Jul 1982 A
Suriname,4 Oct 1976 A
Sweden,4 Feb 1980 A
Switzerland,21 Jul 1978 A
Thailand,7 Jun 1978 A
Togo,18 Oct 1982 A
Tonga,28 Nov 1977 A
Tunisia,30 Sep 1983 A
Turkey,29 Dec 1982 A
Uganda,10 Jan 1978 A
United Arab Emirates,7 Oct 1982 A
United Kingdom of Great Britain and Northern Ireland,24 Feb 1978 A
United States of America,11 Nov 1982 A
Uruguay,10 Apr 1978 A
Venezuela (Bolivarian Republic of),17 Aug 1983 A
Viet Nam,30 Dec 1981 A
Yemen,8 Mar 1982 A
Zambia,10 Aug 1984 A
Zimbabwe,13 Oct 1982 A
