Participant,Acceptance(A)
Afghanistan,7 Dec 1989 A
Australia,25 Feb 1987 A
Bahamas,2 Jun 1987 A
Bahrain,21 Jun 1991 A
Bangladesh,18 May 1994 A
Barbados,2 Nov 1993 A
Belarus,16 Feb 1993 A
Belgium,5 Feb 1987 A
Bhutan,23 Oct 1990 A
Bolivia (Plurinational State of),18 Mar 1992 A
Bosnia and Herzegovina,16 Jul 1993 A
Botswana,10 Jan 1992 A
Brunei Darussalam,4 Mar 1987 A
Bulgaria,4 May 1994 A
Burkina Faso,1 Apr 1992 A
Cambodia,17 Nov 1993 A
Cameroon,15 Oct 1987 A
Chad,26 May 1993 A
China,4 Dec 1986 A
Colombia,24 Sep 1993 A
Congo,13 Jul 1993 A
Cook Islands,2 Jan 1990 A
Côte d'Ivoire,30 Apr 1993 A
Croatia,11 Feb 1993 A
Cyprus,18 Jan 1990 A
Denmark,8 Jul 1991 A
Djibouti,2 Jun 1993 A
Dominica,1 Mar 1990 A
Ecuador,14 Apr 1993 A
Egypt,10 Sep 1990 A
El Salvador,13 Jan 1994 A
Ethiopia,4 Dec 1990 A
Fiji,23 Oct 1989 A
Finland,19 Dec 1986 A
France,17 Mar 1987 A
Gabon,20 May 1987 A
Germany,15 Sep 1987 A
Ghana,4 Oct 1991 A
Greece,23 Jan 1991 A
Grenada,31 Dec 1991 A
Guinea,27 Dec 1991 A
Guinea-Bissau,7 Nov 1991 A
Honduras,9 Jan 1991 A
Hungary,2 Jun 1992 A
Iceland,2 Apr 1991 A
India,12 Dec 1988 A
Indonesia,6 Jul 1988 A
Iran (Islamic Republic of),22 Oct 1990 A
Iraq,20 Mar 1990 A
Ireland,6 Oct 1993 A
Jamaica,4 Dec 1986 A
Japan,23 Jun 1987 A
Jordan,26 Mar 1987 A
Kiribati,11 May 1988 A
Kuwait,27 Apr 1987 A
Lao People's Democratic Republic,5 Apr 1988 A
Latvia,19 Apr 1993 A
Lebanon,9 Sep 1993 A
Lithuania,11 Mar 1993 A
Luxembourg,29 Sep 1987 A
Madagascar,24 Nov 1986 A
Malaysia,29 Sep 1988 A
Maldives,26 Oct 1990 A
Malta,23 Jan 1990 A
Marshall Islands,12 Jul 1993 A
Mauritius,23 Apr 1993 A
Mexico,17 Feb 1989 A
Micronesia (Federated States of),13 Mar 1992 A
Monaco,22 Feb 1990 A
Mongolia,26 Mar 1993 A
Morocco,2 Mar 1987 A
Mozambique,8 Oct 1991 A
Myanmar,17 Nov 1993 A
Namibia,11 Nov 1991 A
Nepal,30 Aug 1990 A
Netherlands,6 Nov 1987 A
New Zealand,30 Dec 1986 A
Nicaragua,14 Apr 1994 A
Nigeria,3 Jan 1991 A
Niue,11 Jul 1994 A
Norway,1 Feb 1990 A
Oman,3 Jul 1990 A
Panama,14 Jun 1990 A
Papua New Guinea,17 Oct 1990 A
Philippines,16 Mar 1989 A
Portugal,22 Mar 1994 A
Qatar,17 May 1993 A
Republic of Korea,5 May 1987 A
Romania,17 Nov 1993 A
Russian Federation,2 Apr 1990 A
Samoa,21 Feb 1991 A
San Marino,30 Jul 1987 A
Saudi Arabia,10 Jan 1990 A
Senegal,16 Apr 1987 A
Seychelles,30 Jul 1993 A
Singapore,2 Mar 1987 A
Slovenia,21 Jun 1993 A
Solomon Islands,9 Mar 1987 A
South Africa,5 May 1994 A
Spain,17 Apr 1991 A
Sri Lanka,21 May 1993 A
St. Lucia,26 Sep 1991 A
St. Vincent and the Grenadines,24 Sep 1991 A
Sudan,13 Nov 1990 A
Swaziland,10 Dec 1991 A
Sweden,10 Oct 1986 A
Switzerland,19 Feb 1987 A
Syrian Arab Republic,6 Feb 1990 A
Thailand,15 Aug 1990 A
Togo,30 Jan 1987 A
Tonga,2 Jan 1987 A
Trinidad and Tobago,15 Oct 1986 A
Tunisia,4 Oct 1990 A
Turkmenistan,16 Apr 1993 A
Tuvalu,27 Jan 1994 A
Uganda,9 Oct 1991 A
United Arab Emirates,11 Feb 1987 A
United Kingdom of Great Britain and Northern Ireland,18 Mar 1987 A
United States of America,1 May 1990 A
Uzbekistan,27 Aug 1993 A
Vanuatu,19 Mar 1987 A
Venezuela (Bolivarian Republic of),22 Apr 1988 A
Viet Nam,14 Oct 1987 A
Yemen,9 Sep 1993 A
Zimbabwe,15 Jun 1992 A
