Participant,Acceptance(A)
Afghanistan,10 Aug 2005 A
Algeria,23 Mar 2001 A
Andorra,31 Mar 1999 A
Angola,29 Sep 1998 A
Argentina,20 Jul 2001 A
Australia,18 Jul 2001 A
Austria,15 Sep 2005 A
Bahamas,16 Aug 2005 A
Bahrain,20 Jul 1998 A
Bangladesh,24 Mar 2000 A
Barbados,14 May 2004 A
Belgium,8 Mar 1999 A
Belize,10 Oct 2003 A
Benin,10 Sep 1998 A
Bhutan,23 Jan 2004 A
Botswana,4 Oct 2004 A
Brazil,9 May 2002 A
Brunei Darussalam,10 Jun 1999 A
Bulgaria,11 Aug 2004 A
Burkina Faso,26 Aug 2005 A
Cambodia,30 Nov 2001 A
Canada,23 May 2003 A
Chad,20 Apr 1999 A
China,6 Nov 1998 A
Comoros,15 Sep 1998 A
Cook Islands,14 Feb 2000 A
Cote d'Ivoire,24 Sep 1998 A
Croatia,29 Jun 2000 A
Cuba,21 Nov 2002 A
Cyprus,29 Jul 2002 A
Czech Republic,12 Nov 2002 A
Democratic People's Republic of Korea,7 Oct 1998 A
Denmark,20 Jan 1999 A
Djibouti,30 Mar 2005 A
Dominica,26 Aug 1998 A
Ecuador,17 Mar 2004 A
Egypt,1 Sep 1999 A
El Salvador,2 Feb 2005 A
Estonia,9 Mar 2005 A
Ethiopia,5 Jul 2000 A
Fiji,9 Feb 1999 A
Finland,14 Jul 1998 A
France,5 Oct 2000 A
Germany,9 Jan 2003 A
Ghana,5 Nov 1998 A
Greece,7 Dec 1998 A
Grenada,17 Feb 2005 A
Guinea,27 May 2005 A
Hungary,13 Dec 2004 A
Iceland,29 May 2002 A
India,2 Oct 2003 A
Indonesia,23 Feb 2005 A
Ireland,26 Jun 2002 A
Israel,9 Oct 2003 A
Jamaica,20 Dec 2001 A
Japan,11 Jun 2002 A
Jordan,11 Apr 2000 A
Kiribati,8 Jun 1999 A
Lao People's Democratic Republic,21 Feb 2002 A
Latvia,23 Dec 2004 A
Lebanon,21 Oct 1998 A
Luxembourg,28 Aug 2000 A
Madagascar,16 Sep 1999 A
Malaysia,26 Oct 2001 A
Maldives,12 Apr 1999 A
Mali,5 Nov 1998 A
Malta,29 Mar 2000 A
Marshall Islands,8 May 2002 A
Mauritius,17 Mar 1999 A
Mexico,20 Jun 2001 A
Micronesia (Federated States of),9 Sep 1998 A
Monaco,5 Nov 2003 A
Mongolia,15 Jun 1999 A
Morocco,12 Mar 1999 A
Myanmar,23 Apr 2002 A
Namibia,26 Mar 1999 A
Nauru,10 Mar 1999 A
Nepal,22 Aug 2003 A
Netherlands,8 Jun 1999 A
New Zealand,16 Jun 2000 A
Niger,4 Jun 2002 A
Niue,8 Jul 2002 A
Norway,25 Oct 1999 A
Oman,4 Dec 1998 A
Palau,5 Nov 1998 A
Panama,16 Aug 2004 A
Papua New Guinea,3 Sep 2002 A
Peru,19 Aug 1998 A
Philippines,4 Nov 2003 A
Portugal,7 Jan 2005 A
Qatar,21 Jun 1999 A
Republic of Korea,4 Jun 1999 A
Romania,22 Jun 1999 A
Russian Federation,25 Mar 2004 A
Samoa,19 Aug 1998 A
San Marino,5 Nov 1998 A
Saudi Arabia,23 Mar 1999 A
Serbia,28 Dec 2004 A
Seychelles,10 Sep 1998 A
Singapore,4 Dec 1998 A
Slovakia,11 May 2005 A
Slovenia,21 Oct 1998 A
Solomon Islands,3 Sep 2002 A
Spain,26 Sep 2001 A
Sri Lanka,29 Nov 2004 A
St. Kitts and Nevis,7 Jul 2004 A
Sudan,12 May 1999 A
Sweden,16 Sep 1998 A
Switzerland,13 Nov 1998 A
Syrian Arab Republic,24 Jun 1999 A
Tajikistan,21 Jul 1998 A
Thailand,4 Aug 1998 A
The former Yugoslav Republic of Macedonia,9 Mar 1999 A
Togo,15 Dec 1998 A
Tonga,3 Sep 2002 A
Trinidad and Tobago,18 Oct 2004 A
Tunisia,9 Apr 1999 A
Turkey,22 Aug 2002 A
Tuvalu,6 Sep 2001 A
Uganda,16 Sep 1998 A
United Arab Emirates,15 Dec 1998 A
United Kingdom of Great Britain and Northern Ireland,15 Jun 2001 A
United Republic of Tanzania,23 Sep 1998 A
Uzbekistan,23 Apr 2004 A
Vanuatu,5 Oct 1998 A
Viet Nam,4 Jun 1999 A
Yemen,10 Oct 2002 A
Zimbabwe,14 Sep 1998 A
