Participant,Signature,"Ratification, Accession(a), Approval(AA)"
Bangladesh,28 Oct 1996,
Bhutan,28 Oct 1996,
Brazil,28 Apr 1997,4 Oct 1999
China,13 Jan 1997,18 Aug 1997 AA
Ecuador,25 Mar 1998,5 Jan 1999
Egypt,22 Apr 1997,
India,,1 May 2012 a
Indonesia,28 Oct 1996,
Israel,28 Jan 1997,
Jamaica,14 Nov 1997,
Kazakhstan,28 Oct 1996,
Kyrgyzstan,18 Feb 1997,
Lebanon,12 Jan 1998,
Liberia,,12 Oct 2005 a
Malta,13 Mar 1998,
Mongolia,28 Oct 1996,19 Jun 1997
Myanmar,3 Jan 1997,
Nepal,30 May 1997,
Netherlands,28 Oct 1996,23 Jun 1998
Oman,,30 Oct 2009 a
Pakistan,23 Dec 1996,13 Jul 2000
Panama,28 Oct 1996,
Papua New Guinea,26 Nov 1996,
Peru,13 Jun 1997,5 Jul 2000
Philippines,5 Nov 1996,27 Feb 2004
Republic of Korea,28 Oct 1996,17 Dec 1996
Romania,28 Oct 1996,
Senegal,30 Oct 1996,
Sri Lanka,30 Apr 1997,24 Feb 2000
Sweden,2 Apr 1997,2 Apr 1997
Tajikistan,19 Mar 1997,
Thailand,28 Oct 1996,
Turkey,9 Oct 1997,
Uzbekistan,28 Oct 1996,29 May 1997
Viet Nam,28 Oct 1996,3 Jun 1997 AA
World Health Organization,28 Oct 1996,28 Jul 1997 AA
