Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Formal confirmation(c), Accession(a), Succession(d)"
Afghanistan,29 Jun 2004,13 Aug 2010
Albania,29 Jun 2004,26 Apr 2006
Algeria,20 Jun 2003,30 Jun 2006
Angola,29 Jun 2004,20 Sep 2007
Antigua and Barbuda,28 Jun 2004,5 Jun 2006
Argentina,25 Sep 2003,
Armenia,,29 Nov 2004 a
Australia,5 Dec 2003,27 Oct 2004
Austria,28 Aug 2003,15 Sep 2005
Azerbaijan,,1 Nov 2005 a
Bahamas,29 Jun 2004,3 Nov 2009
Bahrain,,20 Mar 2007 a
Bangladesh,16 Jun 2003,14 Jun 2004
Barbados,28 Jun 2004,3 Nov 2005
Belarus,17 Jun 2004,8 Sep 2005
Belgium,22 Jan 2004,1 Nov 2005
Belize,26 Sep 2003,15 Dec 2005
Benin,18 Jun 2004,3 Nov 2005
Bhutan,9 Dec 2003,23 Aug 2004
Bolivia (Plurinational State of),27 Feb 2004,15 Sep 2005
Bosnia and Herzegovina,,10 Jul 2009 a
Botswana,16 Jun 2003,31 Jan 2005
Brazil,16 Jun 2003,3 Nov 2005
Brunei Darussalam,3 Jun 2004,3 Jun 2004
Bulgaria,22 Dec 2003,7 Nov 2005
Burkina Faso,22 Dec 2003,31 Jul 2006
Burundi,16 Jun 2003,22 Nov 2005
Cambodia,25 May 2004,15 Nov 2005
Cameroon,13 May 2004,3 Feb 2006
Canada,15 Jul 2003,26 Nov 2004
Cape Verde,17 Feb 2004,4 Oct 2005
Central African Republic,29 Dec 2003,7 Nov 2005
Chad,22 Jun 2004,30 Jan 2006
Chile,25 Sep 2003,13 Jun 2005
China,10 Nov 2003,11 Oct 2005
Colombia,,10 Apr 2008 a
Comoros,27 Feb 2004,24 Jan 2006
Congo,23 Mar 2004,6 Feb 2007
Cook Islands,14 May 2004,14 May 2004
Costa Rica,3 Jul 2003,21 Aug 2008
Cote d'Ivoire,24 Jul 2003,13 Aug 2010
Croatia,2 Jun 2004,14 Jul 2008
Cuba,29 Jun 2004,
Cyprus,24 May 2004,26 Oct 2005
Czech Republic,16 Jun 2003,1 Jun 2012
Democratic People's Republic of Korea,17 Jun 2003,27 Apr 2005
Democratic Republic of the Congo,28 Jun 2004,28 Oct 2005
Denmark,16 Jun 2003,16 Dec 2004
Djibouti,13 May 2004,31 Jul 2005
Dominica,29 Jun 2004,24 Jul 2006
Ecuador,22 Mar 2004,25 Jul 2006
Egypt,17 Jun 2003,25 Feb 2005
El Salvador,18 Mar 2004,
Equatorial Guinea,,17 Sep 2005 a
Estonia,8 Jun 2004,27 Jul 2005
Ethiopia,25 Feb 2004,
European Union,16 Jun 2003,30 Jun 2005 c
Fiji,3 Oct 2003,3 Oct 2003
Finland,16 Jun 2003,24 Jan 2005
France,16 Jun 2003,19 Oct 2004 AA
Gabon,22 Aug 2003,20 Feb 2009
Gambia,16 Jun 2003,18 Sep 2007
Georgia,20 Feb 2004,14 Feb 2006
Germany,24 Oct 2003,16 Dec 2004
Ghana,20 Jun 2003,29 Nov 2004
Greece,16 Jun 2003,27 Jan 2006
Grenada,29 Jun 2004,14 Aug 2007
Guatemala,25 Sep 2003,16 Nov 2005
Guinea,1 Apr 2004,7 Nov 2007
Guinea-Bissau,,7 Nov 2008 a
Guyana,,15 Sep 2005 a
Haiti,23 Jul 2003,
Honduras,18 Jun 2004,16 Feb 2005
Hungary,16 Jun 2003,7 Apr 2004
Iceland,16 Jun 2003,14 Jun 2004
India,10 Sep 2003,5 Feb 2004
