Participant,Ratification
Argentina,24 Sep 1945
Australia,1 Nov 1945
Belarus,24 Oct 1945
Belgium,27 Dec 1945
Bolivia (Plurinational State of),14 Nov 1945
Brazil,21 Sep 1945
Canada,9 Nov 1945
Chile,11 Oct 1945
China,28 Sep 1945
Colombia,5 Nov 1945
Costa Rica,2 Nov 1945
Cuba,15 Oct 1945
Denmark,9 Oct 1945
Dominican Republic,4 Sep 1945
Ecuador,21 Dec 1945
Egypt,22 Oct 1945
El Salvador,26 Sep 1945
Ethiopia,13 Nov 1945
France,31 Aug 1945
Greece,25 Oct 1945
Guatemala,21 Nov 1945
Haiti,27 Sep 1945
Honduras,17 Dec 1945
India,30 Oct 1945
Iran (Islamic Republic of),16 Oct 1945
Iraq,21 Dec 1945
Lebanon,15 Oct 1945
Liberia,2 Nov 1945
Luxembourg,17 Oct 1945
Mexico,7 Nov 1945
Netherlands,10 Dec 1945
New Zealand,19 Sep 1945
Nicaragua,6 Sep 1945
Norway,27 Nov 1945
Panama,13 Nov 1945
Paraguay,12 Oct 1945
Peru,31 Oct 1945
Philippines,11 Oct 1945
Poland,24 Oct 1945
Russian Federation,24 Oct 1945
Saudi Arabia,18 Oct 1945
South Africa,7 Nov 1945
Syrian Arab Republic,19 Oct 1945
Turkey,28 Sep 1945
Ukraine,24 Oct 1945
United Kingdom of Great Britain and Northern Ireland,20 Oct 1945
United States of America,8 Aug 1945
Uruguay,18 Dec 1945
Venezuela (Bolivarian Republic of),15 Nov 1945
