Participant,Ratification
Afghanistan,20 Sep 1973
Albania,22 Mar 1974
Algeria,21 Jun 1972
Argentina,19 Mar 1973
Australia,16 Nov 1972
Austria,12 Jan 1973
Bahrain,22 Aug 1972
Barbados,12 Jun 1972
Belarus,15 Jun 1973
Belgium,26 Mar 1973
Benin,5 Feb 1973
Bhutan,13 Sep 1972
Bolivia (Plurinational State of),29 Jun 1973
Botswana,12 Feb 1973
Brazil,7 Sep 1972
Bulgaria,5 Jun 1973
Cameroon,12 Dec 1972
Canada,28 Sep 1972
Chad,11 May 1973
Chile,23 Jul 1974
China,15 Sep 1972
Colombia,20 May 1975
Costa Rica,14 Aug 1973
Côte d'Ivoire,28 Feb 1973
Cuba,17 May 1976
Cyprus,26 Jun 1972
Democratic Republic of the Congo,16 Aug 1973
Denmark,23 Jan 1973
Dominican Republic,29 Nov 1972
Ecuador,20 Apr 1973
Egypt,28 Dec 1972
Ethiopia,27 Feb 1974
Fiji,12 Jun 1972
Finland,30 Mar 1972
France,1 Jun 1973
Ghana,8 Jan 1973
Greece,15 Jan 1974
Guatemala,3 Oct 1972
Guinea,27 Jun 1973
Guyana,22 May 1973
Hungary,12 Jul 1973
Iceland,6 Mar 1973
India,5 Jan 1973
Indonesia,30 Mar 1973
Iran (Islamic Republic of),15 Mar 1973
Iraq,9 Aug 1972
Ireland,6 Oct 1972
Italy,25 Jul 1973
Jamaica,6 Oct 1972
Japan,15 Jun 1973
Jordan,2 Jun 1972
Kenya,5 Oct 1972
Kuwait,20 Jun 1972
Lebanon,2 Jul 1973
Lesotho,30 May 1973
Liberia,4 Dec 1972
Libya,12 Apr 1973
Luxembourg,5 Jun 1973
Madagascar,19 Jul 1973
Malawi,15 Sep 1972
Malaysia,16 Jun 1972
Mali,30 Aug 1973
Malta,22 Feb 1973
Mauritius,29 Jun 1973
Mexico,11 Apr 1973
Mongolia,18 May 1973
Morocco,26 Sep 1972
Nepal,24 Nov 1972
Netherlands,31 Oct 1972
New Zealand,19 Jul 1972
Nicaragua,17 Jul 1973
Niger,22 Aug 1972
Nigeria,17 Oct 1973
Norway,14 Mar 1973
Oman,23 Jun 1972
Pakistan,21 Aug 1973
Panama,26 Sep 1972
Paraguay,28 Dec 1973
Peru,26 Jun 1973
Philippines,14 Nov 1972
Poland,19 Sep 1973
Qatar,15 Jun 1972
Romania,26 Feb 1973
Russian Federation,1 Jun 1973
Rwanda,6 Nov 1973
Senegal,25 Jan 1973
Sierra Leone,15 Oct 1973
Singapore,18 Apr 1972
Spain,26 Jul 1973
Sri Lanka,6 Dec 1972
Sudan,4 Oct 1972
Sweden,22 Dec 1972
Syrian Arab Republic,21 Aug 1974
Thailand,19 Jul 1972
Togo,29 Oct 1973
Trinidad and Tobago,11 Sep 1972
Tunisia,8 Nov 1972
Uganda,12 Jun 1972
Ukraine,16 May 1973
United Arab Emirates,29 Sep 1972
United Kingdom of Great Britain and Northern Ireland,19 Jun 1973
United Republic of Tanzania,4 Apr 1973
United States of America,24 Sep 1973
Venezuela (Bolivarian Republic of),29 Oct 1974
Yemen,15 Jun 1972
Zambia,13 Oct 1972
