Participant,Signature,"Definitive signature(s), Ratification, Acceptance(A), Approval(AA), Accession(a)"
Australia,,11 Oct 1983 s
Bangladesh,,9 Sep 1982 s
Brunei Darussalam,,14 Feb 1985 s
China,,18 Feb 1983 s
Cook Islands,,29 Mar 1983 s
Fiji,,4 Sep 1986 a
India,,25 Apr 1983 s
Indonesia,,7 Jan 1983 s
Japan,,9 Sep 1982 s
Lao People's Democratic Republic,9 Sep 1982,
Malaysia,,9 Sep 1982 s
Maldives,,25 Apr 1983 s
Nepal,,25 Apr 1983 s
New Zealand,9 Sep 1982,
Pakistan,,9 Sep 1982 s
Philippines,,15 Dec 1982 s
Republic of Korea,,9 Sep 1982 s
Sri Lanka,9 Sep 1982,
Thailand,,27 Jun 1983 s
Viet Nam,,9 Sep 1982 s
