Participant,Signature,"Ratification, Acceptance(A), Participation under articles 3 (2) and (3)(P)"
Afghanistan,4 Dec 1965,22 Aug 1966
Australia,4 Dec 1965,19 Dec 1966
Austria,31 Jan 1966,29 Sep 1966
Bangladesh,,14 Mar 1973 P
Belgium,31 Jan 1966,16 Aug 1966
Bhutan,,15 Apr 1982 P
Cambodia,4 Dec 1965,30 Sep 1966
Canada,4 Dec 1965,22 Aug 1966
China,,10 Mar 1986 P
Cook Islands,,20 Apr 1976 P
Denmark,28 Jan 1966,16 Aug 1966
Fiji,,2 Apr 1970 P
Finland,28 Jan 1966,22 Aug 1966
France,,27 Jul 1970 P
Germany,4 Dec 1965,30 Aug 1966
Hong Kong,,27 Mar 1969 P
India,4 Dec 1965,20 Jul 1966
Indonesia,,24 Nov 1966 P
Iran (Islamic Republic of),4 Dec 1965,
Italy,31 Jan 1966,30 Sep 1966
Japan,4 Dec 1965,16 Aug 1966
Kiribati,,28 May 1974 P
Lao People's Democratic Republic,4 Dec 1965,30 Aug 1966
Malaysia,4 Dec 1965,16 Aug 1966
Maldives,,14 Feb 1978 P
Myanmar,,26 Apr 1973 P
Nepal,4 Dec 1965,21 Jun 1966 A
Netherlands,4 Dec 1965,29 Aug 1966
New Zealand,4 Dec 1965,29 Sep 1966
Norway,28 Jan 1966,14 Jul 1966
Pakistan,4 Dec 1965,12 May 1966
Papua New Guinea,,8 Apr 1971 P
Philippines,4 Dec 1965,5 Jul 1966
Republic of Korea,4 Dec 1965,16 Aug 1966
Samoa,4 Dec 1965,23 Jun 1966
Singapore,28 Jan 1966,21 Sep 1966
Solomon Islands,,30 Apr 1973 P
Spain,,14 Feb 1986 P
Sri Lanka,4 Dec 1965,29 Sep 1966
Sweden,31 Jan 1966,29 Sep 1966
Switzerland,,31 Dec 1967 P
Thailand,4 Dec 1965,16 Aug 1966
Tonga,,29 Mar 1972 P
United Kingdom of Great Britain and Northern Ireland,4 Dec 1965,26 Sep 1966
United States of America,4 Dec 1965,16 Aug 1966 A
Uzbekistan,,31 Aug 1995 P
Vanuatu,,15 Apr 1982 P
Viet Nam,28 Jan 1966,22 Sep 1966
