Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Afghanistan,,13 Dec 1978 a
Albania,,3 Nov 1992 a
Algeria,20 Jul 1977,26 May 1978 AA
Angola,,24 Apr 1985 a
Antigua and Barbuda,,21 Jan 1986 a
Argentina,14 Apr 1977,11 Sep 1978
Armenia,,23 Mar 1993 a
Australia,30 Mar 1977,21 Oct 1977
Austria,1 Apr 1977,12 Dec 1977
Azerbaijan,,11 Apr 1994 a
Bahamas,,28 Feb 2008 a
Bangladesh,17 Mar 1977,9 May 1977
Barbados,,13 Dec 1978 a
Belgium,16 Mar 1977,9 Dec 1977
Belize,,15 Dec 1982 a
Benin,,28 Dec 1977 a
Bhutan,,13 Dec 1978 a
Bolivia (Plurinational State of),27 Jul 1977,30 Dec 1977
Bosnia and Herzegovina,,18 Mar 1994 a
Botswana,,21 Jul 1977 a
Brazil,13 Apr 1977,2 Nov 1978
Burkina Faso,,14 Dec 1977 a
Burundi,,13 Dec 1978 a
Cabo Verde,,12 Oct 1977 a
Cambodia,,25 Aug 1992 a
Cameroon,,20 Jun 1977 a
Canada,10 Feb 1977,28 Nov 1977
Central African Republic,,11 Dec 1978 a
Chad,13 Oct 1977,3 Nov 1977
Chile,19 Jan 1977,2 Jun 1978
China,,15 Jan 1980 a
Colombia,,16 Jul 1979 a
Comoros,,13 Dec 1977 a
Congo,30 Jun 1977,27 Jul 1978
Cook Islands,,25 Mar 1993 a
Costa Rica,20 Dec 1977,16 Nov 1978
Côte d'Ivoire,,19 Jan 1982 a
Croatia,,24 Mar 1997 a
Cuba,23 Sep 1977,15 Nov 1977
Cyprus,,20 Dec 1977 a
Democratic People's Republic of Korea,,23 Feb 1987 a
Democratic Republic of the Congo,23 May 1977,12 Oct 1977
Denmark,11 Jan 1977,28 Jun 1977
Djibouti,,14 Dec 1977 a
Dominica,,29 Jan 1980 a
Dominican Republic,,29 Dec 1977 a
Ecuador,1 Apr 1977,19 Jul 1977
Egypt,18 Feb 1977,11 Oct 1977
El Salvador,21 Mar 1977,31 Oct 1977
Equatorial Guinea,,29 Jul 1981 a
Eritrea,,31 Mar 1994 a
Estonia,,5 Dec 2012 a
Ethiopia,20 Jul 1977,7 Sep 1977
Fiji,,28 Mar 1978 a
Finland,24 Feb 1977,30 Nov 1977
France,21 Jan 1977,12 Dec 1977 AA
Gabon,,5 Jun 1978 a
Gambia,,13 Dec 1977 a
Georgia,,1 Feb 1995 a
Germany,29 Mar 1977,14 Oct 1977
Ghana,19 Oct 1977,5 Dec 1977
Greece,1 Jul 1977,30 Nov 1978
Grenada,,25 Jul 1980 a
Guatemala,,30 Nov 1978 a
Guinea,3 May 1977,12 Jul 1977
Guinea-Bissau,,25 Jan 1978 a
Guyana,,13 Dec 1977 a
Haiti,,19 Dec 1977 a
Honduras,5 Jul 1977,13 Dec 1977
Hungary,,13 Jul 2011 a
Iceland,,8 Aug 2001 a
India,21 Jan 1977,28 Mar 1977
Indonesia,18 Feb 1977,27 Sep 1977
Iran (Islamic Republic of),27 Apr 1977,12 Dec 1977
Iraq,23 Nov 1977,13 Dec 1977
Ireland,28 Apr 1977,14 Oct 1977
Israel,28 Apr 1977,10 Jan 1978
Italy,26 Jan 1977,10 Dec 1977
Jamaica,24 Mar 1977,13 Apr 1977
Japan,11 Feb 1977,25 Oct 1977 A
Jordan,,15 Feb 1979 a
Kazakhstan,,25 Sep 1998 a
Kenya,30 Mar 1977,10 Nov 1977
Kiribati,,23 Feb 2005 a
Kuwait,4 Mar 1977,29 Jul 1977
Kyrgyzstan,,10 Sep 1993 a
Lao People's Democratic Republic,,13 Dec 1978 a
Lebanon,,20 Jun 1978 a
Lesotho,,13 Dec 1977 a
Liberia,,11 Apr 1978 a
Libya,,15 Apr 1977 a
Luxembourg,18 Feb 1977,9 Dec 1977
Madagascar,,12 Jan 1979 a
Malawi,,13 Dec 1977 a
Malaysia,,23 Jan 1990 a
Maldives,,15 Jan 1980 a
Mali,30 Jun 1977,30 Sep 1977
Malta,24 Feb 1977,23 Sep 1977
Marshall Islands,,18 Feb 2009 a
Mauritania,,26 Jun 1979 a
Mauritius,,29 Jan 1979 a
Mexico,2 Aug 1977,31 Oct 1977
Micronesia (Federated States of),,16 Feb 2015 a
Mongolia,,9 Feb 1994 a
Montenegro,,16 Feb 2015 a
Morocco,22 Dec 1976,16 Dec 1977
Mozambique,,16 Oct 1978 a
Myanmar,,23 Jan 1990 a
Namibia,,16 Oct 1992 a
Nauru,,13 Feb 2013 a
Nepal,,5 May 1978 a
Netherlands,4 Feb 1977,29 Jul 1977 A
New Zealand,10 Oct 1977,10 Oct 1977
Nicaragua,18 May 1977,28 Oct 1977
Niger,,13 Dec 1977 a
Nigeria,6 May 1977,25 Oct 1977
Niue,,20 Jul 2006 a
Norway,20 Jan 1977,8 Jul 1977
Oman,,19 Apr 1983 a
Pakistan,28 Jan 1977,9 Mar 1977
Palau,,16 Feb 2015 a
Panama,8 Mar 1977,13 Apr 1977
Papua New Guinea,4 Jan 1978,11 May 1978
Paraguay,,23 Mar 1979 a
Peru,20 Sep 1977,6 Dec 1977
Philippines,5 Jan 1977,4 Apr 1977
Portugal,30 Sep 1977,30 Nov 1978
Qatar,,13 Dec 1977 a
Republic of Korea,2 Mar 1977,26 Jan 1978
Republic of Moldova,,17 Jan 1996 a
Romania,22 Mar 1977,25 Nov 1977
Russian Federation,,19 Feb 2014 a
Rwanda,10 May 1977,29 Nov 1977
Samoa,,13 Dec 1977 a
Sao Tome and Principe,,22 Apr 1978 a
Saudi Arabia,5 Jul 1977,15 Jul 1977
Senegal,19 Jul 1977,13 Dec 1977
Seychelles,,13 Dec 1978 a
Sierra Leone,15 Feb 1977,14 Oct 1977
Solomon Islands,,13 Mar 1981 a
Somalia,26 Jan 1977,8 Sep 1977
South Africa,,14 Feb 1997 a
South Sudan,,22 Feb 2012 a
Spain,22 Jun 1977,27 Nov 1978
Sri Lanka,15 Feb 1977,23 Mar 1977
St. Kitts and Nevis,,21 Jan 1986 a
St. Lucia,,9 Oct 1980 a
St. Vincent and the Grenadines,,8 Mar 1990 a
Sudan,21 Mar 1977,12 Dec 1977
Suriname,,15 Feb 1983 a
Swaziland,18 Nov 1977,18 Nov 1977
Sweden,12 Jan 1977,17 Jun 1977
Switzerland,24 Jan 1977,21 Oct 1977
Syrian Arab Republic,8 Sep 1977,29 Nov 1978
Tajikistan,,26 Jan 1994 a
Thailand,19 Apr 1977,30 Nov 1977
The former Yugoslav Republic of Macedonia,,26 Jan 1994 a
Timor-Leste,,4 Mar 2003 a
Togo,,26 Apr 1979 a
Tonga,,12 Apr 1982 a
Trinidad and Tobago,,24 Mar 1988 a
Tunisia,27 Jan 1977,23 Aug 1977
Turkey,17 Nov 1977,14 Dec 1977
Tuvalu,,13 Feb 2013 a
Uganda,6 Jul 1977,31 Aug 1977
United Arab Emirates,5 Oct 1977,28 Dec 1977 A
United Kingdom of Great Britain and Northern Ireland,7 Jan 1977,9 Sep 1977
United Republic of Tanzania,18 Jul 1977,25 Nov 1977
United States of America,22 Dec 1976,4 Oct 1977
Uruguay,5 Apr 1977,16 Dec 1977
Uzbekistan,,19 Feb 2011 a
Vanuatu,,13 Feb 2013 a
Venezuela (Bolivarian Republic of),4 Jan 1977,13 Oct 1977
Viet Nam,,13 Dec 1977 a
Yemen,,13 Dec 1977 a
Zambia,,16 Dec 1977 a
Zimbabwe,,22 Jan 1981 a
