Participant,Signature,"Definitive signature(s), Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,,23 Sep 1982 a
Albania,,4 Jan 1985 a
Algeria,,28 Feb 1989 a
Armenia,,8 Dec 1993 a
Austria,27 Apr 1976,13 May 1977
Azerbaijan,,12 Jun 1996 a
Belarus,,5 Apr 1993 a
Belgium,22 Dec 1976,20 Dec 1982
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,,20 Oct 1977 a
Canada,,21 Oct 1980 a
Chile,,6 Oct 1982 a
Croatia,,3 Aug 1992 d
Cyprus,,7 Aug 1981 a
Czech Republic,,2 Jun 1993 d
Denmark,21 Dec 1976,20 Dec 1982
Estonia,,21 Sep 1992 a
European Union,30 Dec 1976,20 Dec 1982 AA
Finland,28 Dec 1976,27 Feb 1978
France,,30 Dec 1976 s
Georgia,,24 Mar 1994 a
Germany,30 Dec 1976,20 Dec 1982
Greece,30 Dec 1976,15 May 1980
Hungary,23 Nov 1976,9 Mar 1978
Indonesia,,11 Oct 1989 a
Iran (Islamic Republic of),,16 Aug 1984 a
Ireland,30 Dec 1976,20 Dec 1982
Israel,,14 Feb 1984 a
Italy,28 Dec 1976,20 Dec 1982
Jordan,,24 Dec 1985 a
Kazakhstan,,17 Jul 1995 a
Kuwait,,23 Nov 1983 a
Kyrgyzstan,,2 Apr 1998 a
Latvia,,19 Apr 1993 a
Lebanon,,25 Nov 1997 a
Liberia,,16 Sep 2005 a
Lithuania,,26 Feb 1993 a
Luxembourg,23 Dec 1976,20 Dec 1982
Malta,,18 Feb 1977 a
Mongolia,,1 Oct 2002 a
Montenegro,,23 Oct 2006 d
Morocco,15 Oct 1976,31 Mar 1983
Netherlands,28 Dec 1976,20 Dec 1982 A
Norway,,11 Jan 1980 a
Poland,,23 Dec 1980 a
Portugal,,13 Feb 1979 a
Republic of Korea,,29 Jan 1982 a
Republic of Moldova,,26 May 1993 a
Romania,,14 Feb 1980 a
Russian Federation,,8 Jun 1982 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Spain,,11 Aug 1982 a
Sweden,,17 Dec 1976 s
Switzerland,4 Aug 1976,3 Feb 1978
Syrian Arab Republic,,11 Jan 1999 a
Tajikistan,,11 Sep 1996 a
The former Yugoslav Republic of Macedonia,,2 Dec 1993 d
Tunisia,11 Jun 1976,13 Oct 1977
Turkey,,12 Nov 1984 a
Turkmenistan,,18 Sep 1996 a
Ukraine,,11 Oct 1994 d
United Arab Emirates,,20 Apr 2007 a
United Kingdom of Great Britain and Northern Ireland,22 Dec 1976,8 Oct 1982
United States of America,,18 Sep 1981 a
Uruguay,,24 Dec 1980 a
Uzbekistan,,28 Sep 1995 a
