Participant,Acceptance(A)
Algeria,8 Mar 1976 A
Angola,6 Jun 1977 A
Austria,1 Mar 1977 A
Bahamas,31 Jan 1977 A
Bahrain,22 Sep 1976 A
Barbados,30 Jun 1975 A
Belgium,6 Jul 1976 A
Brazil,30 Jul 1976 A
Bulgaria,16 Apr 1975 A
Cabo Verde,24 Aug 1976 A
Cameroon,1 Nov 1976 A
Canada,16 Jul 1975 A
Chile,11 Feb 1976 A
China,28 Apr 1975 A
Cuba,24 Nov 1975 A
Cyprus,24 Feb 1976 A
Denmark,20 Jul 1976 A
Dominican Republic,30 Dec 1976 A
Ecuador,3 Jan 1977 A
Egypt,16 Nov 1976 A
Ethiopia,2 Aug 1977 A
Finland,19 Oct 1976 A
France,24 Mar 1975 A
Gabon,15 Nov 1977 A
Germany,1 Dec 1975 A
Ghana,18 Oct 1976 A
Greece,16 May 1977 A
Guinea,1 Apr 1977 A
Guinea-Bissau,6 Dec 1977 A
Hungary,30 Dec 1976 A
Iceland,13 May 1976 A
India,16 Jan 1976 A
Indonesia,23 Nov 1976 A
Iran (Islamic Republic of),8 Jul 1975 A
Iraq,11 Mar 1976 A
Israel,8 Sep 1976 A
Italy,13 May 1976 A
Jordan,5 Apr 1977 A
Liberia,8 Sep 1975 A
Libya,30 Jul 1976 A
Madagascar,29 Dec 1975 A
Maldives,21 Jul 1975 A
Malta,2 Nov 1976 A
Mexico,23 Mar 1976 A
Morocco,17 Sep 1976 A
Netherlands,10 Nov 1975 A
New Zealand,24 Mar 1976 A
Nigeria,30 Jun 1976 A
Norway,28 Apr 1975 A
Oman,17 Nov 1976 A
Pakistan,13 May 1976 A
Panama,23 May 1975 A
Peru,17 Nov 1976 A
Poland,15 Mar 1976 A
Portugal,24 Oct 1977 A
Qatar,19 May 1977 A
Republic of Korea,8 Nov 1976 A
Romania,25 Jul 1977 A
Russian Federation,28 Apr 1975 A
Saudi Arabia,23 Mar 1977 A
Singapore,18 Jan 1977 A
Spain,24 Mar 1975 A
Sri Lanka,17 May 1976 A
Suriname,26 Nov 1976 A
Sweden,5 May 1975 A
Switzerland,16 Jan 1976 A
Syrian Arab Republic,25 Mar 1977 A
Thailand,1 Dec 1975 A
Trinidad and Tobago,16 May 1975 A
Tunisia,13 May 1976 A
United Kingdom of Great Britain and Northern Ireland,26 Jun 1975 A
United Republic of Tanzania,28 Sep 1976 A
United States of America,11 Feb 1976 A
Venezuela (Bolivarian Republic of),27 Oct 1975 A
