Participant,Signature,"Definitive signature(s), Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Algeria,27 Jun 1975,12 Dec 1986
Bangladesh,,24 Jul 1975 a
Barbados,,29 Oct 1980 a
Belgium,30 Jun 1975,30 Sep 1987
Benin,,27 Oct 1975 a
Brazil,23 Jun 1975,
Bulgaria,,12 Jul 1979 a
Burkina Faso,,30 Mar 1989 a
Burundi,,2 Nov 2005 a
Cameroon,,15 Jun 1976 a
Cape Verde,,13 Jan 1978 a
Central African Republic,,13 May 1977 a
Chile,,25 Jun 1975 s
China,,23 Sep 1980 a
Congo,,26 Jul 1982 a
Costa Rica,15 May 1975,27 Oct 1978
Côte d'Ivoire,1 May 1975,17 Feb 1977
Cuba,,23 Jul 1976 a
Czech Republic,,2 Jun 1993 d
Democratic Republic of the Congo,,25 Jul 1977 a
Denmark,,28 Jun 1985 a
Ecuador,22 Oct 1974,
Egypt,,25 Jan 1979 a
Ethiopia,19 Jun 1975,1 Sep 1978
Finland,,31 Dec 1985 a
France,30 Jun 1975,4 Oct 1985 AA
Gabon,10 Oct 1974,5 Jun 1978
Gambia,,30 Jun 1975 s
Germany,30 Jun 1975,6 Apr 1983
Ghana,14 May 1975,24 Jun 1975
Guatemala,15 Nov 1974,3 Mar 1976
Guinea,,19 Aug 1980 a
Guyana,,7 Jan 1980 a
Honduras,,12 Jun 1979 a
India,27 Jun 1975,14 Feb 1978
Indonesia,5 Feb 1975,11 Jan 1977
Iran (Islamic Republic of),7 Aug 1974,
Iraq,,25 Oct 1978 a
Italy,,30 May 1989 a
Jamaica,,20 Jul 1982 a
Jordan,,17 Mar 1980 a
Kenya,,27 Feb 1978 a
Kuwait,,31 Mar 1986 a
Lebanon,,30 Apr 1982 a
Liberia,,16 Sep 2005 a
Madagascar,,23 Dec 1977 a
Malaysia,,27 Aug 1982 a
Mali,,15 Mar 1978 a
Malta,15 May 1975,
Mauritania,,21 Mar 1988 a
Mauritius,,16 Sep 1980 a
Mexico,,6 May 1976 a
Montenegro,,23 Oct 2006 d
Morocco,,11 Feb 1980 a
Mozambique,,21 Sep 1990 a
Netherlands,,6 Apr 1983 a
Niger,24 Jun 1975,13 Jan 1976
Nigeria,,10 Sep 1975 a
Norway,,28 Jun 1985 a
Pakistan,,27 Jun 1975 s
Peru,,21 Nov 1978 a
Philippines,2 Aug 1974,2 Mar 1976
Portugal,,13 Jun 1990 a
Qatar,,31 Oct 1994 a
Republic of Korea,,11 May 1979 a
Romania,,7 Jan 1982 a
Russian Federation,27 Jun 1975,28 Jun 1979 A
Saudi Arabia,,24 May 1985 a
Senegal,30 Jun 1975,20 May 1977
Serbia,,12 Mar 2001 d
Sierra Leone,,9 Jul 1979 a
Slovakia,,28 May 1993 d
Somalia,,14 Nov 1988 a
Spain,,3 Feb 1994 a
Sri Lanka,,30 Jun 1975 s
Sudan,,16 Mar 1978 a
Sweden,,28 Jun 1985 a
Togo,25 Jun 1975,12 Jan 1978
Trinidad and Tobago,,3 Aug 1983 a
Tunisia,,15 Mar 1979 a
Turkey,30 Jun 1975,
United Kingdom of Great Britain and Northern Ireland,,28 Jun 1985 a
United Republic of Tanzania,,3 Nov 1975 a
Uruguay,,9 Jul 1979 a
Venezuela (Bolivarian Republic of),,30 Jun 1975 s
Zambia,,8 Apr 1988 a
