Participant,Signature,"Ratification, Acceptance(A), Succession(d)"
Afghanistan,8 Oct 1951,19 Mar 1958
Armenia,,23 Aug 2010 A
Australia,,5 Mar 1992 A
Austria,,12 Jun 1958 A
Barbados,,13 Apr 1973 d
Belgium,22 Nov 1950,31 Oct 1957
Bolivia (Plurinational State of),22 Nov 1950,22 Sep 1970
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,,14 Mar 1997 A
Burkina Faso,,14 Sep 1965 A
Cambodia,,5 Nov 1951 A
Cameroon,,15 May 1964 A
Colombia,22 Nov 1950,
Congo,,26 Aug 1968 A
Côte d'Ivoire,,19 Jul 1963 A
Croatia,,26 Jul 1993 d
Cuba,,27 Aug 1952 A
Cyprus,,16 May 1963 d
Czech Republic,,22 Aug 1997 A
Democratic Republic of the Congo,,3 May 1962 d
Denmark,,4 Apr 1960 A
Dominican Republic,22 Nov 1950,
Ecuador,22 Nov 1950,
Egypt,22 Nov 1950,8 Feb 1952
El Salvador,4 Dec 1950,24 Jun 1953
Estonia,,1 Aug 2001 A
Fiji,,31 Oct 1972 d
Finland,,30 Apr 1956 A
France,14 May 1951,14 Oct 1957
Gabon,,4 Sep 1962 A
Germany,,9 Aug 1957 A
Ghana,,7 Apr 1958 d
Greece,22 Nov 1950,12 Dec 1955
Guatemala,22 Nov 1950,8 Jul 1960
Guinea-Bissau,24 Sep 2013,
Haiti,22 Nov 1950,14 May 1954
Holy See,,22 Aug 1979 A
Honduras,13 Apr 1954,
Hungary,,15 Mar 1979 A
Iran (Islamic Republic of),9 Feb 1951,7 Jan 1966
Iraq,,11 Aug 1972 A
Ireland,,19 Sep 1978 A
Israel,22 Nov 1950,27 Mar 1952
Italy,,26 Nov 1962 A
Japan,,17 Jun 1970 A
Jordan,,31 Dec 1958 A
Kazakhstan,,21 Dec 1998 A
Kenya,,15 Mar 1967 A
Kyrgyzstan,,19 Jul 2005 A
Lao People's Democratic Republic,,28 Feb 1952 A
Latvia,,20 Nov 2001 A
Liberia,,16 Sep 2005 A
Libya,,22 Jan 1973 A
Lithuania,,21 Aug 1998 A
Luxembourg,22 Nov 1950,31 Oct 1957
Madagascar,,23 May 1962 A
Malawi,,17 Aug 1965 A
Malaysia,,29 Jun 1959 d
Malta,,19 Jan 1968 d
Mauritius,,18 Jul 1969 d
Monaco,,18 Mar 1952 A
Montenegro,,23 Oct 2006 d
Morocco,,25 Jul 1968 A
Netherlands,22 Nov 1950,31 Oct 1957
New Zealand,16 Mar 1951,29 Jun 1962
Nicaragua,,17 Dec 1963 A
Niger,,22 Apr 1968 A
Nigeria,,26 Jun 1961 d
Norway,,2 Apr 1959 A
Oman,,19 Dec 1977 A
Pakistan,9 May 1951,17 Jan 1952
Peru,8 Jul 1964,
Philippines,22 Nov 1950,30 Aug 1952
Poland,,24 Sep 1971 A
Portugal,,11 Jun 1984 A
Republic of Moldova,,3 Sep 1998 A
Romania,,24 Nov 1970 A
Russian Federation,,7 Oct 1994 A
Rwanda,,1 Dec 1964 d
San Marino,,30 Jul 1985 A
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Singapore,,11 Jul 1969 A
Slovakia,,9 Jun 1997 A
Slovenia,,6 Jul 1992 d
Solomon Islands,,3 Sep 1981 d
Spain,,7 Jul 1955 A
Sri Lanka,,8 Jan 1952 A
Sweden,20 Nov 1951,21 May 1952
Switzerland,22 Nov 1950,7 Apr 1953
Syrian Arab Republic,7 Aug 1979,16 Sep 1980
Thailand,22 Nov 1950,18 Jun 1951
The former Yugoslav Republic of Macedonia,,2 Sep 1997 d
Togo,,16 Nov 2009 A
Tonga,,11 Nov 1977 d
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,14 May 1971 A
Uganda,,15 Apr 1965 A
United Kingdom of Great Britain and Northern Ireland,22 Nov 1950,11 Mar 1954
United Republic of Tanzania,,26 Mar 1963 A
United States of America,24 Jun 1959,2 Nov 1966
Uruguay,27 Apr 1964,20 Apr 1999
Venezuela (Bolivarian Republic of),,1 May 1992 A
Zambia,,1 Nov 1974 d
Zimbabwe,,1 Dec 1998 d
