Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Albania,,1 Jun 2000 a
Algeria,,22 Jan 2007 a
Andorra,,25 Feb 2004 a
Argentina,26 Oct 1961,2 Dec 1991
Armenia,,31 Oct 2002 a
Australia,,30 Jun 1992 a
Austria,26 Oct 1961,9 Mar 1973
Azerbaijan,,8 Jul 2005 a
Bahrain,,18 Oct 2005 a
Barbados,,18 Jun 1983 a
Belarus,,27 Feb 2003 a
Belgium,26 Oct 1961,2 Jul 1999
Bolivia (Plurinational State of),,24 Aug 1993 a
Bosnia and Herzegovina,12 Jan 1994 d,19 Feb 2009
Brazil,26 Oct 1961,29 Jun 1965
Bulgaria,,31 May 1995 a
Burkina Faso,,14 Oct 1987 a
Cabo Verde,,3 Apr 1997 a
Cambodia,26 Oct 1961,
Canada,,4 Mar 1998 a
Chile,26 Oct 1961,5 Jun 1974
Colombia,,17 Jun 1976 a
Congo,,29 Jun 1962 a
Costa Rica,,9 Jun 1971 a
Croatia,,20 Jan 2000 a
Cyprus,,17 Mar 2009 a
Czech Republic,,30 Sep 1993 d
Denmark,26 Oct 1961,23 Jun 1965
Dominica,,9 Aug 1999 a
Dominican Republic,,27 Oct 1986 a
Ecuador,26 Jun 1962,19 Dec 1963
El Salvador,,29 Mar 1979 a
Estonia,,28 Jan 2000 a
Fiji,,11 Jan 1972 a
Finland,21 Jun 1962,21 Jul 1983
France,26 Oct 1961,3 Apr 1987
Georgia,,14 May 2004 a
Germany,26 Oct 1961,21 Jul 1966
Greece,,6 Oct 1992 a
Guatemala,,14 Oct 1976 a
Holy See,26 Oct 1961,
Honduras,,16 Nov 1989 a
Hungary,,10 Nov 1994 a
Iceland,26 Oct 1961,15 Mar 1994 a
India,26 Oct 1961,
Ireland,30 Jun 1962,19 Jun 1979
Israel,7 Feb 1962,30 Sep 2002 a
Italy,26 Oct 1961,8 Jan 1975
Jamaica,,27 Oct 1993 a
Japan,,26 Jul 1989 a
Kazakhstan,,30 Mar 2012 a
Kyrgyzstan,,13 May 2003 a
Latvia,,20 May 1999 a
Lebanon,26 Jun 1962,12 May 1997
Lesotho,,26 Oct 1989 a
Liberia,,16 Sep 2005 a
Liechtenstein,,12 Jul 1999 a
Lithuania,,22 Apr 1999 a
Luxembourg,,25 Nov 1975 a
Mexico,26 Oct 1961,17 Feb 1964
Monaco,22 Jun 1962,6 Sep 1985
Montenegro,,23 Oct 2006 d
Netherlands,,7 Jul 1993 a
Nicaragua,,10 May 2000 a
Niger,,5 Apr 1963 a
Nigeria,,29 Jul 1993 a
Norway,,10 Apr 1978 a
Panama,,2 Jun 1983 a
Paraguay,30 Jun 1962,26 Nov 1969
Peru,,7 May 1985 a
Philippines,,25 Jun 1984 a
Poland,,13 Mar 1997 a
Portugal,,17 Apr 2002 a
Republic of Korea,,18 Dec 2008 a
Republic of Moldova,,5 Sep 1995 a
Romania,,22 Jul 1998 a
Russian Federation,,26 Feb 2003 a
Serbia,12 Mar 2001 d,10 Mar 2003
Slovakia,,28 May 1993 d
Slovenia,,9 Jul 1996 a
Spain,26 Oct 1961,14 Aug 1991
St. Lucia,,17 May 1996 a
Sweden,26 Oct 1961,13 Jul 1962
Switzerland,,24 Jun 1993 a
Syrian Arab Republic,,13 Feb 2006 a
Tajikistan,,19 Feb 2008 a
The former Yugoslav Republic of Macedonia,,2 Dec 1997 a
Togo,,10 Mar 2003 a
Turkey,,8 Jan 2004 a
Ukraine,,12 Mar 2002 a
United Arab Emirates,,14 Oct 2004 a
United Kingdom of Great Britain and Northern Ireland,26 Oct 1961,30 Oct 1963
Uruguay,,4 Apr 1977 a
Venezuela (Bolivarian Republic of),,30 Oct 1995 a
Viet Nam,,1 Dec 2006 a
