Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Acceptance(A), Succession(d)"
Albania,,26 Mar 2001 a
Argentina,,19 Mar 1973 a
Armenia,,31 Oct 2002 a
Australia,,12 Mar 1974 a
Austria,28 Apr 1972,6 May 1982
Azerbaijan,,1 Jun 2001 a
Barbados,,23 Mar 1983 a
Belarus,,17 Jan 2003 a
Bosnia and Herzegovina,12 Jan 1994 d,19 Feb 2009
Brazil,29 Oct 1971,6 Aug 1975
Bulgaria,,31 May 1995 a
Burkina Faso,,14 Oct 1987 a
Canada,29 Oct 1971,
Chile,,15 Dec 1976 a
China,,5 Jan 1993 a
Colombia,29 Oct 1971,14 Feb 1994
Costa Rica,,1 Mar 1982 a
Croatia,,20 Jan 2000 a
Cyprus,,25 Jun 1993 a
Czech Republic,,30 Sep 1993 d
Democratic Republic of the Congo,,25 Jul 1977 a
Denmark,29 Oct 1971,7 Dec 1976
Ecuador,29 Oct 1971,4 Jun 1974
Egypt,,15 Dec 1977 a
El Salvador,,25 Oct 1978 a
Estonia,,28 Feb 2000 a
Fiji,,15 Jun 1972 a
Finland,21 Apr 1971,18 Dec 1972
France,29 Oct 1971,12 Sep 1972
Germany,29 Oct 1971,7 Feb 1974
Greece,,2 Nov 1993 a
Guatemala,,14 Oct 1976 a
Holy See,29 Oct 1971,4 Apr 1977
Honduras,,16 Nov 1989 a
Hungary,,24 Feb 1975 a
India,29 Oct 1971,1 Nov 1974
Iran (Islamic Republic of),29 Oct 1971,
Israel,29 Oct 1971,10 Jan 1978
Italy,29 Oct 1971,20 Dec 1976
Jamaica,,7 Oct 1993 a
Japan,21 Apr 1972,19 Jun 1978 A
Kazakhstan,,3 May 2001 a
Kenya,4 Apr 1972,6 Jan 1976
Kyrgyzstan,,12 Jul 2002 a
Latvia,,29 Apr 1997 a
Liberia,,16 Sep 2005 a
Liechtenstein,28 Apr 1972,12 Jul 1999
Lithuania,,27 Oct 1999 a
Luxembourg,29 Oct 1971,25 Nov 1975
Mexico,29 Oct 1971,11 Sep 1973
Monaco,29 Oct 1971,21 Aug 1974
Montenegro,,23 Oct 2006 d
Netherlands,,7 Jul 1993 a
New Zealand,,3 May 1976 a
Nicaragua,29 Oct 1971,10 May 2000
Norway,28 Apr 1972,10 Apr 1978
Panama,28 Apr 1972,20 Mar 1974
Paraguay,,30 Oct 1978 a
Peru,,7 May 1985 a
Philippines,29 Apr 1972,
Republic of Korea,,1 Jul 1987 a
Republic of Moldova,,17 Apr 2000 a
Romania,,1 Jul 1998 a
Russian Federation,,9 Dec 1994 a
Serbia,12 Mar 2001 d,10 Mar 2003
Slovakia,,28 May 1993 d
Slovenia,,9 Jul 1996 a
Spain,29 Oct 1971,16 May 1974
St. Lucia,,2 Jan 2001 a
Sweden,29 Oct 1971,18 Jan 1973
Switzerland,29 Oct 1971,24 Jun 1993
Tajikistan,,26 Nov 2012 a
The former Yugoslav Republic of Macedonia,,2 Dec 1997 a
Togo,,10 Mar 2003 a
Trinidad and Tobago,,27 Jun 1988 a
Ukraine,,18 Nov 1999 a
United Kingdom of Great Britain and Northern Ireland,29 Oct 1971,5 Dec 1972
United States of America,29 Oct 1971,26 Nov 1973
Uruguay,29 Oct 1971,6 Oct 1982
Venezuela (Bolivarian Republic of),,30 Jul 1982 a
Viet Nam,,6 Apr 2005 a
