Participant,Signature,"Accession(a), Succession(d), Definitive signature(s)"
Argentina,,29 Dec 1997 a
Bangladesh,,8 Apr 1981 s
Bosnia and Herzegovina,,1 Sep 1993 d
Cambodia,,10 Apr 1981 s
Cameroon,,16 Aug 1982 a
Chile,,2 Mar 1981 s
Colombia,,18 Mar 1981 s
Costa Rica,,5 Dec 1980 s
Cuba,,9 Aug 1985 a
Cyprus,,15 Mar 1983 a
Dominican Republic,,21 Nov 1983 a
Ecuador,,18 Mar 1981 s
El Salvador,,7 Apr 1981 s
Guatemala,,14 Sep 1981 s
Guyana,,9 Aug 2001 a
Honduras,,10 Apr 1981 s
India,,3 Dec 1981 s
Italy,,27 Nov 1981 s
Liberia,,16 Sep 2005 a
Mexico,,15 May 1981 s
Monaco,,9 May 2011 a
Montenegro,,23 Oct 2006 d
Nicaragua,,3 Apr 1981 s
Pakistan,,30 Mar 1981 s
Panama,,20 Mar 1981 s
Peru,,9 Apr 1981 s
Philippines,,20 Mar 1984 a
Republic of Korea,,11 Jun 2010 a
Russian Federation,,23 Dec 1987 a
Senegal,,1 Apr 1981 s
Serbia,,12 Mar 2001 d
Slovenia,,6 Jul 1992 d
Spain,,21 Apr 1981 s
Sri Lanka,,10 Aug 1981 s
St. Lucia,,2 Sep 1986 a
Suriname,,3 Jun 1981 s
Togo,,3 Jun 1981 s
Turkey,,27 Nov 1995 a
Uruguay,,19 Nov 1985 a
Venezuela (Bolivarian Republic of),,5 Dec 1980 s
