Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d), Accession(a)"
Afghanistan,,16 Aug 1954 s
Antigua and Barbuda,,25 Oct 1988 d
Australia,,9 Dec 1953 s
Austria,7 Dec 1953,16 Jul 1954 A
Azerbaijan,,16 Aug 1996 a
Bahamas,,10 Jun 1976 d
Bangladesh,,7 Jan 1985 A
Barbados,,22 Jul 1976 d
Belgium,24 Feb 1954,13 Dec 1962 A
Bolivia (Plurinational State of),,6 Oct 1983 a
Bosnia and Herzegovina,,1 Sep 1993 d
Cameroon,,27 Jun 1984 A
Canada,,17 Dec 1953 s
Chile,,20 Jun 1995 a
Croatia,,12 Oct 1992 d
Cuba,,28 Jun 1954 s
Denmark,,3 Mar 1954 s
Dominica,,17 Aug 1994 d
Ecuador,7 Sep 1954,17 Aug 1955 A
Egypt,15 Jun 1954,29 Sep 1954 A
Fiji,,12 Jun 1972 d
Finland,,19 Mar 1954 A
France,14 Jan 1954,14 Feb 1963 A
Germany,,29 May 1973 A
Greece,7 Dec 1953,12 Dec 1955 A
Guatemala,,11 Nov 1983 A
Guinea,,12 Jul 1962 A
Hungary,,26 Feb 1958 A
India,,12 Mar 1954 s
Iraq,,23 May 1955 A
Ireland,,31 Aug 1961 A
Israel,,12 Sep 1955 A
Italy,,4 Feb 1954 s
Kazakhstan,,1 May 2008 a
Liberia,,7 Dec 1953 s
Mali,,2 Feb 1973 A
Mauritania,,6 Jun 1986 A
Mexico,,3 Feb 1954 s
Monaco,28 Jan 1954,12 Nov 1954 A
Morocco,,11 May 1959 A
Myanmar,14 Mar 1956,29 Apr 1957 A
Netherlands,15 Dec 1953,7 Jul 1955 A
New Zealand,,16 Dec 1953 s
Nicaragua,,14 Jan 1986 A
Niger,,7 Dec 1964 A
Norway,24 Feb 1954,11 Apr 1957 A
Paraguay,,27 Sep 2007 a
Romania,,13 Nov 1957 s
Serbia,,12 Mar 2001 d
Solomon Islands,,3 Sep 1981 d
South Africa,,29 Dec 1953 s
Spain,,10 Nov 1976 s
St. Lucia,,14 Feb 1990 d
St. Vincent and the Grenadines,,9 Nov 1981 A
Sweden,,17 Aug 1954 s
Switzerland,,7 Dec 1953 s
Syrian Arab Republic,,4 Aug 1954 A
Turkey,,14 Jan 1955 s
Turkmenistan,,1 May 1997 a
United Kingdom of Great Britain and Northern Ireland,,7 Dec 1953 s
United States of America,16 Dec 1953,7 Mar 1956 A
