Participant,"Definitive signature or participation in the Convention and the Protocol, Participation(P)","Ratification of the Convention as amended, Accession to the Convention as amended(a), Succession to the Convention as amended(d)"
Afghanistan,16 Aug 1954,
Albania,,2 Jul 1957 a
Algeria,,20 Nov 1963 a
Antigua and Barbuda,25 Oct 1988 P,
Australia,9 Dec 1953,
Austria,16 Jul 1954,
Azerbaijan,16 Aug 1996,
Bahamas,10 Jun 1976,
Bahrain,,27 Mar 1990 a
Bangladesh,7 Jan 1985,
Barbados,22 Jul 1976,
Belarus,,13 Sep 1956 a
Belgium,13 Dec 1962,
Bolivia (Plurinational State of),6 Oct 1983,
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,,6 Jan 1966 a
Cameroon,27 Jun 1984,
Canada,17 Dec 1953,
Chile,20 Jun 1995,
Croatia,,12 Oct 1992 d
Cuba,28 Jun 1954,
Cyprus,,21 Apr 1986 d
Denmark,3 Mar 1954,
Dominica,17 Aug 1994,
Ecuador,17 Aug 1955,
Egypt,29 Sep 1954,
Ethiopia,,21 Jan 1969
Fiji,12 Jun 1972,
Finland,19 Mar 1954,
France,14 Feb 1963,
Germany,29 May 1973,
Greece,12 Dec 1955,
Guatemala,11 Nov 1983,
Guinea,12 Jul 1963,
Hungary,26 Feb 1958,
India,12 Mar 1954,
Iraq,23 May 1955,
Ireland,31 Aug 1961,
Israel,12 Sep 1955,
Italy,4 Feb 1954,
Jamaica,,30 Jul 1964 d
Jordan,,5 May 1959 a
Kazakhstan,1 May 2008 P,
Kuwait,,28 May 1963 a
Kyrgyzstan,,5 Sep 1997 a
Lesotho,,4 Nov 1974 d
Liberia,7 Dec 1953,
Libya,,14 Feb 1957 a
Madagascar,,12 Feb 1964 a
Malawi,,2 Aug 1965 a
Mali,2 Feb 1973,
Malta,,3 Jan 1966 d
Mauritania,6 Jun 1986,
Mauritius,,18 Jul 1969 d
Mexico,3 Feb 1954,
Monaco,12 Nov 1954,
Mongolia,,20 Dec 1968 a
Montenegro,,23 Oct 2006 d
Morocco,11 May 1959,
Myanmar,29 Apr 1957,
Nepal,,7 Jan 1963 a
Netherlands,7 Jul 1955,
New Zealand,16 Dec 1953,
Nicaragua,14 Jan 1986,
Niger,7 Dec 1964,
Nigeria,,26 Jun 1961 d
Norway,11 Apr 1957,
Pakistan,,30 Sep 1955 a
Papua New Guinea,,27 Jan 1982 a
Paraguay,27 Sep 2007 P,
Philippines,,12 Jul 1955 a
Romania,13 Nov 1957,
Russian Federation,,8 Aug 1956 a
Saudi Arabia,,5 Jul 1973 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Solomon Islands,3 Sep 1981,
South Africa,29 Dec 1953,
Spain,10 Nov 1976,
Sri Lanka,,21 Mar 1958 a
St. Lucia,14 Feb 1990,
St. Vincent and the Grenadines,,9 Nov 1981
Sudan,,9 Sep 1957 d
Sweden,17 Aug 1954,
Switzerland,7 Dec 1953,
Syrian Arab Republic,4 Aug 1954,
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,15 Jul 1966 a
Turkey,14 Jan 1955,
Turkmenistan,1 May 1997,
Uganda,,12 Aug 1964 a
Ukraine,,27 Jan 1959 a
United Kingdom of Great Britain and Northern Ireland,7 Dec 1953,
United Republic of Tanzania,,28 Nov 1962 a
United States of America,7 Mar 1956,
Uruguay,,7 Jun 2001 a
Viet Nam,,14 Aug 1956 a
Yemen,,9 Feb 1987 a
Zambia,,26 Mar 1973 d
