Participant,Signature,Provisional application of the Agreement as amended and extended,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Algeria,29 Dec 1993,,8 Feb 1995
Croatia,,,27 Apr 1999 a
Cyprus,17 Dec 1993,,26 Jan 1994
Egypt,30 Dec 1993,,18 Jan 1995
European Union,21 Dec 1993,,21 Dec 1993 AA
Israel,30 Dec 1993,,30 Dec 1993
Lebanon,,,7 Jul 1995 a
Morocco,23 Jun 1993,,2 Oct 2000
Slovenia,,,30 Jun 1999 a
Syrian Arab Republic,,,29 Dec 1997 a
Tunisia,23 Aug 1993,30 Dec 1993,30 Jun 1994
Turkey,21 Dec 1993,,25 Mar 1994
