Participant,Signature,Provisional application(n),"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Argentina,29 Dec 1992,29 Dec 1992 n,9 Jul 2009
Australia,24 Dec 1992,,24 Dec 1992
Austria,29 Dec 1992,,19 Jul 1993
Barbados,31 Dec 1992,,27 Mar 2007 a
Belarus,,,27 Sep 1993 a
Belize,,,24 Jan 1994 a
Brazil,30 Dec 1992,19 Jan 1993 n,10 Dec 1996
Cameroon,,,20 Feb 2006 a
Chad,,,11 Dec 2007 a
Colombia,31 Dec 1992,31 Dec 1992 n,13 Dec 1996
Congo,,,26 Apr 2007 a
Costa Rica,,,11 Oct 1996 a
Côte d'Ivoire,,,23 Mar 1993 a
Croatia,,,3 Mar 2008 a
Cuba,3 Nov 1992,3 Nov 1992 n,14 Oct 1994
Dominican Republic,25 Nov 1992,19 Jan 1993 n,19 Mar 1998
Ecuador,,,29 Dec 1993 a
Egypt,,,20 Oct 1998 a
El Salvador,,1 Dec 1995 n,
Ethiopia,,,8 Aug 2002 a
European Union,20 Nov 1992,,20 Nov 1992 AA
Fiji,4 Dec 1992,,21 Dec 1992
Finland,22 Dec 1992,22 Dec 1992 n,21 Sep 1993
Ghana,,,28 Aug 2008 a
Guatemala,31 Dec 1992,18 Mar 1993 n,31 May 2006
Guyana,24 Dec 1992,,24 Dec 1992
Honduras,,,27 Oct 1998 a
Hungary,31 Dec 1992,19 Jan 1993 n,19 Mar 1993 AA
India,31 Dec 1992,19 Jan 1993 n,20 Jan 1993
Indonesia,,,12 May 2011 a
Iran (Islamic Republic of),,,29 Apr 2002 a
Jamaica,23 Dec 1992,18 Jan 1993 n,23 Mar 1993
Japan,29 Dec 1992,,29 Dec 1992 A
Kenya,,,6 Nov 1995 a
Latvia,,,7 Jul 1994 a
Malawi,,,13 Sep 1993 a
Mauritius,18 Dec 1992,,18 Dec 1992
Mexico,,,16 Jun 1997 a
Morocco,,9 May 2007 n,8 Apr 2009 a
Mozambique,,,18 Jan 2005 a
Nicaragua,,,29 Jan 2010 a
Nigeria,,,19 Oct 1999 a
Pakistan,,,22 Jan 2002 a
Panama,23 Dec 1992,23 Dec 1992 n,
Paraguay,,,19 Sep 2005 a
Philippines,,23 Oct 1996 n,14 Nov 1996 a
Republic of Korea,23 Dec 1992,,15 Apr 1993
Republic of Moldova,,,9 Jun 1998 a
Romania,,,10 Dec 1999 a
Russian Federation,,,7 Jan 2003 a
Serbia,,,14 May 2002 a
South Africa,22 Dec 1992,,22 Dec 1992
Sri Lanka,,,6 Aug 2013 a
Sudan,,9 May 1997 n,
Swaziland,23 Dec 1992,,23 Dec 1992
Sweden,18 Dec 1992,,21 Jan 1993
Switzerland,30 Dec 1992,30 Dec 1992 n,27 Jan 1994
Thailand,30 Dec 1992,30 Dec 1992 n,8 Apr 1993
Trinidad and Tobago,31 Dec 1992,,9 Sep 1993
Tunisia,,,11 Jan 2007 a
Turkey,,,21 Jan 1998 a
Uganda,,,9 Mar 2007 a
Ukraine,,,28 Oct 1994 a
United Arab Emirates,,,11 May 2007 a
United Republic of Tanzania,,,31 Oct 2002 a
Viet Nam,,,16 Nov 2000 a
Zambia,31 Dec 1992,,21 Jun 2000
Zimbabwe,,,14 Dec 1994 a
