Participant,Signature,Provisional application(n),"Approval(AA), Acceptance(A), Accession(a), Ratification, Definitive signature(s)"
Albania,,,26 Oct 2011 s
Australia,30 Jun 2008,,24 Sep 2008
Austria,23 Oct 2009,,3 Feb 2010
Belgium,25 Apr 2008,25 Apr 2008 n,
Benin,7 Dec 2011,,7 Dec 2011
Brazil,9 Sep 2010,,18 Oct 2013
Bulgaria,26 Nov 2008,,17 Dec 2009
Cambodia,3 Feb 2009,,15 Jul 2009 A
Cameroon,13 Feb 2007,,21 Aug 2009
Canada,2 Mar 2009,,19 Nov 2009
Central African Republic,1 May 2008,,
China,28 May 2008,,14 Dec 2009 AA
Colombia,3 May 2007,,15 Mar 2013
Congo,31 Jul 2008,,2 Dec 2010 A
Costa Rica,,,1 Nov 2013 a
Côte d'Ivoire,31 Oct 2008,,31 Oct 2008 AA
Cyprus,9 Jul 2010,,9 Jul 2010
Czech Republic,23 Sep 2008,,17 Dec 2009
Democratic Republic of the Congo,,,21 Jul 2010 s
Denmark,,,18 Nov 2009 s
Ecuador,24 May 2007,,5 Nov 2008
Estonia,23 Sep 2009,,9 Aug 2011
European Union,2 Nov 2007,2 Nov 2007 n,28 Mar 2012 AA
Fiji,23 Apr 2010,,23 Apr 2010
Finland,19 Feb 2008,,17 Dec 2009 A
France,7 Nov 2008,,7 Apr 2010 AA
Gabon,11 Nov 2008,,11 Nov 2008 A
Germany,17 Dec 2009,,17 Dec 2009 AA
Ghana,,,7 Oct 2008 s
Greece,29 Oct 2007,,21 Oct 2011
Guatemala,14 Jul 2006,,3 Feb 2011
Guyana,,,2 Dec 2008 s
Honduras,30 Jul 2008,,14 Nov 2011
Hungary,1 Jun 2010,,28 Mar 2012 AA
India,23 Apr 2008,,25 Jul 2008
Indonesia,7 Apr 2006,,31 Mar 2009
Ireland,26 Jun 2009,,17 Dec 2009
Italy,26 Jun 2008,,23 Sep 2009
Japan,16 Feb 2007,,31 Aug 2007 A
Latvia,9 Dec 2010,,15 Dec 2010 AA
Liberia,3 Nov 2008,,3 Nov 2008 A
Lithuania,30 Apr 2008,,17 Dec 2009
Luxembourg,10 Sep 2009,,7 Jul 2010
Madagascar,19 Sep 2006,,
Malaysia,28 Mar 2007,,28 Sep 2007
Mali,24 Sep 2009,,25 Oct 2010
Malta,,,18 Nov 2010 s
Mexico,25 Jul 2007,,6 Mar 2008
Mozambique,,,5 Nov 2012 a
Myanmar,5 Aug 2011,,12 Sep 2011
Netherlands,4 Dec 2007,,30 Sep 2009 A
New Zealand,6 Mar 2008,,13 Oct 2008
Nigeria,14 Nov 2011,,
Norway,13 Sep 2006,,3 Sep 2008
Panama,8 Dec 2006,,14 Feb 2008
Papua New Guinea,16 Dec 2010,,16 Dec 2010
Paraguay,28 Sep 2010,,
Peru,30 Jan 2008,,16 Jun 2010
Philippines,29 Sep 2008,,8 Jul 2009
Poland,5 Nov 2010,,5 Nov 2010
Portugal,9 Jun 2008,,17 Dec 2009
Republic of Korea,,,3 Feb 2009 s
Romania,25 Sep 2008,,17 Dec 2009
Slovakia,6 Mar 2009,,17 Dec 2009
Slovenia,15 Dec 2008,,17 Dec 2009
Spain,23 Sep 2008,,17 Dec 2009
Suriname,,,28 Feb 2014 a
Sweden,28 Oct 2008,,28 Oct 2008
Switzerland,13 Dec 2006,,27 Apr 2007
Togo,21 Apr 2006,,16 Nov 2009 A
Trinidad and Tobago,,,5 Nov 2012 a
United Kingdom of Great Britain and Northern Ireland,21 Dec 2007,21 Dec 2007 n,5 Mar 2009
United States of America,,,27 Apr 2007 s
