Participant,Signature,Provisional application(n),"Approval(AA), Acceptance(A), Accession(a), Ratification"
Brazil,7 Jun 2012,,
Cameroon,26 Mar 2012,24 Jan 2013 n,
Costa Rica,6 Jul 2011,,
Côte d'Ivoire,20 Sep 2011,,16 May 2012 AA
Democratic Republic of the Congo,4 Nov 2011,4 Nov 2011 n,
Dominican Republic,9 Mar 2012,9 Mar 2012 n,
European Union,10 Jun 2011,10 Jun 2011 n,15 May 2012 AA
Gabon,18 Jan 2012,18 Jan 2012 n,11 Jun 2013 AA
Ghana,19 Aug 2011,,18 Dec 2012
Guinea,,,19 Jun 2012 a
Indonesia,12 Sep 2011,,13 Nov 2012
Liberia,13 Nov 2012,,
Malaysia,5 Aug 2013,,
Nicaragua,,,15 Jul 2013 a
Sierra Leone,1 Oct 2012,,
Switzerland,22 Dec 2010,,12 May 2011
Togo,19 Sep 2011,,22 Jun 2012
Trinidad and Tobago,24 Sep 2012,,
