Participant,Signature,Undertaking of provisional application in accordance with article 31,"Ratification, Accession(a)"
Argentina,2 Jun 1998,,20 Oct 2006
Australia,26 May 1999,,11 May 2001
Austria,,,1 Oct 2001 a
Belgium,19 Mar 1999,,30 Mar 2007
Belize,,,14 Sep 2005 a
Bolivia (Plurinational State of),,,18 May 2006 a
Bulgaria,,,26 Nov 2008 a
Cameroon,,,30 Jul 2001 a
Chile,,,27 Sep 2007 a
Croatia,27 May 1999,,8 Sep 2000
Cyprus,,,12 Jun 2003 a
Czech Republic,,,26 Oct 2001 a
Denmark,,,16 Nov 2004 a
Estonia,,,1 Feb 2008 a
Finland,31 Mar 1999,,28 Jul 2006
France,,,12 May 2011 a
Germany,18 May 1999,,8 Jun 2007
Ghana,30 Jun 1999,,
Greece,1 Jul 1997,,17 Oct 2007
India,,,14 Nov 2005 a
Ireland,,,9 Feb 2011 a
Italy,,,19 Jul 2006 a
Jamaica,,,1 Dec 2005 a
Jordan,17 Apr 1998,,
Kuwait,15 Jun 1999,,2 Aug 2002
Lebanon,15 Jun 1999,,23 Jul 2002
Liberia,,,16 Sep 2005 a
Lithuania,,,1 Nov 2005 a
Malta,,,24 Apr 2013 a
Netherlands,28 Aug 1998,,25 Mar 1999
Norway,1 Jul 1997,1 Jul 1997,1 Aug 1997
Oman,28 Sep 1998,,
Panama,,,1 Mar 2005 a
Poland,,,2 Oct 2007 a
Portugal,30 Jun 1999,,8 Oct 2009
Qatar,,,27 Jul 2005 a
Republic of Korea,,,26 Oct 2004 a
Russian Federation,,,26 Jul 2007 a
Saudi Arabia,,,30 Nov 2001 a
Senegal,1 Jul 1997,,
Slovakia,22 Jun 1999,,20 Apr 2000
Slovenia,,,15 Jun 2006 a
Spain,,,9 Jan 2001 a
Sri Lanka,30 Jun 1999,,
Tunisia,9 Apr 1999,,
United Kingdom of Great Britain and Northern Ireland,3 Dec 1997,,17 May 2006
United Republic of Tanzania,17 Dec 1998,,
Uruguay,,,6 Jul 2006 a
