Participant,Signature,"Ratification, Accession(a)"
Australia,,7 Jul 1986 a
Austria,21 May 1980,11 Jun 1984
Belgium,,29 Jun 2004 a
Chile,3 Jan 1980,12 Nov 1981
France,29 Jan 1980,
Guatemala,20 Nov 1980,
India,18 Jan 1982,
Kazakhstan,,11 Jan 2001 a
Kuwait,,28 Apr 2014 a
Lebanon,,12 Apr 2006 a
Mexico,,11 Oct 1991 a
Morocco,25 Jul 1980,21 Jan 1993
Netherlands,27 Jan 1981,17 Feb 1983
Pakistan,,27 Feb 1986 a
Peru,23 Jun 1981,23 Nov 2005
Philippines,23 Apr 1980,26 May 1981
Romania,17 Apr 1980,
Saudi Arabia,,18 Jul 2012 a
Turkey,,29 Feb 2012 a
Uruguay,1 Jun 1981,9 Nov 1981
