Participant,"Consent to be bound(P), Succession(d)"
Albania,28 Aug 2002 P
Antigua and Barbuda,23 Aug 2010 P
Argentina,21 Oct 1998 P
Australia,22 Aug 1997 P
Austria,27 Jul 1998 P
Bangladesh,6 Sep 2000 P
Belarus,13 Sep 2000 P
Belgium,10 Mar 1999 P
Bolivia (Plurinational State of),21 Sep 2001 P
Bosnia and Herzegovina,11 Oct 2001 P
Brazil,4 Oct 1999 P
Bulgaria,3 Dec 1998 P
Burkina Faso,26 Nov 2003 P
Cabo Verde,16 Sep 1997 P
Cambodia,25 Mar 1997 P
Cameroon,7 Dec 2006 P
Canada,5 Jan 1998 P
Chile,15 Oct 2003 P
China,4 Nov 1998 P
Colombia,6 Mar 2000 P
Costa Rica,17 Dec 1998 P
Croatia,25 Apr 2002 P
Cuba,14 Nov 2012 P
Cyprus,22 Jul 2003 P
Czech Republic,10 Aug 1998 P
Denmark,30 Apr 1997 P
Dominican Republic,21 Jun 2010 P
Ecuador,16 Dec 2003 P
El Salvador,26 Jan 2000 P
Estonia,20 Apr 2000 P
Finland,11 Jan 1996 P
France,30 Jun 1998 P
Gabon,22 Sep 2010 P
Georgia,14 Jul 2006 P
Germany,27 Jun 1997 P
Greece,5 Aug 1997 P
Guatemala,30 Aug 2002 P
Guinea-Bissau,6 Aug 2008 P
Holy See,22 Jul 1997 P
Honduras,30 Oct 2003 P
Hungary,30 Jan 1998 P
Iceland,22 Aug 2008 P
India,2 Sep 1999 P
Ireland,27 Mar 1997 P
Israel,30 Oct 2000 P
Italy,13 Jan 1999 P
Jamaica,25 Sep 2008 P
Japan,10 Jun 1997 P
Kazakhstan,8 Jul 2009 P
Kuwait,24 May 2013 P
Latvia,11 Mar 1998 P
Liberia,16 Sep 2005 P
Liechtenstein,19 Nov 1997 P
Lithuania,3 Jun 1998 P
Luxembourg,5 Aug 1999 P
Madagascar,14 Mar 2008 P
Maldives,7 Sep 2000 P
Mali,24 Oct 2001 P
Malta,24 Sep 2004 P
Mauritius,24 Dec 2002 P
Mexico,10 Mar 1998 P
Mongolia,6 Apr 1999 P
Montenegro,23 Oct 2006 d
Morocco,19 Mar 2002 P
Nauru,12 Nov 2001 P
Netherlands,25 Mar 1999 P
New Zealand,8 Jan 1998 P
Nicaragua,5 Dec 2000 P
Niger,18 Sep 2007 P
Norway,20 Apr 1998 P
Pakistan,5 Dec 2000 P
Panama,26 Mar 1997 P
Paraguay,3 Dec 2008 P
Peru,3 Jul 1997 P
Philippines,12 Jun 1997 P
Poland,23 Sep 2004 P
Portugal,12 Nov 2001 P
Qatar,16 Nov 2009 P
Republic of Moldova,8 Sep 2000 P
Romania,25 Aug 2003 P
Russian Federation,9 Sep 1999 P
Saudi Arabia,7 Dec 2007 P
Serbia,12 Aug 2003 P
Seychelles,8 Jun 2000 P
Sierra Leone,30 Sep 2004 P
Slovakia,30 Nov 1999 P
Slovenia,3 Dec 2002 P
South Africa,26 Jun 1998 P
Spain,19 Jan 1998 P
Sri Lanka,24 Sep 2004 P
St. Vincent and the Grenadines,6 Dec 2010 P
Sweden,15 Jan 1997 P
Switzerland,24 Mar 1998 P
Tajikistan,12 Oct 1999 P
The former Yugoslav Republic of Macedonia,19 Mar 2007 P
Tunisia,23 Mar 2006 P
Turkey,2 Mar 2005 P
Ukraine,28 May 2003 P
United Kingdom of Great Britain and Northern Ireland,11 Feb 1999 P
United States of America,21 Jan 2009 P
Uruguay,18 Sep 1998 P
Uzbekistan,29 Sep 1997 P
