Participant,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification, Consent to be bound(P)"
Albania,12 May 2006 a
Argentina,25 Feb 2004 a
Australia,3 Dec 2002 A
Austria,25 Sep 2003 A
Bangladesh,26 Sep 2013 a
Belarus,27 Mar 2008 P
Belgium,12 Feb 2004
Bosnia and Herzegovina,17 Mar 2008 a
Brazil,30 Nov 2010 a
Bulgaria,28 Feb 2003
Burkina Faso,26 Nov 2003 a
Canada,22 Jul 2002 A
Chile,27 Sep 2007 A
China,11 Aug 2003
Colombia,20 May 2009 a
Costa Rica,3 Jun 2009
Croatia,27 May 2003
Cuba,17 Oct 2007 A
Czech Republic,6 Jun 2006
Denmark,15 Sep 2004 A
Dominican Republic,21 Jun 2010 a
Ecuador,10 Mar 2009 A
El Salvador,13 Sep 2007 a
Estonia,12 May 2003
Finland,22 Jun 2004 A
France,10 Dec 2002 AA
Georgia,8 Jun 2009 a
Germany,26 Jan 2005 A
Greece,26 Nov 2004
Guatemala,13 Feb 2009 a
Guinea-Bissau,6 Aug 2008 a
Holy See,9 Dec 2002 A
Hungary,27 Dec 2002
Iceland,22 Aug 2008 P
India,18 May 2005 a
Ireland,8 Nov 2006 A
Italy,1 Sep 2004
Jamaica,25 Sep 2008 a
Japan,10 Jul 2003 A
Kuwait,24 May 2013 a
Latvia,23 Apr 2003 a
Liberia,16 Sep 2005 a
Liechtenstein,18 Jun 2004 A
Lithuania,12 May 2003 A
Luxembourg,13 Jun 2005
Malta,24 Sep 2004 a
Mexico,22 May 2003 A
Montenegro,23 Oct 2006 d
Netherlands,19 May 2004 A
New Zealand,21 Aug 2007 A
Nicaragua,6 Sep 2007
Niger,18 Sep 2007 P
Norway,18 Nov 2003 AA
Panama,16 Aug 2004 a
Paraguay,3 Dec 2008 a
Peru,14 Feb 2005
Poland,15 Sep 2006
Portugal,22 Feb 2008
Republic of Korea,13 Feb 2003 A
Republic of Moldova,5 Jan 2005 a
Romania,25 Aug 2003 a
Russian Federation,24 Jan 2007 A
Serbia,11 Nov 2003 A
Sierra Leone,30 Sep 2004
Slovakia,11 Feb 2004
Slovenia,7 Feb 2008
South Africa,24 Jan 2012 a
Spain,9 Feb 2004
Sri Lanka,24 Sep 2004 a
Sweden,3 Dec 2002 A
Switzerland,19 Jan 2004 A
The former Yugoslav Republic of Macedonia,11 Jul 2007 a
Tunisia,11 Mar 2009 a
Turkey,2 Mar 2005
Ukraine,29 Jun 2005 A
United Kingdom of Great Britain and Northern Ireland,25 Jul 2002 A
United States of America,21 Jan 2009
Uruguay,7 Aug 2007 a
Zambia,25 Sep 2013 a
