Participant,Signature,"Ratification, Accession(a), Acceptance(A), Succession(d)"
Afghanistan,14 Jan 1993,24 Sep 2003
Albania,14 Jan 1993,11 May 1994
Algeria,13 Jan 1993,14 Aug 1995
Andorra,,27 Feb 2003 a
Antigua and Barbuda,,29 Aug 2005 a
Argentina,13 Jan 1993,2 Oct 1995
Armenia,19 Mar 1993,27 Jan 1995
Australia,13 Jan 1993,6 May 1994
Austria,13 Jan 1993,17 Aug 1995
Azerbaijan,13 Jan 1993,29 Feb 2000
Bahamas,2 Mar 1994,21 Apr 2009
Bahrain,24 Feb 1993,28 Apr 1997
Bangladesh,14 Jan 1993,25 Apr 1997
Barbados,,7 Mar 2007 a
Belarus,14 Jan 1993,11 Jul 1996
Belgium,13 Jan 1993,27 Jan 1997
Belize,,1 Dec 2003 a
Benin,14 Jan 1993,14 May 1998
Bhutan,24 Apr 1997,18 Aug 2005
Bolivia (Plurinational State of),14 Jan 1993,14 Aug 1998
Bosnia and Herzegovina,16 Jan 1997,25 Feb 1997
Botswana,,31 Aug 1998 a
Brazil,13 Jan 1993,13 Mar 1996
Brunei Darussalam,13 Jan 1993,28 Jul 1997
Bulgaria,13 Jan 1993,10 Aug 1994
Burkina Faso,14 Jan 1993,8 Jul 1997
Burundi,15 Jan 1993,4 Sep 1998
Cambodia,15 Jan 1993,19 Jul 2005
Cameroon,14 Jan 1993,16 Sep 1996
Canada,13 Jan 1993,26 Sep 1995
Cape Verde,15 Jan 1993,10 Oct 2003
Central African Republic,14 Jan 1993,20 Sep 2006
Chad,11 Oct 1994,13 Feb 2004
Chile,14 Jan 1993,12 Jul 1996
China,13 Jan 1993,25 Apr 1997
Colombia,13 Jan 1993,5 Apr 2000
Comoros,13 Jan 1993,18 Aug 2006
Congo,15 Jan 1993,4 Dec 2007
Cook Islands,14 Jan 1993,15 Jul 1994
Costa Rica,14 Jan 1993,31 May 1996
Côte d'Ivoire,13 Jan 1993,18 Dec 1995
Croatia,13 Jan 1993,23 May 1995
Cuba,13 Jan 1993,29 Apr 1997
Cyprus,13 Jan 1993,28 Aug 1998
Czech Republic,14 Jan 1993,6 Mar 1996
Democratic Republic of the Congo,14 Jan 1993,12 Oct 2005
Denmark,14 Jan 1993,13 Jul 1995
Djibouti,28 Sep 1993,25 Jan 2006
Dominica,2 Aug 1993,12 Feb 2001
Dominican Republic,13 Jan 1993,27 Mar 2009
Ecuador,14 Jan 1993,6 Sep 1995
El Salvador,14 Jan 1993,30 Oct 1995
Equatorial Guinea,14 Jan 1993,25 Apr 1997
Eritrea,,14 Feb 2000 a
Estonia,14 Jan 1993,26 May 1999
Ethiopia,14 Jan 1993,13 May 1996
Fiji,14 Jan 1993,20 Jan 1993
Finland,14 Jan 1993,7 Feb 1995
France,13 Jan 1993,2 Mar 1995
Gabon,13 Jan 1993,8 Sep 2000
Gambia,13 Jan 1993,19 May 1998
Georgia,14 Jan 1993,27 Nov 1995
Germany,13 Jan 1993,12 Aug 1994
Ghana,14 Jan 1993,9 Jul 1997
Greece,13 Jan 1993,22 Dec 1994
Grenada,9 Apr 1997,3 Jun 2005
Guatemala,14 Jan 1993,12 Feb 2003
Guinea,14 Jan 1993,9 Jun 1997
Guinea-Bissau,14 Jan 1993,20 May 2008
Guyana,6 Oct 1993,12 Sep 1997
Haiti,14 Jan 1993,22 Feb 2006
Holy See,14 Jan 1993,12 May 1999
Honduras,13 Jan 1993,29 Aug 2005
Hungary,13 Jan 1993,31 Oct 1996
