Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,6 Sep 2011 a
Armenia,,21 Jan 2014 a
Austria,,4 Jun 1987 a
Belarus,28 Sep 1984,4 Oct 1985 A
Belgium,25 Feb 1985,5 Aug 1987
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,4 Apr 1985,26 Sep 1986 AA
Canada,3 Oct 1984,4 Dec 1985
Croatia,,21 Sep 1992 d
Cyprus,,20 Nov 1991 a
Czech Republic,,30 Sep 1993 d
Denmark,28 Sep 1984,29 Apr 1986
Estonia,,7 Dec 2001 a
European Union,28 Sep 1984,17 Jul 1986 AA
Finland,7 Dec 1984,24 Jun 1986
France,22 Feb 1985,30 Oct 1987 AA
Georgia,,7 Feb 2013 a
Germany,26 Feb 1985,7 Oct 1986
Greece,,24 Jun 1988 a
Hungary,27 Mar 1985,8 May 1985 AA
Ireland,4 Apr 1985,26 Jun 1987
Italy,28 Sep 1984,12 Jan 1989
Latvia,,18 Feb 1997 a
Liechtenstein,,1 May 1985 a
Lithuania,,7 Nov 2003 a
Luxembourg,21 Nov 1984,24 Aug 1987
Malta,,14 Mar 1997 a
Monaco,,27 Aug 1999 a
Montenegro,,23 Oct 2006 d
Netherlands,28 Sep 1984,22 Oct 1985 A
Norway,28 Sep 1984,12 Mar 1985 A
Poland,,14 Sep 1988 a
Portugal,,19 Jan 1989 a
Romania,,28 Apr 2003 a
Russian Federation,28 Sep 1984,21 Aug 1985 A
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Spain,,11 Aug 1987 a
Sweden,28 Sep 1984,12 Aug 1985
Switzerland,3 Oct 1984,26 Jul 1985
The former Yugoslav Republic of Macedonia,,10 Mar 2010 a
Turkey,3 Oct 1984,20 Dec 1985
Ukraine,28 Sep 1984,30 Aug 1985 A
United Kingdom of Great Britain and Northern Ireland,20 Nov 1984,12 Aug 1985
United States of America,28 Sep 1984,29 Oct 1984 A
