Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,16 Jun 2009 a
Austria,1 Nov 1988,15 Jan 1990
Belarus,1 Nov 1988,8 Jun 1989 A
Belgium,1 Nov 1988,8 Nov 2000
Bulgaria,1 Nov 1988,30 Mar 1989
Canada,1 Nov 1988,25 Jan 1991
Croatia,,3 Mar 2008 a
Cyprus,,2 Sep 2004 a
Czech Republic,,30 Sep 1993 d
Denmark,1 Nov 1988,1 Mar 1993 A
Estonia,,7 Mar 2000 a
European Union,,17 Dec 1993 a
Finland,1 Nov 1988,1 Feb 1990
France,1 Nov 1988,20 Jul 1989 AA
Germany,1 Nov 1988,16 Nov 1990
Greece,1 Nov 1988,29 Apr 1998
Hungary,3 May 1989,12 Nov 1991 AA
Ireland,1 May 1989,17 Oct 1994
Italy,1 Nov 1988,19 May 1992
Liechtenstein,1 Nov 1988,24 Mar 1994
Lithuania,,26 May 2006 a
Luxembourg,1 Nov 1988,4 Oct 1990
Netherlands,1 Nov 1988,11 Oct 1989 A
Norway,1 Nov 1988,11 Oct 1989
Poland,1 Nov 1988,23 Nov 2011
Russian Federation,1 Nov 1988,21 Jun 1989 A
Slovakia,,28 May 1993 d
Slovenia,,5 Jan 2006 a
Spain,1 Nov 1988,4 Dec 1990
Sweden,1 Nov 1988,27 Jul 1990
Switzerland,1 Nov 1988,18 Sep 1990
The former Yugoslav Republic of Macedonia,,10 Mar 2010 a
Ukraine,1 Nov 1988,24 Jul 1989 A
United Kingdom of Great Britain and Northern Ireland,1 Nov 1988,15 Oct 1990
United States of America,1 Nov 1988,13 Jul 1989 A
