Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Armenia,18 Dec 1998,
Austria,24 Jun 1998,17 Dec 2003
Belgium,24 Jun 1998,8 Jun 2005
Bulgaria,24 Jun 1998,28 Oct 2003
Canada,24 Jun 1998,18 Dec 1998
Croatia,,6 Sep 2007
Cyprus,24 Jun 1998,2 Sep 2004
Czech Republic,24 Jun 1998,6 Aug 2002
Denmark,24 Jun 1998,12 Jul 2001 AA
Estonia,,24 Mar 2006 a
European Union,24 Jun 1998,3 May 2001 AA
Finland,24 Jun 1998,20 Jun 2000 A
France,24 Jun 1998,26 Jul 2002 AA
Germany,24 Jun 1998,30 Sep 2003
Greece,24 Jun 1998,
Hungary,18 Dec 1998,19 Apr 2005
Iceland,24 Jun 1998,
Ireland,24 Jun 1998,
Italy,24 Jun 1998,
Latvia,24 Jun 1998,9 Jun 2005
Liechtenstein,24 Jun 1998,23 Dec 2003 A
Lithuania,24 Jun 1998,28 Oct 2004
Luxembourg,24 Jun 1998,1 May 2000
Monaco,,13 Nov 2003 a
Montenegro,,30 Dec 2011 a
Netherlands,24 Jun 1998,23 Jun 2000 A
Norway,24 Jun 1998,16 Dec 1999
Poland,24 Jun 1998,
Portugal,24 Jun 1998,
Republic of Moldova,24 Jun 1998,1 Oct 2002
Romania,24 Jun 1998,5 Sep 2003
Serbia,,26 Mar 2012 a
Slovakia,24 Jun 1998,30 Dec 2002 A
Slovenia,24 Jun 1998,9 Feb 2004
Spain,24 Jun 1998,21 Sep 2011
Sweden,24 Jun 1998,19 Jan 2000
Switzerland,24 Jun 1998,14 Nov 2000
The former Yugoslav Republic of Macedonia,,1 Nov 2010 a
Ukraine,24 Jun 1998,
United Kingdom of Great Britain and Northern Ireland,24 Jun 1998,6 Jul 2005
United States of America,24 Jun 1998,10 Jan 2001 A
