Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,2 Dec 2005 a
Armenia,,21 Feb 1997 a
Austria,13 Nov 1979,16 Dec 1982
Azerbaijan,,3 Jul 2002 a
Belarus,14 Nov 1979,13 Jun 1980
Belgium,13 Nov 1979,15 Jul 1982
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,14 Nov 1979,9 Jun 1981
Canada,13 Nov 1979,15 Dec 1981
Croatia,,21 Sep 1992 d
Cyprus,,20 Nov 1991 a
Czech Republic,,30 Sep 1993 d
Denmark,14 Nov 1979,18 Jun 1982
Estonia,,7 Mar 2000 a
European Union,14 Nov 1979,15 Jul 1982 AA
Finland,13 Nov 1979,15 Apr 1981
France,13 Nov 1979,3 Nov 1981 AA
Georgia,,11 Feb 1999 a
Germany,13 Nov 1979,15 Jul 1982
Greece,14 Nov 1979,30 Aug 1983
Holy See,14 Nov 1979,
Hungary,13 Nov 1979,22 Sep 1980
Iceland,13 Nov 1979,5 May 1983
Ireland,13 Nov 1979,15 Jul 1982
Italy,14 Nov 1979,15 Jul 1982
Kazakhstan,,11 Jan 2001 a
Kyrgyzstan,,25 May 2000 a
Latvia,,15 Jul 1994 a
Liechtenstein,14 Nov 1979,22 Nov 1983
Lithuania,,25 Jan 1994 a
Luxembourg,13 Nov 1979,15 Jul 1982
Malta,,14 Mar 1997 a
Monaco,,27 Aug 1999 a
Montenegro,,23 Oct 2006 d
Netherlands,13 Nov 1979,15 Jul 1982 A
Norway,13 Nov 1979,13 Feb 1981
Poland,13 Nov 1979,19 Jul 1985
Portugal,14 Nov 1979,29 Sep 1980
Republic of Moldova,,9 Jun 1995 a
Romania,14 Nov 1979,27 Feb 1991
Russian Federation,13 Nov 1979,22 May 1980
San Marino,14 Nov 1979,
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Spain,14 Nov 1979,15 Jun 1982
Sweden,13 Nov 1979,12 Feb 1981
Switzerland,13 Nov 1979,6 May 1983
The former Yugoslav Republic of Macedonia,,30 Dec 1997 d
Turkey,13 Nov 1979,18 Apr 1983
Ukraine,14 Nov 1979,5 Jun 1980
United Kingdom of Great Britain and Northern Ireland,13 Nov 1979,15 Jul 1982
United States of America,13 Nov 1979,30 Nov 1981 A
