Participant,Signature,"Ratification, Accession(a), Acceptance(A)"
Afghanistan,,1 Nov 1995 a
Albania,,27 Apr 2000 a
Algeria,14 Oct 1994,22 May 1996
Andorra,,15 Jul 2002 a
Angola,14 Oct 1994,30 Jun 1997
Antigua and Barbuda,4 Apr 1995,6 Jun 1997
Argentina,15 Oct 1994,6 Jan 1997
Armenia,14 Oct 1994,2 Jul 1997
Australia,14 Oct 1994,15 May 2000
Austria,,2 Jun 1997 a
Azerbaijan,,10 Aug 1998 a
Bahamas,,10 Nov 2000 a
Bahrain,,14 Jul 1997 a
Bangladesh,14 Oct 1994,26 Jan 1996
Barbados,,14 May 1997 a
Belarus,,29 Aug 2001 a
Belgium,,30 Jun 1997 a
Belize,,23 Jul 1998 a
Benin,14 Oct 1994,29 Aug 1996
Bhutan,,20 Aug 2003 a
Bolivia (Plurinational State of),14 Oct 1994,1 Aug 1996
Bosnia and Herzegovina,,26 Aug 2002 a
Botswana,12 Oct 1995,11 Sep 1996
Brazil,14 Oct 1994,25 Jun 1997
Brunei Darussalam,,4 Dec 2002 a
Bulgaria,,21 Feb 2001 a
Burkina Faso,14 Oct 1994,26 Jan 1996
Burundi,14 Oct 1994,6 Jan 1997
Cabo Verde,14 Oct 1994,8 May 1995
Cambodia,15 Oct 1994,18 Aug 1997
Cameroon,14 Oct 1994,29 May 1997
Canada,14 Oct 1994,1 Dec 1995
Central African Republic,14 Oct 1994,5 Sep 1996
Chad,14 Oct 1994,27 Sep 1996
Chile,3 Mar 1995,11 Nov 1997
China,14 Oct 1994,18 Feb 1997
Colombia,14 Oct 1994,8 Jun 1999
Comoros,14 Oct 1994,3 Mar 1998
Congo,15 Oct 1994,12 Jul 1999
Cook Islands,,21 Aug 1998 a
Costa Rica,15 Oct 1994,5 Jan 1998
Côte d'Ivoire,15 Oct 1994,4 Mar 1997
Croatia,15 Oct 1994,6 Oct 2000 A
Cuba,15 Oct 1994,13 Mar 1997
Cyprus,,29 Mar 2000 a
Czech Republic,,25 Jan 2000 a
Democratic People's Republic of Korea,,29 Dec 2003 a
Democratic Republic of the Congo,14 Oct 1994,12 Sep 1997
Denmark,15 Oct 1994,22 Dec 1995
Djibouti,15 Oct 1994,12 Jun 1997
Dominica,,8 Dec 1997 a
Dominican Republic,,26 Jun 1997 a
Ecuador,19 Jan 1995,6 Sep 1995
Egypt,14 Oct 1994,7 Jul 1995
El Salvador,,27 Jun 1997 a
Equatorial Guinea,14 Oct 1994,27 Jun 1997
Eritrea,14 Oct 1994,14 Aug 1996
Estonia,,8 Feb 2012 a
Ethiopia,15 Oct 1994,27 Jun 1997
European Union,14 Oct 1994,26 Mar 1998
Fiji,,26 Aug 1998 a
Finland,15 Oct 1994,20 Sep 1995 A
France,14 Oct 1994,12 Jun 1997
Gabon,,6 Sep 1996 a
Gambia,14 Oct 1994,11 Jun 1996
Georgia,15 Oct 1994,23 Jul 1999
Germany,14 Oct 1994,10 Jul 1996
Ghana,15 Oct 1994,27 Dec 1996
Greece,14 Oct 1994,5 May 1997
Grenada,,28 May 1997 a
Guatemala,,10 Sep 1998 a
Guinea,14 Oct 1994,23 Jun 1997
Guinea-Bissau,15 Oct 1994,27 Oct 1995
Guyana,,26 Jun 1997 a
Haiti,15 Oct 1994,25 Sep 1996
Honduras,22 Feb 1995,25 Jun 1997
Hungary,,13 Jul 1999 a
Iceland,,3 Jun 1997 a
India,14 Oct 1994,17 Dec 1996
Indonesia,15 Oct 1994,31 Aug 1998
Iran (Islamic Republic of),14 Oct 1994,29 Apr 1997
Iraq,,28 May 2010 a
Ireland,15 Oct 1994,31 Jul 1997
Israel,14 Oct 1994,26 Mar 1996
Italy,14 Oct 1994,23 Jun 1997
Jamaica,,12 Nov 1997 a
Japan,14 Oct 1994,11 Sep 1998 A
Jordan,13 Apr 1995,21 Oct 1996
Kazakhstan,14 Oct 1994,9 Jul 1997
Kenya,14 Oct 1994,24 Jun 1997
Kiribati,,8 Sep 1998 a
Kuwait,22 Sep 1995,27 Jun 1997
Kyrgyzstan,,19 Sep 1997 a
Lao People's Democratic Republic,30 Aug 1995,20 Sep 1996 A
Latvia,,21 Oct 2002 a
Lebanon,14 Oct 1994,16 May 1996
Lesotho,15 Oct 1994,12 Sep 1995
Liberia,,2 Mar 1998 a
Libya,15 Oct 1994,22 Jul 1996
Liechtenstein,,29 Dec 1999 a
Lithuania,,25 Jul 2003 a
Luxembourg,14 Oct 1994,4 Feb 1997
Madagascar,14 Oct 1994,25 Jun 1997
Malawi,17 Jan 1995,13 Jun 1996
Malaysia,6 Oct 1995,25 Jun 1997
Maldives,,3 Sep 2002 a
Mali,15 Oct 1994,31 Oct 1995
Malta,15 Oct 1994,30 Jan 1998
Marshall Islands,,2 Jun 1998 a
Mauritania,14 Oct 1994,7 Aug 1996
Mauritius,17 Mar 1995,23 Jan 1996
Mexico,15 Oct 1994,3 Apr 1995
Micronesia (Federated States of),12 Dec 1994,25 Mar 1996
Monaco,,5 Mar 1999 a
Mongolia,15 Oct 1994,3 Sep 1996
