Participant,Signature,"Ratification, Acceptance(A), Accession(a), Approval(AA)"
Benin,,5 Jul 2012 a
Burkina Faso,,22 Mar 2011 a
Chad,,26 Sep 2012 a
Côte d'Ivoire,25 Sep 1998,
Denmark,,30 Apr 2012 a
Finland,31 Oct 1997,23 Jan 1998 A
France,,24 Feb 2011 a
Germany,13 Aug 1998,15 Jan 2007
Greece,,2 Dec 2010 a
Guinea-Bissau,,19 May 2010 a
Hungary,20 Jul 1999,26 Jan 2000 AA
Iraq,,9 Jul 2001 a
Italy,,30 Nov 2012 a
Jordan,17 Apr 1998,22 Jun 1999
Lebanon,,25 May 1999 a
Libya,,14 Jun 2005 a
Luxembourg,14 Oct 1997,8 Jun 2012
Montenegro,,24 Sep 2013 a
Morocco,,13 Apr 2011 a
Namibia,19 May 2000,29 Aug 2001
Netherlands,9 Mar 2000,9 Jan 2001 A
Niger,,20 Feb 2013 a
Nigeria,,27 Sep 2010
Norway,30 Sep 1998,30 Sep 1998
Paraguay,25 Aug 1998,
Portugal,11 Nov 1997,22 Jun 2005
Qatar,,28 Feb 2002 a
South Africa,13 Aug 1997,26 Oct 1998
Spain,,24 Sep 2009 a
Sweden,,15 Jun 2000 a
Syrian Arab Republic,11 Aug 1997,2 Apr 1998
Tunisia,19 May 2000,22 Apr 2009
Uzbekistan,,4 Sep 2007 a
Venezuela (Bolivarian Republic of),22 Sep 1997,
Yemen,17 May 2000,
