Participant,"Signature, Succession to signature(d)","Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Albania,,16 Jun 2009 a
Armenia,21 May 2003,
Austria,21 May 2003,23 Mar 2010
Belgium,21 May 2003,12 Mar 2009
Bosnia and Herzegovina,21 May 2003,
Bulgaria,21 May 2003,15 Jan 2010
Croatia,23 May 2003,14 Jul 2008
Cyprus,21 May 2003,5 Nov 2012
Czech Republic,21 May 2003,12 Aug 2009
Denmark,21 May 2003,13 Oct 2008
Estonia,21 May 2003,15 Aug 2007 AA
European Union,21 May 2003,21 Feb 2006 AA
Finland,21 May 2003,21 Apr 2009 A
France,21 May 2003,10 Jul 2009 AA
Georgia,21 May 2003,
Germany,21 May 2003,28 Aug 2007
Greece,21 May 2003,
Hungary,21 May 2003,13 Jul 2009
Ireland,21 May 2003,20 Jun 2012
Israel,,14 Jan 2013 a
Italy,21 May 2003,
Latvia,21 May 2003,24 Apr 2008
Lithuania,21 May 2003,5 Mar 2009
Luxembourg,21 May 2003,7 Feb 2006
Montenegro,23 Oct 2006 d,
Netherlands,21 May 2003,11 Feb 2008 A
Norway,21 May 2003,27 Jun 2008 AA
Poland,21 May 2003,25 Sep 2012
Portugal,21 May 2003,8 Oct 2009
Republic of Moldova,21 May 2003,23 Dec 2013
Romania,21 May 2003,26 Aug 2009
Serbia,21 May 2003,23 Nov 2011
Slovakia,,1 Apr 2008 a
Slovenia,22 May 2003,23 Apr 2010
Spain,21 May 2003,24 Sep 2009
Sweden,21 May 2003,15 Oct 2008
Switzerland,21 May 2003,27 Apr 2007
Tajikistan,21 May 2003,
The former Yugoslav Republic of Macedonia,21 May 2003,2 Nov 2010
Ukraine,21 May 2003,
United Kingdom of Great Britain and Northern Ireland,21 May 2003,31 Jul 2009
