Participant,"Approval(AA), Acceptance(A), Ratification"
Austria,21 May 2008
Belgium,17 Jun 2009
Bulgaria,30 Apr 2007
Cyprus,7 Oct 2009 A
Czech Republic,29 Jan 2008 A
Denmark,18 Oct 2006 AA
Estonia,1 Feb 2008
European Union,1 Feb 2008 AA
Finland,10 Jun 2008 A
Germany,20 Oct 2009 A
Hungary,16 May 2008
Ireland,20 Jun 2012
Italy,17 Dec 2008
Latvia,3 Jun 2008 AA
Lithuania,30 Aug 2007
Luxembourg,4 Jan 2007
Netherlands,23 Feb 2009 A
Norway,2 May 2008 AA
Poland,23 Mar 2009
Portugal,8 Sep 2009
Republic of Moldova,7 Dec 2007 A
Romania,29 Aug 2008
Slovakia,1 Apr 2008
Slovenia,23 Apr 2010
Spain,21 Feb 2008 A
Sweden,15 Feb 2008
Switzerland,3 Mar 2014
United Kingdom of Great Britain and Northern Ireland,1 May 2009
