Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Albania,25 Jun 1998,27 Jun 2001
Armenia,25 Jun 1998,1 Aug 2001
Austria,25 Jun 1998,17 Jan 2005
Azerbaijan,,23 Mar 2000 a
Belarus,16 Dec 1998,9 Mar 2000 AA
Belgium,25 Jun 1998,21 Jan 2003
Bosnia and Herzegovina,,1 Oct 2008 a
Bulgaria,25 Jun 1998,17 Dec 2003
Croatia,25 Jun 1998,27 Mar 2007
Cyprus,25 Jun 1998,19 Sep 2003
Czech Republic,25 Jun 1998,6 Jul 2004
Denmark,25 Jun 1998,29 Sep 2000 AA
Estonia,,2 Aug 2001
European Union,25 Jun 1998,17 Feb 2005 AA
Finland,25 Jun 1998,1 Sep 2004 A
France,25 Jun 1998,8 Jul 2002 AA
Georgia,25 Jun 1998,11 Apr 2000
Germany,21 Dec 1998,15 Jan 2007
Greece,25 Jun 1998,27 Jan 2006
Hungary,18 Dec 1998,3 Jul 2001
Iceland,25 Jun 1998,20 Oct 2011
Ireland,25 Jun 1998,20 Jun 2012
Italy,25 Jun 1998,13 Jun 2001
Kazakhstan,25 Jun 1998,11 Jan 2001
Kyrgyzstan,,1 May 2001 a
Latvia,25 Jun 1998,14 Jun 2002
Liechtenstein,25 Jun 1998,
Lithuania,25 Jun 1998,28 Jan 2002
Luxembourg,25 Jun 1998,25 Oct 2005
Malta,18 Dec 1998,23 Apr 2002
Monaco,25 Jun 1998,
Montenegro,,2 Nov 2009 a
Netherlands,25 Jun 1998,29 Dec 2004 A
Norway,25 Jun 1998,2 May 2003
Poland,25 Jun 1998,15 Feb 2002
Portugal,25 Jun 1998,9 Jun 2003
Republic of Moldova,25 Jun 1998,9 Aug 1999
Romania,25 Jun 1998,11 Jul 2000
Serbia,,31 Jul 2009 a
Slovakia,,5 Dec 2005 a
Slovenia,25 Jun 1998,29 Jul 2004
Spain,25 Jun 1998,29 Dec 2004
Sweden,25 Jun 1998,20 May 2005
Switzerland,25 Jun 1998,3 Mar 2014
Tajikistan,,17 Jul 2001 a
The former Yugoslav Republic of Macedonia,,22 Jul 1999 a
Turkmenistan,,25 Jun 1999 a
Ukraine,25 Jun 1998,18 Nov 1999
United Kingdom of Great Britain and Northern Ireland,25 Jun 1998,23 Feb 2005
