Participant,"Signature, Succession to signature(d)","Ratification, Acceptance(A), Approval(AA), Accession(a)"
Afghanistan,,20 Feb 2013 a
Albania,5 Dec 2001,4 Oct 2004
Algeria,5 Sep 2001,22 Sep 2006
Angola,,23 Oct 2006 a
Antigua and Barbuda,23 May 2001,10 Sep 2003
Argentina,23 May 2001,25 Jan 2005
Armenia,23 May 2001,26 Nov 2003
Australia,23 May 2001,20 May 2004
Austria,23 May 2001,27 Aug 2002
Azerbaijan,,13 Jan 2004 a
Bahamas,20 Mar 2002,3 Oct 2005
Bahrain,22 May 2002,31 Jan 2006
Bangladesh,23 May 2001,12 Mar 2007
Barbados,,7 Jun 2004 a
Belarus,,3 Feb 2004 a
Belgium,23 May 2001,25 May 2006
Belize,14 May 2002,25 Jan 2010
Benin,23 May 2001,5 Jan 2004
Bolivia (Plurinational State of),23 May 2001,3 Jun 2003
Bosnia and Herzegovina,23 May 2001,30 Mar 2010
Botswana,,28 Oct 2002 a
Brazil,23 May 2001,16 Jun 2004
Brunei Darussalam,21 May 2002,
Bulgaria,23 May 2001,20 Dec 2004
Burkina Faso,23 May 2001,31 Dec 2004
Burundi,2 Apr 2002,2 Aug 2005
Cabo Verde,,1 Mar 2006 a
Cambodia,23 May 2001,25 Aug 2006
Cameroon,5 Oct 2001,19 May 2009
Canada,23 May 2001,23 May 2001
Central African Republic,9 May 2002,12 Feb 2008
Chad,16 May 2002,10 Mar 2004
Chile,23 May 2001,20 Jan 2005
China,23 May 2001,13 Aug 2004
Colombia,23 May 2001,22 Oct 2008
Comoros,23 May 2001,23 Feb 2007
Congo,4 Dec 2001,12 Feb 2007
Cook Islands,,29 Jun 2004 a
Costa Rica,16 Apr 2002,6 Feb 2007
Côte d'Ivoire,23 May 2001,20 Jan 2004
Croatia,23 May 2001,30 Jan 2007
Cuba,23 May 2001,21 Dec 2007
Cyprus,,7 Mar 2005 a
Czech Republic,23 May 2001,6 Aug 2002
Democratic People's Republic of Korea,,26 Aug 2002 a
Democratic Republic of the Congo,,23 Mar 2005 a
Denmark,23 May 2001,17 Dec 2003
Djibouti,15 Nov 2001,11 Mar 2004
Dominica,,8 Aug 2003 a
Dominican Republic,23 May 2001,4 May 2007
Ecuador,28 Aug 2001,7 Jun 2004
Egypt,17 May 2002,2 May 2003
El Salvador,30 Jul 2001,27 May 2008
Eritrea,,10 Mar 2005 a
Estonia,,20 Nov 2013 AA
Ethiopia,17 May 2002,9 Jan 2003
European Union,23 May 2001,16 Nov 2004 AA
Fiji,14 Jun 2001,20 Jun 2001
Finland,23 May 2001,3 Sep 2002 A
France,23 May 2001,17 Feb 2004 AA
Gabon,21 May 2002,7 May 2007
Gambia,23 May 2001,28 Apr 2006
Georgia,23 May 2001,4 Oct 2006
Germany,23 May 2001,25 Apr 2002
Ghana,23 May 2001,30 May 2003
Greece,23 May 2001,3 May 2006
Guatemala,29 Jan 2002,30 Jul 2008
Guinea,23 May 2001,11 Dec 2007
Guinea-Bissau,24 Apr 2002,6 Aug 2008
Guyana,,12 Sep 2007 a
Haiti,23 May 2001,
Honduras,17 May 2002,23 May 2005
Hungary,23 May 2001,14 Mar 2008
Iceland,23 May 2001,29 May 2002
