Participant,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,17 Jun 2004 a
Albania,25 May 2006 a
Algeria,6 Aug 2007
Andorra,26 Jan 2009 a
Angola,21 Jun 2011 a
Antigua and Barbuda,10 Feb 2000
Argentina,15 Feb 2001
Armenia,18 Dec 2008
Australia,5 Jan 1999 A
Austria,7 Aug 2000
Azerbaijan,28 Sep 2000 AA
Bahamas,16 Mar 2005 A
Bahrain,13 Mar 2001
Bangladesh,27 Jul 2001 A
Barbados,10 Dec 2002 a
Belarus,13 Mar 2007 A
Belgium,11 Aug 2004
Belize,17 Jan 2008 A
Benin,16 Nov 2007
Bhutan,23 Aug 2004 a
Bolivia (Plurinational State of),12 Apr 1999 a
Bosnia and Herzegovina,11 Aug 2003 a
Botswana,21 Feb 2013 a
Brazil,30 Jun 2004
Brunei Darussalam,3 Mar 2009 a
Bulgaria,24 Nov 1999
Burkina Faso,11 Nov 2002
Burundi,18 Oct 2001 A
Cabo Verde,31 Jul 2001 a
Cambodia,31 Jan 2007 a
Cameroon,21 Aug 2009
Canada,27 Mar 1998
Central African Republic,29 May 2008
Chad,30 May 2001
Chile,17 Jun 1998
China,19 May 2010 A
Colombia,16 Jun 2003 a
Comoros,2 Dec 2002 a
Congo,19 Oct 2001 a
Cook Islands,22 Dec 2003 a
Costa Rica,1 Dec 2005
Côte d'Ivoire,28 Jun 2012
Croatia,8 Sep 2000
Cuba,12 Sep 2005 A
Cyprus,2 Jun 2003 A
Czech Republic,5 Nov 1999 AA
Democratic People's Republic of Korea,13 Dec 2001 a
Democratic Republic of the Congo,23 Mar 2005 a
Denmark,24 Sep 2003 A
Djibouti,30 Jul 1999 a
Dominica,7 Mar 2006 a
Dominican Republic,1 Oct 2009 a
Ecuador,16 Feb 2007 a
Egypt,20 Jul 2000
El Salvador,8 Dec 2000 a
Equatorial Guinea,11 Jul 2007 a
Eritrea,5 Jul 2005 a
Estonia,11 Apr 2003 a
