Participant,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,17 Jun 2004 a
Albania,25 May 2006 a
Algeria,6 Aug 2007
Andorra,26 Jan 2009 a
Angola,21 Jun 2011 a
Antigua and Barbuda,29 Jun 2010 a
Argentina,28 Aug 2006
Armenia,18 Dec 2008
Australia,17 Aug 2005 A
Austria,23 Sep 2004
Azerbaijan,31 Aug 2012
Bahamas,16 Mar 2005 A
Bahrain,25 Sep 2013
Bangladesh,24 Aug 2010 a
Barbados,10 Dec 2002 a
Belarus,13 Mar 2007 A
Belgium,6 Apr 2006
Belize,17 Jan 2008 A
Benin,16 Nov 2007
Bhutan,23 Aug 2004 a
Bolivia (Plurinational State of),4 Sep 2013 a
Bosnia and Herzegovina,11 Oct 2011 a
Botswana,21 Feb 2013 a
Brazil,30 Jun 2004
Brunei Darussalam,3 Mar 2009 a
Bulgaria,15 Apr 2002 a
Burkina Faso,11 Nov 2002
Burundi,18 Oct 2001 A
Cambodia,31 Jan 2007 a
Cameroon,21 Aug 2009
Canada,9 Feb 2001 A
Cape Verde,30 Nov 2011
Central African Republic,29 May 2008
Chad,2 Jan 2013
Chile,3 May 2000
China,19 May 2010 A
Colombia,15 Sep 2006 a
Comoros,2 Dec 2002 a
Congo,19 Oct 2001 a
Cook Islands,22 Dec 2003 a
Costa Rica,1 Dec 2008
Côte d'Ivoire,28 Jun 2012
Croatia,25 Apr 2002
Cuba,12 Sep 2005 A
Cyprus,2 Sep 2004
Czech Republic,9 May 2001 A
Democratic People's Republic of Korea,13 Dec 2001 a
Democratic Republic of the Congo,23 Mar 2005 a
Denmark,24 Sep 2003 A
Djibouti,6 Feb 2013
Dominica,7 Mar 2006 a
Dominican Republic,1 Oct 2009 a
Ecuador,31 Jan 2013 a
Egypt,6 Mar 2009
El Salvador,13 Nov 2007 a
Equatorial Guinea,11 Jul 2007 a
Eritrea,5 Jul 2005 a
Estonia,22 Dec 2003
Ethiopia,25 Nov 2009
European Union,25 Mar 2002 AA
Fiji,19 Feb 2007 a
Finland,18 Jun 2001 A
France,25 Jul 2003 AA
Gabon,4 Dec 2000 a
Gambia,30 Apr 2008
Georgia,8 Apr 2011 a
Germany,28 Oct 2002
Ghana,8 Aug 2005 a
Greece,27 Jan 2006
Grenada,12 Jan 2004 a
Guatemala,21 Jan 2002 a
Guinea,28 Feb 2012 a
Guinea-Bissau,12 Nov 2002 a
Guyana,2 Jun 2008 A
Holy See,5 May 2008 a
Honduras,14 Sep 2007 a
Hungary,23 Apr 2002 AA
Iceland,31 Mar 2004
India,3 Mar 2003 a
Indonesia,26 Jan 2006
Iran (Islamic Republic of),14 Feb 2013 A
Iraq,25 Jun 2008 a
Ireland,6 Oct 2005 A
Israel,15 Apr 2004
Italy,22 Oct 2004
Jamaica,24 Sep 2003 a
Japan,30 Aug 2002 A
Jordan,1 Feb 2001
Kiribati,9 Aug 2004 a
Kuwait,30 Jul 2007 a
Kyrgyzstan,5 Oct 2005
Lao People's Democratic Republic,28 Jun 2006 a
Latvia,9 Jul 2004 A
Lebanon,21 Nov 2008 a
Lesotho,15 Apr 2010 a
Liberia,30 Nov 2004 a
Liechtenstein,23 Dec 2003 A
Lithuania,17 Mar 2004 A
Luxembourg,22 Jan 2001
Madagascar,16 Jan 2002 a
Malawi,27 Feb 2009
Malaysia,26 Oct 2001
Maldives,3 Sep 2002 a
Mali,25 Mar 2004 A
Malta,22 Dec 2003 A
Marshall Islands,19 May 2004 a
Mauritius,24 Mar 2003 A
Mexico,12 Sep 2007 A
Micronesia (Federated States of),27 Nov 2001 a
Monaco,3 Apr 2003 A
Mongolia,24 Jun 2008
Montenegro,23 Oct 2006 d
Morocco,19 Sep 2012
Mozambique,11 Nov 2010 a
Myanmar,30 Jan 2012 a
Namibia,1 Oct 2007 A
Nauru,10 Sep 2004 a
Nepal,18 May 2012 a
Netherlands,13 Nov 2001 A
New Zealand,8 Jun 2001
Nicaragua,7 Nov 2012
Niger,25 Aug 2005
Nigeria,24 May 2004
Niue,22 Dec 2003 a
Norway,29 Nov 2001
Oman,19 Jan 2005
Pakistan,2 Sep 2005
Palau,29 May 2001 a
Panama,5 Dec 2001
Paraguay,18 Jul 2006 a
Peru,26 Sep 2012
Philippines,23 May 2006
Poland,13 Apr 2006
Portugal,8 May 2006
Qatar,29 Jan 2009
Republic of Korea,9 Jan 2004 A
Republic of Moldova,5 Dec 2006 a
Romania,17 Nov 2005 A
Russian Federation,14 Dec 2005 A
Rwanda,7 Jan 2004 a
Samoa,4 Oct 2001 A
San Marino,23 Apr 2009 a
Sao Tome and Principe,19 Nov 2001 a
Senegal,8 Oct 2003
Serbia,22 Mar 2005 a
Seychelles,26 Aug 2002 a
Sierra Leone,29 Aug 2001 a
Singapore,10 Jan 2007 a
Slovakia,22 May 2002
Slovenia,23 Jan 2003
Solomon Islands,22 Sep 2011
Somalia,1 Aug 2001 a
South Africa,11 Nov 2004 a
South Sudan,16 Oct 2012 a
Spain,19 Feb 2002 A
Sri Lanka,27 Nov 2002 A
St. Kitts and Nevis,8 Jan 2009
St. Lucia,12 Dec 2001
St. Vincent and the Grenadines,11 May 2009 a
Sudan,18 May 2004 a
Suriname,29 Mar 2006 a
Swaziland,16 Dec 2005 a
Sweden,28 Mar 2002
Switzerland,28 Aug 2002
Syrian Arab Republic,11 May 2012 a
Tajikistan,7 May 2009 a
Thailand,14 Nov 2006
The former Yugoslav Republic of Macedonia,23 May 2002 a
Timor-Leste,16 Sep 2009 a
Togo,26 Nov 2001 A
Tonga,26 Nov 2003
Trinidad and Tobago,29 Oct 2003
Tunisia,16 May 2005 a
Turkey,24 Oct 2003
Turkmenistan,28 Mar 2008 a
Tuvalu,4 Oct 2004 A
Uganda,27 Jul 2007 a
Ukraine,4 May 2007
United Arab Emirates,16 Feb 2005 a
United Kingdom of Great Britain and Northern Ireland,12 Oct 2001
United Republic of Tanzania,6 Dec 2002
United States of America,1 Oct 2003
Uruguay,9 Sep 2003 a
Uzbekistan,31 Oct 2006
Vanuatu,21 Jul 2011 a
Venezuela (Bolivarian Republic of),22 Dec 2006
Viet Nam,3 Dec 2004
Yemen,13 Oct 2009 a
Zambia,11 Oct 2007 a
Zimbabwe,1 Mar 2012 a
