Participant,Signature,"Approval(AA), Formal confirmation(c), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,22 Mar 1989,25 Mar 2013
Albania,,29 Jun 1999 a
Algeria,,15 Sep 1998 a
Andorra,,23 Jul 1999 a
Antigua and Barbuda,,5 Apr 1993 a
Argentina,28 Jun 1989,27 Jun 1991
Armenia,,1 Oct 1999 a
Australia,,5 Feb 1992 a
Austria,19 Mar 1990,12 Jan 1993
Azerbaijan,,1 Jun 2001 a
Bahamas,,12 Aug 1992 a
Bahrain,22 Mar 1989,15 Oct 1992
Bangladesh,,1 Apr 1993 a
Barbados,,24 Aug 1995 a
Belarus,,10 Dec 1999 a
Belgium,22 Mar 1989,1 Nov 1993
Belize,,23 May 1997 a
Benin,,4 Dec 1997 a
Bhutan,,26 Aug 2002 a
Bolivia (Plurinational State of),22 Mar 1989,15 Nov 1996
Bosnia and Herzegovina,,16 Mar 2001 a
Botswana,,20 May 1998 a
Brazil,,1 Oct 1992 a
Brunei Darussalam,,16 Dec 2002 a
Bulgaria,,16 Feb 1996 a
Burkina Faso,,4 Nov 1999 a
Burundi,,6 Jan 1997 a
Cabo Verde,,2 Jul 1999 a
Cambodia,,2 Mar 2001 a
Cameroon,,9 Feb 2001 a
Canada,22 Mar 1989,28 Aug 1992
Central African Republic,,24 Feb 2006 a
Chad,,10 Mar 2004 a
Chile,31 Jan 1990,11 Aug 1992
China,22 Mar 1990,17 Dec 1991
Colombia,22 Mar 1989,31 Dec 1996
Comoros,,31 Oct 1994 a
Congo,,20 Apr 2007 a
Cook Islands,,29 Jun 2004 a
Costa Rica,,7 Mar 1995 a
Côte d'Ivoire,,1 Dec 1994 a
Croatia,,9 May 1994 a
Cuba,,3 Oct 1994 a
Cyprus,22 Mar 1989,17 Sep 1992
Czech Republic,,30 Sep 1993 d
Democratic People's Republic of Korea,,10 Jul 2008 a
Democratic Republic of the Congo,,6 Oct 1994 a
Denmark,22 Mar 1989,6 Feb 1994 AA
Djibouti,,31 May 2002 a
Dominica,,5 May 1998 a
Dominican Republic,,10 Jul 2000 a
Ecuador,22 Mar 1989,23 Feb 1993
Egypt,,8 Jan 1993 a
El Salvador,22 Mar 1990,13 Dec 1991
Equatorial Guinea,,7 Feb 2003 a
Eritrea,,10 Mar 2005 a
Estonia,,21 Jul 1992 a
Ethiopia,,12 Apr 2000 a
European Union,22 Mar 1989,7 Feb 1994 AA
Finland,22 Mar 1989,19 Nov 1991 A
France,22 Mar 1989,7 Jan 1991 AA
Gabon,,6 Jun 2008 a
Gambia,,15 Dec 1997 a
Georgia,,20 May 1999 a
Germany,23 Oct 1989,21 Apr 1995
Ghana,,30 May 2003 a
Greece,22 Mar 1989,4 Aug 1994
Guatemala,22 Mar 1989,15 May 1995
Guinea,,26 Apr 1995 a
Guinea-Bissau,,9 Feb 2005 a
Guyana,,4 Apr 2001 a
Haiti,22 Mar 1989,
Honduras,,27 Dec 1995 a
Hungary,22 Mar 1989,21 May 1990 AA
Iceland,,28 Jun 1995 a
India,15 Mar 1990,24 Jun 1992
Indonesia,,20 Sep 1993 a
Iran (Islamic Republic of),,5 Jan 1993 a
Iraq,,2 May 2011 a
Ireland,19 Jan 1990,7 Feb 1994
Israel,22 Mar 1989,14 Dec 1994
Italy,22 Mar 1989,7 Feb 1994
Jamaica,,23 Jan 2003 a
Japan,,17 Sep 1993 a
Jordan,22 Mar 1989,22 Jun 1989 AA
Kazakhstan,,3 Jun 2003 a
Kenya,,1 Jun 2000 a
Kiribati,,7 Sep 2000 a
Kuwait,22 Mar 1989,11 Oct 1993
Kyrgyzstan,,13 Aug 1996 a
Lao People's Democratic Republic,,21 Sep 2010 a
Latvia,,14 Apr 1992 a
Lebanon,22 Mar 1989,21 Dec 1994
Lesotho,,31 May 2000 a
Liberia,,22 Sep 2004 a
Libya,,12 Jul 2001 a
Liechtenstein,22 Mar 1989,27 Jan 1992
Lithuania,,22 Apr 1999 a
Luxembourg,22 Mar 1989,7 Feb 1994
Madagascar,,2 Jun 1999 a
Malawi,,21 Apr 1994 a
Malaysia,,8 Oct 1993 a
Maldives,,28 Apr 1992 a
Mali,,5 Dec 2000 a
Malta,,19 Jun 2000 a
Marshall Islands,,27 Jan 2003 a
Mauritania,,16 Aug 1996 a
Mauritius,,24 Nov 1992 a
