Participant,Acceptance(A)
Armenia,19 Nov 2008 A
Australia,12 Dec 2007 A
Azerbaijan,28 Jan 2009 A
Belarus,6 Jun 2007 A
China,16 Jul 2010 A
Cuba,1 Sep 2011 A
Czech Republic,18 Apr 2007 A
Egypt,9 Apr 2010 A
France,19 Aug 2009 A
Georgia,8 Apr 2011 A
India,18 Nov 2008 A
Iran (Islamic Republic of),10 Apr 2012 A
Israel,28 Dec 2009 A
Kazakhstan,7 Oct 2011 A
Kyrgyzstan,2 Nov 2009 A
Mauritius,23 Sep 2009 A
Mexico,3 Apr 2009 A
Morocco,3 Mar 2010 A
Norway,26 Aug 2008 A
Peru,25 Jan 2012 A
Republic of Korea,10 Dec 2009 A
Republic of Moldova,18 Nov 2008 A
Russian Federation,27 Jun 2008 A
Serbia,31 Jul 2009 A
South Africa,21 Feb 2014 A
Syrian Arab Republic,16 Jun 2009 A
Turkmenistan,21 Aug 2008 A
Ukraine,5 Jan 2010 A
Uzbekistan,16 Oct 2007 A
Viet Nam,29 Jul 2008 A
