Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,12 Jun 1992,19 Sep 2002
Albania,,3 Oct 1994 a
Algeria,13 Jun 1992,9 Jun 1993
Andorra,,2 Mar 2011 a
Angola,14 Jun 1992,17 May 2000
Antigua and Barbuda,4 Jun 1992,2 Feb 1993
Argentina,12 Jun 1992,11 Mar 1994
Armenia,13 Jun 1992,14 May 1993 A
Australia,4 Jun 1992,30 Dec 1992
Austria,8 Jun 1992,28 Feb 1994
Azerbaijan,12 Jun 1992,16 May 1995
Bahamas,12 Jun 1992,29 Mar 1994
Bahrain,8 Jun 1992,28 Dec 1994
Bangladesh,9 Jun 1992,15 Apr 1994
Barbados,12 Jun 1992,23 Mar 1994
Belarus,11 Jun 1992,11 May 2000 AA
Belgium,4 Jun 1992,16 Jan 1996
Belize,13 Jun 1992,31 Oct 1994
Benin,13 Jun 1992,30 Jun 1994
Bhutan,11 Jun 1992,25 Aug 1995
Bolivia (Plurinational State of),10 Jun 1992,3 Oct 1994
Bosnia and Herzegovina,,7 Sep 2000 a
Botswana,12 Jun 1992,27 Jan 1994
Brazil,4 Jun 1992,28 Feb 1994
Brunei Darussalam,,7 Aug 2007 a
Bulgaria,5 Jun 1992,12 May 1995
Burkina Faso,12 Jun 1992,2 Sep 1993
Burundi,11 Jun 1992,6 Jan 1997
Cabo Verde,12 Jun 1992,29 Mar 1995
Cambodia,,18 Dec 1995 a
Cameroon,14 Jun 1992,19 Oct 1994
Canada,12 Jun 1992,4 Dec 1992
Central African Republic,13 Jun 1992,10 Mar 1995
Chad,12 Jun 1992,7 Jun 1994
Chile,13 Jun 1992,22 Dec 1994
China,11 Jun 1992,5 Jan 1993
Colombia,13 Jun 1992,22 Mar 1995
Comoros,11 Jun 1992,31 Oct 1994
Congo,12 Jun 1992,14 Oct 1996
Cook Islands,12 Jun 1992,20 Apr 1993
Costa Rica,13 Jun 1992,26 Aug 1994
Côte d'Ivoire,10 Jun 1992,29 Nov 1994
Croatia,11 Jun 1992,8 Apr 1996 A
Cuba,13 Jun 1992,5 Jan 1994
Cyprus,12 Jun 1992,15 Oct 1997
Czech Republic,18 Jun 1993,7 Oct 1993 AA
Democratic People's Republic of Korea,11 Jun 1992,5 Dec 1994 AA
