Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Albania,,29 Jan 2013 a
Algeria,2 Feb 2011,
Antigua and Barbuda,28 Jul 2011,
Argentina,15 Nov 2011,
Australia,20 Jan 2012,
Austria,23 Jun 2011,
Bangladesh,6 Sep 2011,
Belgium,20 Sep 2011,
Benin,28 Oct 2011,
Bhutan,20 Sep 2011,
Botswana,,21 Feb 2013 a
Brazil,2 Feb 2011,
Bulgaria,23 Jun 2011,
Burkina Faso,20 Sep 2011,
Cambodia,1 Feb 2012,
Cape Verde,26 Sep 2011,
Central African Republic,6 Apr 2011,
Chad,31 Jan 2012,
Colombia,2 Feb 2011,
Comoros,,28 May 2013 a
Congo,23 Sep 2011,
Costa Rica,6 Jul 2011,
Côte d'Ivoire,25 Jan 2012,24 Sep 2013
Cyprus,29 Dec 2011,
Czech Republic,23 Jun 2011,
Democratic Republic of the Congo,21 Sep 2011,
Denmark,23 Jun 2011,
Djibouti,19 Oct 2011,
Dominican Republic,20 Sep 2011,
Ecuador,1 Apr 2011,
Egypt,25 Jan 2012,
El Salvador,1 Feb 2012,
Ethiopia,,16 Nov 2012 a
European Union,23 Jun 2011,
Fiji,,24 Oct 2012 a
Finland,23 Jun 2011,
France,20 Sep 2011,
Gabon,13 May 2011,11 Nov 2011 A
Germany,23 Jun 2011,
Ghana,20 May 2011,
Greece,20 Sep 2011,
Grenada,22 Sep 2011,
Guatemala,11 May 2011,
Guinea,9 Dec 2011,
Guinea-Bissau,1 Feb 2012,24 Sep 2013 A
Honduras,1 Feb 2012,12 Aug 2013
Hungary,23 Jun 2011,
India,11 May 2011,9 Oct 2012
Indonesia,11 May 2011,24 Sep 2013
Ireland,1 Feb 2012,
Italy,23 Jun 2011,
Japan,11 May 2011,
Jordan,10 Jan 2012,10 Jan 2012
Kenya,1 Feb 2012,
Lao People's Democratic Republic,,26 Sep 2012 a
Lebanon,1 Feb 2012,
Lithuania,29 Dec 2011,
Luxembourg,23 Jun 2011,
Madagascar,22 Sep 2011,
Mali,19 Apr 2011,
Mauritania,18 May 2011,
Mauritius,,17 Dec 2012 a
Mexico,24 Feb 2011,16 May 2012
Micronesia (Federated States of),11 Jan 2012,30 Jan 2013
Mongolia,26 Jan 2012,21 May 2013
Morocco,9 Dec 2011,
Mozambique,26 Sep 2011,
Netherlands,23 Jun 2011,
Niger,26 Sep 2011,
Nigeria,1 Feb 2012,
Norway,11 May 2011,
Palau,20 Sep 2011,
Panama,3 May 2011,12 Dec 2012
Peru,4 May 2011,
Poland,20 Sep 2011,
Portugal,20 Sep 2011,
Republic of Korea,20 Sep 2011,
Republic of Moldova,25 Jan 2012,
Romania,20 Sep 2011,
Rwanda,28 Feb 2011,20 Mar 2012
Senegal,26 Jan 2012,
Serbia,20 Sep 2011,
Seychelles,15 Apr 2011,20 Apr 2012
Slovenia,27 Sep 2011,
Somalia,9 Jan 2012,
South Africa,11 May 2011,10 Jan 2013
Spain,21 Jul 2011,
Sudan,21 Apr 2011,
Sweden,23 Jun 2011,
Switzerland,11 May 2011,
Syrian Arab Republic,,5 Apr 2013 a
Tajikistan,20 Sep 2011,12 Sep 2013
Thailand,31 Jan 2012,
Togo,27 Sep 2011,
Tunisia,11 May 2011,
Ukraine,30 Jan 2012,
United Kingdom of Great Britain and Northern Ireland,23 Jun 2011,
Uruguay,19 Jul 2011,
Vanuatu,18 Nov 2011,
Yemen,2 Feb 2011,
