Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Albania,,29 Jan 2013 a
Antigua and Barbuda,9 Aug 2011,
Austria,11 May 2011,
Belgium,20 Sep 2011,
Benin,28 Oct 2011,
Brazil,6 Mar 2012,
Bulgaria,11 May 2011,6 Dec 2012
Cape Verde,26 Sep 2011,
Central African Republic,6 Mar 2012,
Chad,31 Jan 2012,
Colombia,7 Mar 2011,
Cyprus,29 Dec 2011,
Czech Republic,11 May 2011,13 Feb 2012
Denmark,7 Mar 2011,
European Union,11 May 2011,21 Mar 2013 AA
Finland,11 May 2011,
France,11 May 2011,
Germany,20 Sep 2011,
Guinea-Bissau,1 Feb 2012,
Hungary,11 May 2011,
India,11 Oct 2011,
Ireland,11 May 2011,14 Jan 2013
Italy,14 Jun 2011,
Japan,2 Mar 2012,
Latvia,11 May 2011,30 Nov 2011
Lithuania,11 May 2011,6 Dec 2012
Luxembourg,11 May 2011,14 May 2013
Madagascar,22 Sep 2011,
Mauritania,18 May 2011,
Mexico,5 Mar 2012,26 Sep 2012
Mongolia,26 Jan 2012,21 May 2013
Montenegro,11 May 2011,
Mozambique,26 Sep 2011,
Netherlands,7 Mar 2011,
Nigeria,1 Feb 2012,
Norway,,1 Nov 2012 a
Panama,3 May 2011,
Peru,4 May 2011,
Poland,20 Sep 2011,
Portugal,20 Sep 2011,
Republic of Moldova,25 Jan 2012,
Romania,11 May 2011,
Senegal,26 Jan 2012,
Slovakia,20 Jan 2012,
Slovenia,11 May 2011,
Spain,21 Jul 2011,4 Dec 2012
Sweden,7 Mar 2011,12 Oct 2012
Switzerland,11 May 2011,
Syrian Arab Republic,,5 Nov 2012 a
Thailand,6 Mar 2012,
Togo,27 Sep 2011,
Tunisia,11 May 2011,
Ukraine,30 Jan 2012,
United Kingdom of Great Britain and Northern Ireland,22 Feb 2012,
