Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Afghanistan,12 Jun 1992,19 Sep 2002
Albania,,5 Jan 1994 a
Algeria,13 Jun 1992,14 Aug 1995
Angola,12 Jun 1992,1 Apr 1998
Antigua and Barbuda,5 Jun 1992,9 Mar 1993
Argentina,12 Jun 1992,22 Nov 1994
Armenia,13 Jun 1992,14 May 1993 A
Australia,5 Jun 1992,18 Jun 1993
Austria,13 Jun 1992,18 Aug 1994
Azerbaijan,12 Jun 1992,3 Aug 2000 AA
Bahamas,12 Jun 1992,2 Sep 1993
Bahrain,9 Jun 1992,30 Aug 1996
Bangladesh,5 Jun 1992,3 May 1994
Barbados,12 Jun 1992,10 Dec 1993
Belarus,11 Jun 1992,8 Sep 1993
Belgium,5 Jun 1992,22 Nov 1996
Belize,13 Jun 1992,30 Dec 1993
Benin,13 Jun 1992,30 Jun 1994
Bhutan,11 Jun 1992,25 Aug 1995
Bolivia (Plurinational State of),13 Jun 1992,3 Oct 1994
Bosnia and Herzegovina,,26 Aug 2002 a
Botswana,8 Jun 1992,12 Oct 1995
Brazil,5 Jun 1992,28 Feb 1994
Brunei Darussalam,,28 Apr 2008 a
Bulgaria,12 Jun 1992,17 Apr 1996
Burkina Faso,12 Jun 1992,2 Sep 1993
Burundi,11 Jun 1992,15 Apr 1997
Cabo Verde,12 Jun 1992,29 Mar 1995
Cambodia,,9 Feb 1995 a
Cameroon,14 Jun 1992,19 Oct 1994
Canada,11 Jun 1992,4 Dec 1992
Central African Republic,13 Jun 1992,15 Mar 1995
Chad,12 Jun 1992,7 Jun 1994
Chile,13 Jun 1992,9 Sep 1994
China,11 Jun 1992,5 Jan 1993
Colombia,12 Jun 1992,28 Nov 1994
Comoros,11 Jun 1992,29 Sep 1994
Congo,11 Jun 1992,1 Aug 1996
Cook Islands,12 Jun 1992,20 Apr 1993
Costa Rica,13 Jun 1992,26 Aug 1994
Côte d'Ivoire,10 Jun 1992,29 Nov 1994
Croatia,11 Jun 1992,7 Oct 1996
Cuba,12 Jun 1992,8 Mar 1994
Cyprus,12 Jun 1992,10 Jul 1996
Czech Republic,4 Jun 1993,3 Dec 1993 AA
Democratic People's Republic of Korea,11 Jun 1992,26 Oct 1994 AA
Democratic Republic of the Congo,11 Jun 1992,3 Dec 1994
Denmark,12 Jun 1992,21 Dec 1993
Djibouti,13 Jun 1992,1 Sep 1994
Dominica,,6 Apr 1994 a
Dominican Republic,13 Jun 1992,25 Nov 1996
Ecuador,9 Jun 1992,23 Feb 1993
Egypt,9 Jun 1992,2 Jun 1994
El Salvador,13 Jun 1992,8 Sep 1994
Equatorial Guinea,,6 Dec 1994 a
