Participant,Application
Albania,15 Dec 2003
Angola,9 May 2012
Antigua and Barbuda,14 Dec 1988
Australia,9 May 1986
Austria,22 Jul 1966
Bahrain,17 Sep 1992
Belarus,31 Mar 2006
Belgium,23 Dec 2002
Brazil,15 Jul 1966
Cameroon,30 Apr 1992
China,11 Sep 1979
Croatia,12 Oct 1992
Czech Republic,22 Feb 1993
Dominica,24 Jun 1988
Ecuador,26 Jul 1966
El Salvador,24 Sep 2012
Estonia,7 Nov 2008
France,2 Aug 2000
Georgia,18 Jul 2007
Germany,11 Jun 1985
Greece,21 Jun 1977
Iceland,17 Jan 2006
Iran (Islamic Republic of),16 May 1974
Italy,30 Aug 1985
Kenya,3 Mar 1966
Kuwait,29 Aug 1966
Latvia,19 Dec 2005
Lesotho,26 Nov 1969
Lithuania,10 Feb 1997
Madagascar,22 Nov 1966
Malawi,16 Sep 1966
Malta,21 Oct 1968
Mauritius,18 Jul 1969
Mongolia,20 Sep 1974
Montenegro,23 Oct 2006
Morocco,30 Nov 1966
Mozambique,6 Oct 2011
Netherlands,9 Dec 1966
New Zealand,23 May 1967
Norway,2 Aug 1966
Paraguay,13 Jan 2006
Poland,19 Jun 1969
Portugal,8 Nov 2012
Qatar,10 Jan 2014
Republic of Korea,13 May 1977
Republic of Moldova,2 Sep 2011
Romania,15 Sep 1970
San Marino,21 Feb 2013
Serbia,12 Mar 2001
Seychelles,24 Jul 1985
Slovakia,28 May 1993
South Africa,30 Aug 2002
Spain,26 Sep 1974
St. Lucia,2 Sep 1986
Sweden,28 Sep 1960
Switzerland,25 Sep 2012
Thailand,21 Mar 1966
The former Yugoslav Republic of Macedonia,11 Mar 1996
Trinidad and Tobago,15 Jul 1966
Ukraine,25 Feb 1993
United Arab Emirates,11 Dec 2003
United Kingdom of Great Britain and Northern Ireland,6 Aug 1985
Uruguay,29 Dec 1977
Vanuatu,2 Jan 2008
Zimbabwe,5 Mar 1991
