Participant,Signature,"Accession(a), Ratification"
Albania,24 Sep 2012,29 May 2013
Andorra,26 Sep 2012,
Argentina,25 Jul 2012,
Austria,28 Feb 2012,
Belgium,28 Feb 2012,
Bolivia (Plurinational State of),,2 Apr 2013 a
Brazil,28 Feb 2012,
Cape Verde,24 Sep 2012,
Chile,28 Feb 2012,
Costa Rica,28 Feb 2012,
Cyprus,27 Jul 2012,
Ecuador,24 Apr 2013,
El Salvador,25 Jul 2013,
Finland,28 Feb 2012,
Gabon,,25 Sep 2012 a
Germany,28 Feb 2012,28 Feb 2013
Italy,28 Feb 2012,
Liechtenstein,24 Sep 2012,
Luxembourg,28 Feb 2012,
Madagascar,24 Sep 2012,
Maldives,28 Feb 2012,
Mali,28 Feb 2012,
Malta,18 Apr 2012,
Mauritius,13 Aug 2012,
Montenegro,28 Feb 2012,
Morocco,28 Feb 2012,
Paraguay,26 Sep 2012,
Peru,28 Feb 2012,
Portugal,28 Feb 2012,
Romania,13 Jun 2012,
Senegal,1 Oct 2012,
Serbia,28 Feb 2012,
Slovakia,28 Feb 2012,
Slovenia,28 Feb 2012,
Spain,28 Feb 2012,3 Jun 2013
Thailand,25 Sep 2012,25 Sep 2012
The former Yugoslav Republic of Macedonia,23 May 2012,
Turkey,24 Sep 2012,
Uruguay,28 Feb 2012,
