Participant,Signature,"Ratification, Acceptance(A), Accession(a), Succession(d)"
Afghanistan,27 Sep 1990,28 Mar 1994
Albania,26 Jan 1990,27 Feb 1992
Algeria,26 Jan 1990,16 Apr 1993
Andorra,2 Oct 1995,2 Jan 1996
Angola,14 Feb 1990,5 Dec 1990
Antigua and Barbuda,12 Mar 1991,5 Oct 1993
Argentina,29 Jun 1990,4 Dec 1990
Armenia,,23 Jun 1993 a
Australia,22 Aug 1990,17 Dec 1990
Austria,26 Jan 1990,6 Aug 1992
Azerbaijan,,13 Aug 1992 a
Bahamas,30 Oct 1990,20 Feb 1991
Bahrain,,13 Feb 1992 a
Bangladesh,26 Jan 1990,3 Aug 1990
Barbados,19 Apr 1990,9 Oct 1990
Belarus,26 Jan 1990,1 Oct 1990
Belgium,26 Jan 1990,16 Dec 1991
Belize,2 Mar 1990,2 May 1990
Benin,25 Apr 1990,3 Aug 1990
Bhutan,4 Jun 1990,1 Aug 1990
Bolivia (Plurinational State of),8 Mar 1990,26 Jun 1990
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,14 Mar 1995 a
Brazil,26 Jan 1990,24 Sep 1990
Brunei Darussalam,,27 Dec 1995 a
Bulgaria,31 May 1990,3 Jun 1991
Burkina Faso,26 Jan 1990,31 Aug 1990
Burundi,8 May 1990,19 Oct 1990
Cabo Verde,,4 Jun 1992 a
Cambodia,,15 Oct 1992 a
Cameroon,25 Sep 1990,11 Jan 1993
Canada,28 May 1990,13 Dec 1991
Central African Republic,30 Jul 1990,23 Apr 1992
Chad,30 Sep 1990,2 Oct 1990
Chile,26 Jan 1990,13 Aug 1990
China,29 Aug 1990,2 Mar 1992
Colombia,26 Jan 1990,28 Jan 1991
Comoros,30 Sep 1990,22 Jun 1993
Congo,,14 Oct 1993 a
Cook Islands,,6 Jun 1997 a
Costa Rica,26 Jan 1990,21 Aug 1990
Côte d'Ivoire,26 Jan 1990,4 Feb 1991
Croatia,,12 Oct 1992 d
Cuba,26 Jan 1990,21 Aug 1991
Cyprus,5 Oct 1990,7 Feb 1991
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,23 Aug 1990,21 Sep 1990
Democratic Republic of the Congo,20 Mar 1990,27 Sep 1990
Denmark,26 Jan 1990,19 Jul 1991
Djibouti,30 Sep 1990,6 Dec 1990
Dominica,26 Jan 1990,13 Mar 1991
Dominican Republic,8 Aug 1990,11 Jun 1991
Ecuador,26 Jan 1990,23 Mar 1990
Egypt,5 Feb 1990,6 Jul 1990
El Salvador,26 Jan 1990,10 Jul 1990
Equatorial Guinea,,15 Jun 1992 a
Eritrea,20 Dec 1993,3 Aug 1994
Estonia,,21 Oct 1991 a
Ethiopia,,14 May 1991 a
Fiji,2 Jul 1993,13 Aug 1993
Finland,26 Jan 1990,20 Jun 1991
France,26 Jan 1990,7 Aug 1990
Gabon,26 Jan 1990,9 Feb 1994
Gambia,5 Feb 1990,8 Aug 1990
Georgia,,2 Jun 1994 a
Germany,26 Jan 1990,6 Mar 1992
Ghana,29 Jan 1990,5 Feb 1990
Greece,26 Jan 1990,11 May 1993
Grenada,21 Feb 1990,5 Nov 1990
Guatemala,26 Jan 1990,6 Jun 1990
Guinea,,13 Jul 1990 a
Guinea-Bissau,26 Jan 1990,20 Aug 1990
Guyana,30 Sep 1990,14 Jan 1991
Haiti,26 Jan 1990,8 Jun 1995
Holy See,20 Apr 1990,20 Apr 1990
Honduras,31 May 1990,10 Aug 1990
Hungary,14 Mar 1990,7 Oct 1991
Iceland,26 Jan 1990,28 Oct 1992
India,,11 Dec 1992 a
Indonesia,26 Jan 1990,5 Sep 1990
Iran (Islamic Republic of),5 Sep 1991,13 Jul 1994
Iraq,,15 Jun 1994 a
Ireland,30 Sep 1990,28 Sep 1992
Israel,3 Jul 1990,3 Oct 1991
Italy,26 Jan 1990,5 Sep 1991
Jamaica,26 Jan 1990,14 May 1991
Japan,21 Sep 1990,22 Apr 1994
Jordan,29 Aug 1990,24 May 1991
Kazakhstan,16 Feb 1994,12 Aug 1994
Kenya,26 Jan 1990,30 Jul 1990
Kiribati,,11 Dec 1995 a
Kuwait,7 Jun 1990,21 Oct 1991
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,8 May 1991 a
Latvia,,14 Apr 1992 a
Lebanon,26 Jan 1990,14 May 1991
Lesotho,21 Aug 1990,10 Mar 1992
Liberia,26 Apr 1990,4 Jun 1993
Libya,,15 Apr 1993 a
Liechtenstein,30 Sep 1990,22 Dec 1995
Lithuania,,31 Jan 1992 a
Luxembourg,21 Mar 1990,7 Mar 1994
Madagascar,19 Apr 1990,19 Mar 1991
Malawi,,2 Jan 1991 a
Malaysia,,17 Feb 1995 a
Maldives,21 Aug 1990,11 Feb 1991
Mali,26 Jan 1990,20 Sep 1990
Malta,26 Jan 1990,30 Sep 1990
Marshall Islands,14 Apr 1993,4 Oct 1993
Mauritania,26 Jan 1990,16 May 1991
Mauritius,,26 Jul 1990 a
Mexico,26 Jan 1990,21 Sep 1990
Micronesia (Federated States of),,5 May 1993 a
Monaco,,21 Jun 1993 a
Mongolia,26 Jan 1990,5 Jul 1990
Montenegro,,23 Oct 2006 d
Morocco,26 Jan 1990,21 Jun 1993
Mozambique,30 Sep 1990,26 Apr 1994
Myanmar,,15 Jul 1991 a
Namibia,26 Sep 1990,30 Sep 1990
Nauru,,27 Jul 1994 a
Nepal,26 Jan 1990,14 Sep 1990
Netherlands,26 Jan 1990,6 Feb 1995 A
New Zealand,1 Oct 1990,6 Apr 1993
Nicaragua,6 Feb 1990,5 Oct 1990
Niger,26 Jan 1990,30 Sep 1990
Nigeria,26 Jan 1990,19 Apr 1991
Niue,,20 Dec 1995 a
Norway,26 Jan 1990,8 Jan 1991
Oman,,9 Dec 1996 a
Pakistan,20 Sep 1990,12 Nov 1990
Palau,,4 Aug 1995 a
Panama,26 Jan 1990,12 Dec 1990
Papua New Guinea,30 Sep 1990,2 Mar 1993
Paraguay,4 Apr 1990,25 Sep 1990
Peru,26 Jan 1990,4 Sep 1990
Philippines,26 Jan 1990,21 Aug 1990
Poland,26 Jan 1990,7 Jun 1991
Portugal,26 Jan 1990,21 Sep 1990
Qatar,8 Dec 1992,3 Apr 1995
Republic of Korea,25 Sep 1990,20 Nov 1991
Republic of Moldova,,26 Jan 1993 a
Romania,26 Jan 1990,28 Sep 1990
Russian Federation,26 Jan 1990,16 Aug 1990
Rwanda,26 Jan 1990,24 Jan 1991
Samoa,30 Sep 1990,29 Nov 1994
San Marino,,25 Nov 1991 a
Sao Tome and Principe,,14 May 1991 a
Saudi Arabia,,26 Jan 1996 a
Senegal,26 Jan 1990,31 Jul 1990
Serbia,,12 Mar 2001 d
Seychelles,,7 Sep 1990 a
Sierra Leone,13 Feb 1990,18 Jun 1990
Singapore,,5 Oct 1995 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,10 Apr 1995 a
Somalia,9 May 2002,
South Africa,29 Jan 1993,16 Jun 1995
Spain,26 Jan 1990,6 Dec 1990
Sri Lanka,26 Jan 1990,12 Jul 1991
St. Kitts and Nevis,26 Jan 1990,24 Jul 1990
St. Lucia,30 Sep 1990,16 Jun 1993
St. Vincent and the Grenadines,20 Sep 1993,26 Oct 1993
State of Palestine,,2 Apr 2014 a
Sudan,24 Jul 1990,3 Aug 1990
Suriname,26 Jan 1990,1 Mar 1993
Swaziland,22 Aug 1990,7 Sep 1995
Sweden,26 Jan 1990,29 Jun 1990
Switzerland,1 May 1991,24 Feb 1997
Syrian Arab Republic,18 Sep 1990,15 Jul 1993
Tajikistan,,26 Oct 1993 a
Thailand,,27 Mar 1992 a
The former Yugoslav Republic of Macedonia,,2 Dec 1993 d
Timor-Leste,,16 Apr 2003 a
Togo,26 Jan 1990,1 Aug 1990
Tonga,,6 Nov 1995 a
Trinidad and Tobago,30 Sep 1990,5 Dec 1991
Tunisia,26 Feb 1990,30 Jan 1992
Turkey,14 Sep 1990,4 Apr 1995
Turkmenistan,,20 Sep 1993 a
Tuvalu,,22 Sep 1995 a
