Participant,Signature,"Acceptance(A), Ratification"
Argentina,24 Jul 1992,18 Mar 1996
Belgium,18 Nov 1993,27 Jun 1996
Belize,1 Feb 1996,1 Feb 1996
Bolivia (Plurinational State of),24 Jul 1992,4 Aug 1993
Brazil,24 Jul 1992,17 Jun 1998
Chile,24 Jul 1992,31 Oct 1995
Colombia,24 Jul 1992,9 May 1995
Costa Rica,24 Jul 1992,15 Mar 1996
Cuba,24 Jul 1992,13 Dec 1994
Dominican Republic,24 Jul 1992,
Ecuador,24 Jul 1992,26 Oct 1994
El Salvador,24 Jul 1992,12 May 1995
Guatemala,24 Jul 1992,28 Nov 2000
Honduras,24 Jul 1992,10 May 1995
Mexico,24 Jul 1992,12 Jul 1993
Nicaragua,24 Jul 1992,10 Jul 1995
Panama,24 Jul 1992,10 Feb 1994
Paraguay,24 Jul 1992,1 Dec 1994
Peru,1 Oct 1992,19 Apr 1993
Portugal,24 Jul 1992,23 Jun 1995
Spain,24 Jul 1992,7 Dec 1994
St. Vincent and the Grenadines,29 Nov 2010,29 Nov 2010 A
Uruguay,24 Jul 1992,17 Feb 1999
Venezuela (Bolivarian Republic of),11 Feb 1993,13 May 2002
