Participant,Signature,"Formal confirmation(c), Accession(a), Ratification"
Afghanistan,,18 Sep 2012 a
Algeria,30 Mar 2007,
Andorra,27 Apr 2007,11 Mar 2014
Angola,,19 May 2014 a
Antigua and Barbuda,30 Mar 2007,
Argentina,30 Mar 2007,2 Sep 2008
Armenia,30 Mar 2007,
Australia,,21 Aug 2009 a
Austria,30 Mar 2007,26 Sep 2008
Azerbaijan,9 Jan 2008,28 Jan 2009
Bangladesh,,12 May 2008 a
Belgium,30 Mar 2007,2 Jul 2009
Benin,8 Feb 2008,5 Jul 2012
Bolivia (Plurinational State of),13 Aug 2007,16 Nov 2009
Bosnia and Herzegovina,29 Jul 2009,12 Mar 2010
Brazil,30 Mar 2007,1 Aug 2008
Bulgaria,18 Dec 2008,
Burkina Faso,23 May 2007,23 Jul 2009
Burundi,26 Apr 2007,22 May 2014
Cambodia,1 Oct 2007,
Cameroon,1 Oct 2008,
Central African Republic,9 May 2007,
Chad,26 Sep 2012,
Chile,30 Mar 2007,29 Jul 2008
Congo,30 Mar 2007,2 Sep 2014
Cook Islands,,8 May 2009 a
Costa Rica,30 Mar 2007,1 Oct 2008
Côte d'Ivoire,7 Jun 2007,
Croatia,30 Mar 2007,15 Aug 2007
Cyprus,30 Mar 2007,27 Jun 2011
Czech Republic,30 Mar 2007,
Denmark,,23 Sep 2014 a
Djibouti,,18 Jun 2012 a
Dominica,,1 Oct 2012 a
Dominican Republic,30 Mar 2007,18 Aug 2009
Ecuador,30 Mar 2007,3 Apr 2008
El Salvador,30 Mar 2007,14 Dec 2007
Estonia,,30 May 2012 a
Fiji,2 Jun 2010,
Finland,30 Mar 2007,
France,23 Sep 2008,18 Feb 2010
Gabon,25 Sep 2007,26 Jun 2014
Georgia,10 Jul 2009,
Germany,30 Mar 2007,24 Feb 2009
Ghana,30 Mar 2007,31 Jul 2012
Greece,27 Sep 2010,31 May 2012
Guatemala,30 Mar 2007,7 Apr 2009
Guinea,31 Aug 2007,8 Feb 2008
Guinea-Bissau,24 Sep 2013,
Haiti,,23 Jul 2009 a
Honduras,23 Aug 2007,16 Aug 2010
Hungary,30 Mar 2007,20 Jul 2007
Iceland,30 Mar 2007,
Italy,30 Mar 2007,15 May 2009
Jamaica,30 Mar 2007,
Jordan,30 Mar 2007,
Kazakhstan,11 Dec 2008,
Latvia,22 Jan 2010,31 Aug 2010
Lebanon,14 Jun 2007,
Liberia,30 Mar 2007,
Lithuania,30 Mar 2007,18 Aug 2010
Luxembourg,30 Mar 2007,26 Sep 2011
Madagascar,25 Sep 2007,
Mali,15 May 2007,7 Apr 2008
Malta,30 Mar 2007,10 Oct 2012
Mauritania,,3 Apr 2012 a
Mauritius,25 Sep 2007,
Mexico,30 Mar 2007,17 Dec 2007
Mongolia,,13 May 2009 a
Montenegro,27 Sep 2007,2 Nov 2009
Morocco,,8 Apr 2009 a
Mozambique,,30 Jan 2012 a
Namibia,25 Apr 2007,4 Dec 2007
Nepal,3 Jan 2008,7 May 2010
Nicaragua,21 Oct 2008,2 Feb 2010
Niger,2 Aug 2007,24 Jun 2008
Nigeria,30 Mar 2007,24 Sep 2010
Palau,,11 Jun 2013 a
Panama,30 Mar 2007,7 Aug 2007
Paraguay,30 Mar 2007,3 Sep 2008
Peru,30 Mar 2007,30 Jan 2008
Portugal,30 Mar 2007,23 Sep 2009
Qatar,9 Jul 2007,
Romania,25 Sep 2008,
Rwanda,,15 Dec 2008 a
San Marino,30 Mar 2007,22 Feb 2008
Saudi Arabia,,24 Jun 2008 a
Senegal,25 Apr 2007,
Serbia,17 Dec 2007,31 Jul 2009
Seychelles,30 Mar 2007,
Sierra Leone,30 Mar 2007,
Slovakia,26 Sep 2007,26 May 2010
Slovenia,30 Mar 2007,24 Apr 2008
Solomon Islands,24 Sep 2009,
South Africa,30 Mar 2007,30 Nov 2007
Spain,30 Mar 2007,3 Dec 2007
St. Vincent and the Grenadines,,29 Oct 2010 a
Sudan,,24 Apr 2009 a
Swaziland,25 Sep 2007,24 Sep 2012
Sweden,30 Mar 2007,15 Dec 2008
Syrian Arab Republic,,10 Jul 2009 a
The former Yugoslav Republic of Macedonia,29 Jul 2009,29 Dec 2011
Togo,23 Sep 2008,1 Mar 2011
Tunisia,30 Mar 2007,2 Apr 2008
Turkey,28 Sep 2009,
Turkmenistan,,10 Nov 2010 a
Uganda,30 Mar 2007,25 Sep 2008
Ukraine,24 Sep 2008,4 Feb 2010
United Arab Emirates,12 Feb 2008,
United Kingdom of Great Britain and Northern Ireland,26 Feb 2009,7 Aug 2009
United Republic of Tanzania,29 Sep 2008,10 Nov 2009
Uruguay,,28 Oct 2011 a
Venezuela (Bolivarian Republic of),,24 Sep 2013 a
Yemen,11 Apr 2007,26 Mar 2009
Zambia,29 Sep 2008,
Zimbabwe,,23 Sep 2013 a
