Participant,Signature,"Formal confirmation(c), Accession(a), Ratification"
Afghanistan,,18 Sep 2012 a
Albania,22 Dec 2009,11 Feb 2013
Algeria,30 Mar 2007,4 Dec 2009
Andorra,27 Apr 2007,11 Mar 2014
Angola,,19 May 2014 a
Antigua and Barbuda,30 Mar 2007,
Argentina,30 Mar 2007,2 Sep 2008
Armenia,30 Mar 2007,22 Sep 2010
Australia,30 Mar 2007,17 Jul 2008
Austria,30 Mar 2007,26 Sep 2008
Azerbaijan,9 Jan 2008,28 Jan 2009
Bahamas,24 Sep 2013,
Bahrain,25 Jun 2007,22 Sep 2011
Bangladesh,9 May 2007,30 Nov 2007
Barbados,19 Jul 2007,27 Feb 2013
Belgium,30 Mar 2007,2 Jul 2009
Belize,9 May 2011,2 Jun 2011
Benin,8 Feb 2008,5 Jul 2012
Bhutan,21 Sep 2010,
Bolivia (Plurinational State of),13 Aug 2007,16 Nov 2009
Bosnia and Herzegovina,29 Jul 2009,12 Mar 2010
Brazil,30 Mar 2007,1 Aug 2008
Brunei Darussalam,18 Dec 2007,
Bulgaria,27 Sep 2007,22 Mar 2012
Burkina Faso,23 May 2007,23 Jul 2009
Burundi,26 Apr 2007,22 May 2014
Cabo Verde,30 Mar 2007,10 Oct 2011
Cambodia,1 Oct 2007,20 Dec 2012
Cameroon,1 Oct 2008,
Canada,30 Mar 2007,11 Mar 2010
Central African Republic,9 May 2007,
Chad,26 Sep 2012,
Chile,30 Mar 2007,29 Jul 2008
China,30 Mar 2007,1 Aug 2008
Colombia,30 Mar 2007,10 May 2011
Comoros,26 Sep 2007,
Congo,30 Mar 2007,
Cook Islands,,8 May 2009 a
Costa Rica,30 Mar 2007,1 Oct 2008
Côte d'Ivoire,7 Jun 2007,10 Jan 2014
Croatia,30 Mar 2007,15 Aug 2007
Cuba,26 Apr 2007,6 Sep 2007
Cyprus,30 Mar 2007,27 Jun 2011
Czech Republic,30 Mar 2007,28 Sep 2009
Democratic People's Republic of Korea,3 Jul 2013,
Denmark,30 Mar 2007,24 Jul 2009
Djibouti,,18 Jun 2012 a
Dominica,30 Mar 2007,1 Oct 2012
Dominican Republic,30 Mar 2007,18 Aug 2009
Ecuador,30 Mar 2007,3 Apr 2008
Egypt,4 Apr 2007,14 Apr 2008
El Salvador,30 Mar 2007,14 Dec 2007
Estonia,25 Sep 2007,30 May 2012
Ethiopia,30 Mar 2007,7 Jul 2010
