Participant,Acceptance(A)
Australia,15 Oct 1993 A
Bahamas,31 Mar 1994 A
Bahrain,29 Jun 2000 A
Belize,5 Mar 2004 A
Bulgaria,2 Mar 1995 A
Burkina Faso,9 Aug 1993 A
Canada,8 Feb 1995 A
China,10 Jul 2002 A
Colombia,5 Oct 1999 A
Costa Rica,13 Dec 2000 A
Cuba,21 Nov 1996 A
Cyprus,28 Sep 1998 A
Czech Republic,6 Aug 2002 A
Denmark,3 Sep 1993 A
Ecuador,26 Sep 2006 A
Finland,9 Feb 1994 A
France,1 Sep 1994 A
Germany,8 Oct 1996 A
Guinea,31 May 2000 A
Holy See,14 Mar 2002 A
Iceland,14 Mar 2001 A
Iran (Islamic Republic of),8 Nov 2005 A
Iraq,25 May 2001 A
Ireland,29 Dec 2000 A
Jamaica,25 Sep 2012 A
Liberia,16 Sep 2005 A
Liechtenstein,28 Apr 2000 A
Luxembourg,12 Aug 2004 A
Mexico,16 Sep 1996 A
Morocco,14 Oct 2013 A
Netherlands,24 Jan 1995 A
New Zealand,8 Oct 1993 A
Norway,6 Oct 1993 A
Poland,23 Aug 2002 A
Republic of Korea,30 Nov 1993 A
Saudi Arabia,28 Feb 2003 A
Seychelles,23 Jul 1993 A
Slovakia,9 Aug 2006 A
Sweden,14 May 1993 A
Switzerland,16 Dec 1996 A
Syrian Arab Republic,25 Feb 1998 A
Trinidad and Tobago,23 Aug 1993 A
Ukraine,17 Jun 1994 A
United Kingdom of Great Britain and Northern Ireland,7 Feb 1994 A
Zimbabwe,10 Apr 1997 A
