Participant,Signature,"Accession(a), Ratification"
Angola,24 Sep 2013,
Argentina,24 Sep 2009,24 Oct 2011
Armenia,29 Sep 2009,
Azerbaijan,25 Sep 2009,
Belgium,24 Sep 2009,20 May 2014
Benin,24 Sep 2013,
Bolivia (Plurinational State of),12 Feb 2010,13 Jan 2012
Bosnia and Herzegovina,12 Jul 2010,18 Jan 2012
Burkina Faso,24 Sep 2012,
Cabo Verde,26 Sep 2011,23 Jun 2014
Chile,24 Sep 2009,
Congo,25 Sep 2009,
Costa Rica,28 Apr 2011,23 Sep 2014
Democratic Republic of the Congo,23 Sep 2010,
Ecuador,24 Sep 2009,11 Jun 2010
El Salvador,25 Sep 2009,20 Sep 2011
Finland,24 Sep 2009,31 Jan 2014
France,11 Dec 2012,
Gabon,24 Sep 2009,1 Apr 2014
Ghana,24 Sep 2009,
Guatemala,24 Sep 2009,
Guinea-Bissau,25 Sep 2009,
Ireland,23 Mar 2012,
Italy,28 Sep 2009,20 Feb 2015
Kazakhstan,23 Sep 2010,
Luxembourg,24 Sep 2009,3 Feb 2015
Madagascar,25 Sep 2009,
Maldives,21 Sep 2011,
Mali,24 Sep 2009,
Mongolia,23 Dec 2009,1 Jul 2010
Montenegro,24 Sep 2009,24 Sep 2013
Netherlands,24 Sep 2009,
Niger,,7 Nov 2014 a
Paraguay,6 Oct 2009,
Portugal,24 Sep 2009,28 Jan 2013
Senegal,24 Sep 2009,
Slovakia,24 Sep 2009,7 Mar 2012
Slovenia,24 Sep 2009,
Solomon Islands,24 Sep 2009,
Spain,24 Sep 2009,23 Sep 2010
The former Yugoslav Republic of Macedonia,14 Aug 2013,
Timor-Leste,28 Sep 2009,
Togo,25 Sep 2009,
Ukraine,24 Sep 2009,
Uruguay,24 Sep 2009,5 Feb 2013
Venezuela (Bolivarian Republic of),4 Oct 2011,
