Participant,Acceptance(A)
Albania,20 May 2011 A
Andorra,14 Oct 2002 A
Argentina,9 Jul 2009 A
Australia,4 Jun 1998 A
Austria,11 Sep 2000 A
Azerbaijan,23 May 2008 A
Bahamas,17 Jan 2003 A
Bangladesh,3 May 2007 A
Bosnia and Herzegovina,10 May 2012 A
Brazil,5 Mar 1997 A
Bulgaria,15 Sep 2010 A
Canada,3 Nov 1997 A
Chile,8 May 1998 A
China,10 Jul 2002 A
Cook Islands,27 Nov 2007 A
Costa Rica,27 Apr 2009 A
Croatia,24 Oct 2003 A
Cuba,7 Mar 2008 A
Cyprus,30 Jul 2002 A
Czech Republic,30 Jun 2011 A
Denmark,12 Mar 1996 A
Ecuador,22 Dec 2011 A
Egypt,2 Aug 2001 A
Finland,18 Mar 1996 A
France,8 Aug 1997 A
Georgia,30 Sep 2005 A
Germany,25 Feb 2002 A
Greece,8 Jan 2013 A
Grenada,12 Dec 2007 A
Guatemala,3 Jun 1999 A
Iceland,8 May 2002 A
Ireland,11 Jun 2004 A
Italy,31 May 1996 A
Japan,12 Jun 2003 A
Jordan,11 Jan 2002 A
Kuwait,23 May 2011 A
Lesotho,12 Nov 2001 A
Liberia,16 Sep 2005 A
Liechtenstein,15 Apr 1997 A
Lithuania,5 Aug 2004 A
Luxembourg,1 Jul 2003 A
Madagascar,19 Jul 1996 A
Maldives,7 Feb 2002 A
Mali,20 Jun 2002 A
Malta,5 Mar 1997 A
Mauritius,29 Oct 2002 A
Mexico,16 Sep 1996 A
Mongolia,19 Dec 1997 A
Morocco,31 Mar 2010 A
Nauru,23 Jun 2011 A
Netherlands,10 Dec 1997 A
New Zealand,26 Sep 1996 A
Niger,1 May 2002 A
Norway,29 Mar 1996 A
Panama,5 Nov 1996 A
Philippines,12 Nov 2003 A
Poland,23 Dec 2010 A
Portugal,8 Jan 2002 A
Republic of Korea,12 Aug 1996 A
Republic of Moldova,21 Dec 2012 A
Serbia,18 Jun 2014 A
Singapore,30 Aug 2010 A
Slovenia,10 Nov 2006 A
Spain,26 Jan 2010 A
Sweden,17 Jul 1996 A
Switzerland,2 Dec 1997 A
Turkey,9 Dec 1999 A
United Kingdom of Great Britain and Northern Ireland,19 Nov 1996 A
Uruguay,8 Jan 2004 A
