Participant,"Signature, Succession to signature(d)","Accession(a), Succession(d), Ratification"
Albania,,1 Oct 2003 a
Angola,24 Sep 2013,
Argentina,30 Apr 2003,15 Nov 2004
Armenia,,14 Sep 2006 a
Australia,19 May 2009,
Austria,25 Sep 2003,4 Dec 2012
Azerbaijan,15 Sep 2005,28 Jan 2009
Belgium,24 Oct 2005,
Benin,24 Feb 2005,20 Sep 2006
Bolivia (Plurinational State of),22 May 2006,23 May 2006
Bosnia and Herzegovina,7 Dec 2007,24 Oct 2008
Brazil,13 Oct 2003,12 Jan 2007
Bulgaria,22 Sep 2010,1 Jun 2011
Burkina Faso,21 Sep 2005,7 Jul 2010
Burundi,,18 Oct 2013 a
Cambodia,14 Sep 2005,30 Mar 2007
Cameroon,15 Dec 2009,
Cape Verde,26 Sep 2011,
Chad,26 Sep 2012,
Chile,6 Jun 2005,12 Dec 2008
Congo,29 Sep 2008,
Costa Rica,4 Feb 2003,1 Dec 2005
Croatia,23 Sep 2003,25 Apr 2005
Cyprus,26 Jul 2004,29 Apr 2009
Czech Republic,13 Sep 2004,10 Jul 2006
Democratic Republic of the Congo,,23 Sep 2010 a
Denmark,26 Jun 2003,25 Jun 2004
Ecuador,24 May 2007,20 Jul 2010
Estonia,21 Sep 2004,18 Dec 2006
Finland,23 Sep 2003,
France,16 Sep 2005,11 Nov 2008
Gabon,15 Dec 2004,22 Sep 2010
Georgia,,9 Aug 2005 a
Germany,20 Sep 2006,4 Dec 2008
Ghana,6 Nov 2006,
Greece,3 Mar 2011,
Guatemala,25 Sep 2003,9 Jun 2008
Guinea,16 Sep 2005,
Guinea-Bissau,24 Sep 2013,
Honduras,8 Dec 2004,23 May 2006
Hungary,,12 Jan 2012 a
Iceland,24 Sep 2003,
Ireland,2 Oct 2007,
Italy,20 Aug 2003,3 Apr 2013
Kazakhstan,25 Sep 2007,22 Oct 2008
Kyrgyzstan,,29 Dec 2008 a
Lebanon,,22 Dec 2008 a
Liberia,,22 Sep 2004 a
Liechtenstein,24 Jun 2005,3 Nov 2006
Luxembourg,13 Jan 2005,19 May 2010
Madagascar,24 Sep 2003,
Maldives,14 Sep 2005,15 Feb 2006
Mali,19 Jan 2004,12 May 2005
Malta,24 Sep 2003,24 Sep 2003
Mauritania,27 Sep 2011,3 Oct 2012
Mauritius,,21 Jun 2005 a
Mexico,23 Sep 2003,11 Apr 2005
Mongolia,24 Sep 2013,
Montenegro,23 Oct 2006 d,6 Mar 2009
Nauru,,24 Jan 2013 a
Netherlands,3 Jun 2005,28 Sep 2010
New Zealand,23 Sep 2003,14 Mar 2007
Nicaragua,14 Mar 2007,25 Feb 2009
Nigeria,,27 Jul 2009 a
Norway,24 Sep 2003,27 Jun 2013
Panama,22 Sep 2010,2 Jun 2011
Paraguay,22 Sep 2004,2 Dec 2005
Peru,,14 Sep 2006 a
Philippines,,17 Apr 2012 a
Poland,5 Apr 2004,14 Sep 2005
Portugal,15 Feb 2006,15 Jan 2013
Republic of Moldova,16 Sep 2005,24 Jul 2006
Romania,24 Sep 2003,2 Jul 2009
Senegal,4 Feb 2003,18 Oct 2006
Serbia,25 Sep 2003,26 Sep 2006
Sierra Leone,26 Sep 2003,
Slovenia,,23 Jan 2007 a
South Africa,20 Sep 2006,
Spain,13 Apr 2005,4 Apr 2006
Sweden,26 Jun 2003,14 Sep 2005
Switzerland,25 Jun 2004,24 Sep 2009
The former Yugoslav Republic of Macedonia,1 Sep 2006,13 Feb 2009
Timor-Leste,16 Sep 2005,
Togo,15 Sep 2005,20 Jul 2010
Tunisia,,29 Jun 2011 a
Turkey,14 Sep 2005,27 Sep 2011
Ukraine,23 Sep 2005,19 Sep 2006
United Kingdom of Great Britain and Northern Ireland,26 Jun 2003,10 Dec 2003
Uruguay,12 Jan 2004,8 Dec 2005
Venezuela (Bolivarian Republic of),1 Jul 2011,
Zambia,27 Sep 2010,
