Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,4 Feb 1985,1 Apr 1987
Albania,,11 May 1994 a
Algeria,26 Nov 1985,12 Sep 1989
Andorra,5 Aug 2002,22 Sep 2006
Angola,24 Sep 2013,
Antigua and Barbuda,,19 Jul 1993 a
Argentina,4 Feb 1985,24 Sep 1986
Armenia,,13 Sep 1993 a
Australia,10 Dec 1985,8 Aug 1989
Austria,14 Mar 1985,29 Jul 1987
Azerbaijan,,16 Aug 1996 a
Bahamas,16 Dec 2008,
Bahrain,,6 Mar 1998 a
Bangladesh,,5 Oct 1998 a
Belarus,19 Dec 1985,13 Mar 1987
Belgium,4 Feb 1985,25 Jun 1999
Belize,,17 Mar 1986 a
Benin,,12 Mar 1992 a
Bolivia (Plurinational State of),4 Feb 1985,12 Apr 1999
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,8 Sep 2000,8 Sep 2000
Brazil,23 Sep 1985,28 Sep 1989
Bulgaria,10 Jun 1986,16 Dec 1986
Burkina Faso,,4 Jan 1999 a
Burundi,,18 Feb 1993 a
Cabo Verde,,4 Jun 1992 a
Cambodia,,15 Oct 1992 a
Cameroon,,19 Dec 1986 a
Canada,23 Aug 1985,24 Jun 1987
Chad,,9 Jun 1995 a
Chile,23 Sep 1987,30 Sep 1988
China,12 Dec 1986,4 Oct 1988
Colombia,10 Apr 1985,8 Dec 1987
Comoros,22 Sep 2000,
Congo,,30 Jul 2003 a
Costa Rica,4 Feb 1985,11 Nov 1993
Côte d'Ivoire,,18 Dec 1995 a
Croatia,,12 Oct 1992 d
Cuba,27 Jan 1986,17 May 1995
Cyprus,9 Oct 1985,18 Jul 1991
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,18 Mar 1996 a
Denmark,4 Feb 1985,27 May 1987
Djibouti,,5 Nov 2002 a
Dominican Republic,4 Feb 1985,24 Jan 2012
Ecuador,4 Feb 1985,30 Mar 1988
Egypt,,25 Jun 1986 a
El Salvador,,17 Jun 1996 a
Equatorial Guinea,,8 Oct 2002 a
Estonia,,21 Oct 1991 a
Ethiopia,,14 Mar 1994 a
Finland,4 Feb 1985,30 Aug 1989
France,4 Feb 1985,18 Feb 1986
Gabon,21 Jan 1986,8 Sep 2000
Gambia,23 Oct 1985,
Georgia,,26 Oct 1994 a
Germany,13 Oct 1986,1 Oct 1990
Ghana,7 Sep 2000,7 Sep 2000
Greece,4 Feb 1985,6 Oct 1988
Guatemala,,5 Jan 1990 a
Guinea,30 May 1986,10 Oct 1989
Guinea-Bissau,12 Sep 2000,24 Sep 2013
Guyana,25 Jan 1988,19 May 1988
Haiti,16 Aug 2013,
Holy See,,26 Jun 2002 a
Honduras,,5 Dec 1996 a
Hungary,28 Nov 1986,15 Apr 1987
Iceland,4 Feb 1985,23 Oct 1996
India,14 Oct 1997,
Indonesia,23 Oct 1985,28 Oct 1998
Iraq,,7 Jul 2011 a
Ireland,28 Sep 1992,11 Apr 2002
Israel,22 Oct 1986,3 Oct 1991
Italy,4 Feb 1985,12 Jan 1989
Japan,,29 Jun 1999 a
Jordan,,13 Nov 1991 a
Kazakhstan,,26 Aug 1998 a
Kenya,,21 Feb 1997 a
Kuwait,,8 Mar 1996 a
Kyrgyzstan,,5 Sep 1997 a
Lao People's Democratic Republic,21 Sep 2010,26 Sep 2012
Latvia,,14 Apr 1992 a
Lebanon,,5 Oct 2000 a
Lesotho,,12 Nov 2001 a
Liberia,,22 Sep 2004 a
Libya,,16 May 1989 a
Liechtenstein,27 Jun 1985,2 Nov 1990
Lithuania,,1 Feb 1996 a
Luxembourg,22 Feb 1985,29 Sep 1987
Madagascar,1 Oct 2001,13 Dec 2005
Malawi,,11 Jun 1996 a
Maldives,,20 Apr 2004 a
Mali,,26 Feb 1999 a
Malta,,13 Sep 1990 a
Mauritania,,17 Nov 2004 a
Mauritius,,9 Dec 1992 a
Mexico,18 Mar 1985,23 Jan 1986
Monaco,,6 Dec 1991 a
Mongolia,,24 Jan 2002 a
Montenegro,,23 Oct 2006 d
Morocco,8 Jan 1986,21 Jun 1993
Mozambique,,14 Sep 1999 a
Namibia,,28 Nov 1994 a
Nauru,12 Nov 2001,26 Sep 2012
Nepal,,14 May 1991 a
Netherlands,4 Feb 1985,21 Dec 1988
New Zealand,14 Jan 1986,10 Dec 1989
Nicaragua,15 Apr 1985,5 Jul 2005
Niger,,5 Oct 1998 a
Nigeria,28 Jul 1988,28 Jun 2001
Norway,4 Feb 1985,9 Jul 1986
Pakistan,17 Apr 2008,23 Jun 2010
Palau,20 Sep 2011,
Panama,22 Feb 1985,24 Aug 1987
Paraguay,23 Oct 1989,12 Mar 1990
Peru,29 May 1985,7 Jul 1988
Philippines,,18 Jun 1986 a
Poland,13 Jan 1986,26 Jul 1989
Portugal,4 Feb 1985,9 Feb 1989
Qatar,,11 Jan 2000 a
Republic of Korea,,9 Jan 1995 a
Republic of Moldova,,28 Nov 1995 a
Romania,,18 Dec 1990 a
Russian Federation,10 Dec 1985,3 Mar 1987
Rwanda,,15 Dec 2008 a
San Marino,18 Sep 2002,27 Nov 2006
Sao Tome and Principe,6 Sep 2000,
Saudi Arabia,,23 Sep 1997 a
Senegal,4 Feb 1985,21 Aug 1986
Serbia,,12 Mar 2001 d
Seychelles,,5 May 1992 a
Sierra Leone,18 Mar 1985,25 Apr 2001
Slovakia,,28 May 1993 d
Slovenia,,16 Jul 1993 a
Somalia,,24 Jan 1990 a
South Africa,29 Jan 1993,10 Dec 1998
Spain,4 Feb 1985,21 Oct 1987
Sri Lanka,,3 Jan 1994 a
St. Vincent and the Grenadines,,1 Aug 2001 a
State of Palestine,,2 Apr 2014 a
Sudan,4 Jun 1986,
Swaziland,,26 Mar 2004 a
Sweden,4 Feb 1985,8 Jan 1986
Switzerland,4 Feb 1985,2 Dec 1986
Syrian Arab Republic,,19 Aug 2004 a
Tajikistan,,11 Jan 1995 a
Thailand,,2 Oct 2007 a
The former Yugoslav Republic of Macedonia,,12 Dec 1994 d
Timor-Leste,,16 Apr 2003 a
Togo,25 Mar 1987,18 Nov 1987
Tunisia,26 Aug 1987,23 Sep 1988
